Ã¯»¿Authority Name,Date of Payment,SAP Document Number,Gross,VAT,Net,Supplier Name,Directorate,G/L description.
Salford City Council,2020-06-01,601277334,1850.00,0.00,1850.00,Redacted Data,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-06-01,1600648160,34427.35,5737.89,28689.46,Seddon Construction Limited,Service Reform (Corp Bus & Transform),Works & Building
Salford City Council,2020-06-01,6003046651,1226.32,26.97,1199.35,Sms Pharmacy Ltd,Public Health,Payts to Agencies
Salford City Council,2020-06-01,601277412,649.68,0.00,649.68,Ssp Health Medical Servides Ltd,Public Health,Payts to Agencies
Salford City Council,2020-06-01,601277355,1443.60,0.00,1443.60,T/A Holyrood Day Nursery (Swinton),People (Childrens) Service Group,Contingency
Salford City Council,2020-06-01,601277417,1419.60,0.00,1419.60,The Gill Medical Centre,Public Health,Payts to Agencies
Salford City Council,2020-06-01,6003046733,1291.69,0.00,1291.69,The Hanen Centre,People (Childrens) Service Group,Sponsorship
Salford City Council,2020-06-01,1600648466,1427.41,0.00,1427.41,Together Trust,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-06-01,1600648467,2060.36,0.00,2060.36,Together Trust,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-06-01,1600648468,3103.20,0.00,3103.20,Together Trust,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-06-01,1600648465,4066.04,0.00,4066.04,Together Trust,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-06-02,601277498,10000.00,0.00,10000.00,110% Interiors Limited,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-02,6003047234,15082.52,0.00,15082.52,After Care (Nw) Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-06-02,601277474,10000.00,0.00,10000.00,Airport Garage (Barton) Ltd,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-02,601277495,10000.00,0.00,10000.00,Alliance Builders & Plumbers Limite,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-02,6003047218,9336.20,0.00,9336.20,Alpha Plus Fostering  Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-06-02,1600648475,6361.75,1060.29,5301.46,Apem Ltd,Place Directorate,Gen Contractor Work
Salford City Council,2020-06-02,6003047278,2800.00,0.00,2800.00,Approved Property Management,People (Adults) - CHSC,Rents
Salford City Council,2020-06-02,6003047282,5600.00,0.00,5600.00,Approved Property Management,People (Adults) - CHSC,Rents
Salford City Council,2020-06-02,6003047275,8960.00,0.00,8960.00,Approved Property Management,People (Adults) - CHSC,Rents
Salford City Council,2020-06-02,6003047240,10600.00,0.00,10600.00,Aspire Childcare Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-06-02,601277482,10000.00,0.00,10000.00,B.A. Tech Ltd,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-02,6003047215,6942.86,0.00,6942.86,Barnardos North West,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-06-02,6003047216,8647.43,0.00,8647.43,Barnardos North West,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-06-02,1600648520,3000.00,0.00,3000.00,Bayis Sheli Ltd - Burlington House,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-06-02,1600648519,3500.00,0.00,3500.00,Bayis Sheli Ltd - Burlington House,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-06-02,1600648526,3500.00,0.00,3500.00,Bayis Sheli Ltd - Burlington House,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-06-02,601277489,10000.00,0.00,10000.00,Best One Superstore Uk Ltd,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-02,601276145,1104.28,30.00,1074.28,Bestway / Batleys Of Manchester,Place Directorate,Food and refreshment
Salford City Council,2020-06-02,1600648521,4253.04,708.84,3544.20,Bradshaw International,Service Reform (Corp Bus & Transform),Works & Building
Salford City Council,2020-06-02,6003047226,15047.08,0.00,15047.08,Bright Futures Care Ltd T/A Corners,People (Childrens) Service Group,Non-Maint Spec Schls
Salford City Council,2020-06-02,6003047233,6589.20,0.00,6589.20,By The Bridge,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-06-02,1600648527,2160.00,360.00,1800.00,Caci - Social Software Ltd,People (Childrens) Service Group,Computer Maintenance
Salford City Council,2020-06-02,6003047235,3584.00,0.00,3584.00,Capstone Foster Care (North) Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-06-02,1600648522,849.03,0.00,849.03,Capstone Foster Care (South West) L,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-06-02,6003047247,3396.00,0.00,3396.00,Capstone Foster Care (South West) L,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-06-02,6003047246,17560.00,0.00,17560.00,Care 4 Children Residential Service,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-06-02,6003047221,11180.00,0.00,11180.00,Care Today Childrens Services,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-06-02,6003047223,41560.00,0.00,41560.00,Care Today Childrens Services,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-06-02,1600648549,3085.81,514.30,2571.51,Carlton Fuels,Place Directorate,Vehcle Ancillar Cost
Salford City Council,2020-06-02,1600648538,20419.56,3403.26,17016.30,Carlton Fuels,Place Directorate,Vehcle Ancillar Cost
Salford City Council,2020-06-02,6003047241,13403.44,0.00,13403.44,Compass Fostering North Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-06-02,601277465,10000.00,0.00,10000.00,Consensus Leisure Limited,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-02,1600646483,50745.60,8457.60,42288.00,Co-Wheels Car Club,Service Reform (Corp Bus & Transform),Annual Vehicle Hire
Salford City Council,2020-06-02,6003047214,17344.00,0.00,17344.00,Dove Adolescent Services Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-06-02,601277478,10000.00,0.00,10000.00,E P Cars Limited,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-02,1600648523,1080.00,0.00,1080.00,Edge Hill University,People (Childrens) Service Group,Training expenses
Salford City Council,2020-06-02,601277459,5000.00,0.00,5000.00,Edgewell Uk Ltd,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-02,601277476,10000.00,0.00,10000.00,Electric Bikes Irlam Ltd,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-02,601277466,3000.00,0.00,3000.00,Emes Bookkeeping Ltd,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-02,601277488,10000.00,0.00,10000.00,Express Design Print Limited,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-02,601277473,10000.00,0.00,10000.00,Ezer Layeled Ltd,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-02,6003047248,16400.00,0.00,16400.00,Family Child Care Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-06-02,601277441,2980.00,0.00,2980.00,Forbes Solicitors,Service Reform (Corp Bus & Transform),Other Prof Fees
Salford City Council,2020-06-02,6003047222,3416.56,0.00,3416.56,Foster Care Associates Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-06-02,6003047220,6680.00,0.00,6680.00,Foster Cares Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-06-02,6003047227,20986.37,0.00,20986.37,Fostering Solutions Limited,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-06-02,601277484,10000.00,0.00,10000.00,Hermes Pizza Ltd,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-02,6003047236,16728.00,0.00,16728.00,Hexagon Care Services Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-06-02,6003047238,27600.00,0.00,27600.00,Holistic Approach Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-06-02,6003047217,12000.00,0.00,12000.00,Horizon Care & Education Group Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-06-02,601277456,1500.00,0.00,1500.00,Housello Property Limited,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-02,601277486,10000.00,0.00,10000.00,I-Joy Limited,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-02,601277461,10000.00,0.00,10000.00,Intra City Construction Group Ltd,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-02,6003047252,18000.00,0.00,18000.00,Keys Pce Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-06-02,6003047250,19718.40,0.00,19718.40,Keys Pce Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-06-02,6003047251,58500.00,0.00,58500.00,Keys Pce Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-06-02,1600648536,1156.68,192.78,963.90,Killgerm Chemicals,Place Directorate,Chemicals
Salford City Council,2020-06-02,601277458,4500.00,0.00,4500.00,Labreeze Ltd,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-02,601277479,10000.00,0.00,10000.00,Lineup Networks Limited,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-02,601277491,10000.00,0.00,10000.00,Little People'S Day Nursery (Eccles,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-02,6003047242,24600.00,0.00,24600.00,Lonsdale Care Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-06-02,601277472,10000.00,0.00,10000.00,M3 Perform Ltd,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-02,601277460,6000.00,0.00,6000.00,Manchester Car Movements,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-02,601277426,1668.00,0.00,1668.00,Mds Mini Buses (Manchester) Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-06-02,601277425,1920.00,0.00,1920.00,Mds Mini Buses (Manchester) Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-06-02,6003047219,18400.00,0.00,18400.00,Meadows Care Ltd,People (Childrens) Service Group,Non-Maint Spec Schls
Salford City Council,2020-06-02,601277471,4500.00,0.00,4500.00,Mengold Ltd,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-02,601277462,7000.00,0.00,7000.00,Mga Motorsport Ltd,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-02,1600648553,2007.80,334.63,1673.17,Motor Accident Protection Services,Place Directorate,Other Prof Fees
Salford City Council,2020-06-02,6003047245,6200.00,0.00,6200.00,N.E.W.Fo.Ca.S Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-06-02,6003047249,22728.00,0.00,22728.00,Nestlings Care Ltd - Sonning Drive,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-06-02,6003047253,15448.52,0.00,15448.52,New Start Limited,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-06-02,601277464,9000.00,0.00,9000.00,Newprice Limited T/A Croft Computer,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-02,6003047230,27972.00,0.00,27972.00,Nugent Care,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-06-02,601277487,10000.00,0.00,10000.00,Oxley Finance Ltd,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-02,601277480,25000.00,0.00,25000.00,Pattern Imprinted Concrete Supplies,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-02,601277437,1365.00,0.00,1365.00,Paypoint Plc,People (Adults) - CHSC,Gas
Salford City Council,2020-06-02,601277463,10000.00,0.00,10000.00,Platform D Risk,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-02,601277497,10000.00,0.00,10000.00,Prizeready Property Management Limi,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-02,6003047244,16980.00,0.00,16980.00,Progressive Care Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-06-02,601277428,2466.72,0.00,2466.72,Redacted Data,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-06-02,1600648540,2520.00,0.00,2520.00,Redacted Data,People (Childrens) Service Group,Consultants
Salford City Council,2020-06-02,601277429,2880.00,0.00,2880.00,Redacted Data,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-06-02,1600648544,3021.15,0.00,3021.15,Redacted Data,People (Childrens) Service Group,Payts to Other LA's
Salford City Council,2020-06-02,1600648545,3350.03,0.00,3350.03,Redacted Data,People (Childrens) Service Group,Payts to Other LA's
Salford City Council,2020-06-02,1600648542,5712.72,0.00,5712.72,Redacted Data,People (Childrens) Service Group,Payts to Other LA's
Salford City Council,2020-06-02,601277467,10000.00,0.00,10000.00,Redacted Data,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-02,601277468,10000.00,0.00,10000.00,Redacted Data,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-02,601277469,10000.00,0.00,10000.00,Redacted Data,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-02,601277475,10000.00,0.00,10000.00,Redacted Data,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-02,601277483,10000.00,0.00,10000.00,Redacted Data,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-02,601277494,10000.00,0.00,10000.00,Redacted Data,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-02,601277436,54020.10,9003.35,45016.75,Redacted Data,Service Reform (Corp Bus & Transform),Other Works
Salford City Council,2020-06-02,6003047225,20492.08,0.00,20492.08,Reed Specialist Recruitment Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-06-02,601277435,69239.36,11539.98,57699.38,Reed Specialist Recruitment Ltd,Service Reform (Corp Bus & Transform),Agency Fees
Salford City Council,2020-06-02,601277434,69412.49,11568.84,57843.65,Reed Specialist Recruitment Ltd,Service Reform (Corp Bus & Transform),Agency Fees
Salford City Council,2020-06-02,601277433,73202.14,12200.43,61001.71,Reed Specialist Recruitment Ltd,Service Reform (Corp Bus & Transform),Agency Fees
Salford City Council,2020-06-02,601277457,9500.00,0.00,9500.00,Reel Effect Limited,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-02,601277490,10000.00,0.00,10000.00,Response First Training Centre Ltd,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-02,601277481,25000.00,0.00,25000.00,Salford Community Relations Link Pr,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-02,6003047228,23800.00,0.00,23800.00,Sandcastle Care Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-06-02,1600648550,609.64,101.61,508.03,Scarab Sweepers Ltd,Service Reform (Corp Bus & Transform),Stock Control (VMS)
Salford City Council,2020-06-02,601277492,25000.00,0.00,25000.00,Super Extra Pound Limited,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-02,6003047269,1705.80,0.00,1705.80,Suresolutionsgroupltd,People (Adults) - CHSC,Furniture
Salford City Council,2020-06-02,6003047273,1705.80,0.00,1705.80,Suresolutionsgroupltd,People (Adults) - CHSC,Furniture
Salford City Council,2020-06-02,6003047285,1705.80,0.00,1705.80,Suresolutionsgroupltd,People (Adults) - CHSC,Furniture
Salford City Council,2020-06-02,6003047224,6363.20,0.00,6363.20,Swiis Fostercare Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-06-02,601277477,10000.00,0.00,10000.00,T/A Mr Inks Studio,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-02,601277499,10000.00,0.00,10000.00,T/A Park Hall Suites,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-02,1600648532,552.00,92.00,460.00,T/As Is Group,Service Reform (Corp Bus & Transform),Purch of Furn/Equip
Salford City Council,2020-06-02,6003047239,9009.60,0.00,9009.60,The Fostering Team,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-06-02,6003047229,16601.68,0.00,16601.68,The National Fostering Agency,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-06-02,601277493,10000.00,0.00,10000.00,The Tatton,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-02,601277455,10000.00,0.00,10000.00,Theluxe.London,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-02,6003047237,16833.04,0.00,16833.04,Three Circles Fostering,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-06-02,6003047243,3800.00,0.00,3800.00,Uk Fostering Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-06-02,601277470,10000.00,0.00,10000.00,Unb Ltd,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-02,601277496,10000.00,0.00,10000.00,Unitrequest Ltd,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-02,1600647398,1194.00,199.00,995.00,Vision For Education Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,2020-06-02,601277419,750.00,0.00,750.00,West Hill School,People (Childrens) Service Group,Consultants
Salford City Council,2020-06-02,6003047231,2396.00,0.00,2396.00,Wigan Council,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-06-02,601277485,10000.00,0.00,10000.00,Winton Dental Practice,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-02,6003047232,12593.88,0.00,12593.88,Witherslack Group Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-06-02,601277427,600.00,0.00,600.00,Wp Taxis,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-06-03,1600648572,729.68,121.61,608.07,Allied Publicity Services (M/Cr) Ltd,Service Reform (Corp Bus & Transform),Other Prof Fees
Salford City Council,2020-06-03,1600648598,6096.23,1016.04,5080.19,Allpay Ltd,Service Reform (Corp Bus & Transform),Bank Commission
Salford City Council,2020-06-03,601277601,10000.00,0.00,10000.00,Amurco Music Limited,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-03,1600648592,13026.00,0.00,13026.00,Birtenshaw Hall,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-06-03,1600648601,20345.00,0.00,20345.00,Birtenshaw Hall,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-06-03,601277618,2000.00,0.00,2000.00,Blau Estates Ltd,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-03,601277614,10000.00,0.00,10000.00,Brantlegh Waste,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-03,1600648609,1507.56,251.26,1256.30,Capita Business Services Ltd,Place Directorate,Storage
Salford City Council,2020-06-03,1600648556,882.00,147.00,735.00,Carrington Riding Centre,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-06-03,601277503,1110.00,185.00,925.00,Choice Teachers,People (Childrens) Service Group,Agency Fees
Salford City Council,2020-06-03,601277504,1110.00,185.00,925.00,Choice Teachers,People (Childrens) Service Group,Agency Fees
Salford City Council,2020-06-03,1600648608,820.00,0.00,820.00,Chris Dennison Consulting Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-06-03,1600648618,6205.00,0.00,6205.00,Cliffe Enterprise Ltd,Service Reform (Corp Bus & Transform),Print & Photocopying
Salford City Council,2020-06-03,1600648571,9392.40,1565.40,7827.00,Core Assets Childrens Services Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-06-03,601277542,1590.00,0.00,1590.00,Cromwood Housing Ltd,People (Adults) - CHSC,Rents
Salford City Council,2020-06-03,601277540,71549.00,0.00,71549.00,Cromwood Housing Ltd,People (Adults) - CHSC,Rents
Salford City Council,2020-06-03,601277537,3770.00,0.00,3770.00,Csin Cic,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-06-03,1600648557,6288.25,0.00,6288.25,Delamere School,People (Childrens) Service Group,Release of Provision
Salford City Council,2020-06-03,1600648574,800.00,0.00,800.00,Djg Consultancy And Training,People (Childrens) Service Group,Consultants
Salford City Council,2020-06-03,1600648603,9260.03,1543.34,7716.69,Eccles Special High Schools Co Ltd,People (Childrens) Service Group,Unitary Charge
Salford City Council,2020-06-03,601277505,4800.00,800.00,4000.00,Ed Start Specialist Education Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-06-03,601277534,8250.00,0.00,8250.00,Edintervention Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-06-03,601277535,13250.00,0.00,13250.00,Edintervention Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-06-03,601277521,1844.20,0.00,1844.20,Eeven Homes Ltd,People (Childrens) Service Group,Rents
Salford City Council,2020-06-03,1600648611,2834.65,472.44,2362.21,Electoral Reform Services,Service Reform (Corp Bus & Transform),Print & Photocopying
Salford City Council,2020-06-03,601277522,504.00,84.00,420.00,Empowering Learning Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,2020-06-03,1600648580,676.58,112.76,563.82,Esendex Ltd,Service Reform (Corp Bus & Transform),Computer Software
Salford City Council,2020-06-03,1600648589,4256.74,709.46,3547.28,Exclusec Group Ltd,Service Reform (Corp Bus & Transform),Security Services
Salford City Council,2020-06-03,1600648604,4682.95,780.49,3902.46,Exclusec Group Ltd,Service Reform (Corp Bus & Transform),Security Services
Salford City Council,2020-06-03,1600648590,4689.90,781.65,3908.25,Exclusec Group Ltd,Service Reform (Corp Bus & Transform),Security Services
Salford City Council,2020-06-03,1600648591,7038.32,1173.05,5865.27,Exclusec Group Ltd,Service Reform (Corp Bus & Transform),Security Services
Salford City Council,2020-06-03,601277602,5000.00,0.00,5000.00,Folly And Rowland Ltd,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-03,1600648586,17100.00,2850.00,14250.00,G Jones Builders Ltd,Service Reform (Corp Bus & Transform),Works & Building
Salford City Council,2020-06-03,601277512,5398.77,899.80,4498.97,Gazprom Energy,Service Reform (Corp Bus & Transform),Gas
Salford City Council,2020-06-03,601277513,49499.67,7032.73,42466.94,Gazprom Energy,Service Reform (Corp Bus & Transform),Gas
Salford City Council,2020-06-03,1600644405,1680.00,280.00,1400.00,Griffin Care Ltd,People (Childrens) Service Group,Training expenses
Salford City Council,2020-06-03,1600645331,1680.00,280.00,1400.00,Griffin Care Ltd,People (Childrens) Service Group,Training expenses
Salford City Council,2020-06-03,601277616,10000.00,0.00,10000.00,H A Maxwell Ltd,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-03,601277575,720.00,0.00,720.00,Hawthorn Hotel,People (Adults) - CHSC,Rents
Salford City Council,2020-06-03,601277530,2400.00,0.00,2400.00,Hawthorn Hotel,People (Adults) - CHSC,Rents
Salford City Council,2020-06-03,601277615,10000.00,0.00,10000.00,Letstalkfleet Limited,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-03,601277610,2000.00,0.00,2000.00,Mands Property Management Ltd,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-06-03,601277612,5500.00,0.00,5500.00,Peoples Voice Media,Service Reform (Corp Bus & Transform),Grants
