Authority Name,Date of Payment,SAP Document Number,Gross,VAT,Net,Supplier Name,Directorate,G/L no.
Salford City Council,2014-06-02,1600505297,3916.44,652.74,3263.70,Sarabec Limited,"Community, Health & Social Care",Disability Equipment
Salford City Council,2014-06-02,1600506686,7443.60,1240.60,6203.00,Sarabec Limited,"Community, Health & Social Care",Disability Equipment
Salford City Council,2014-06-02,1600504697,1521.00,253.50,1267.50,Prism Medical Uk,"Community, Health & Social Care",Equipment-special
Salford City Council,2014-06-02,1600501981,1495.49,249.25,1246.24,Mott Macdonald Ltd,Sustainable Regeneration,Other Prof Fees
Salford City Council,2014-06-02,1600504703,3960.00,660.00,3300.00,Stepping Out Development Services L,"Community, Health & Social Care",Other Prof Fees
Salford City Council,2014-06-02,601115760,2268.00,378.00,1890.00,Equilibrium & Enablement Ltd,Children's Services,Training expenses
Salford City Council,2014-06-02,1600506072,639863.65,106643.94,533219.71,Pendleton Together Operating Ltd,Sustainable Regeneration,Unitary Charge
Salford City Council,2014-06-02,601116791,700.88,0.00,700.88,Redacted Data,"Community, Health & Social Care",Refunds
Salford City Council,2014-06-02,601116792,3510.33,0.00,3510.33,Redacted Data,"Community, Health & Social Care",Refunds
Salford City Council,2014-06-02,601116865,4096.61,0.00,4096.61,Redacted Data,"Community, Health & Social Care",Refunds
Salford City Council,2014-06-02,601116789,4250.86,0.00,4250.86,Redacted Data,"Community, Health & Social Care",Refunds
Salford City Council,2014-06-02,1600505424,3579.68,0.00,3579.68,Thomasson Memorial School,Children's Services,Payts to Other LA's
Salford City Council,2014-06-02,1600505462,7290.00,0.00,7290.00,Agr Care Services,Children's Services,Payts to Agencies
Salford City Council,2014-06-02,1600505910,14268.99,0.00,14268.99,Bright Futures Care Ltd T/A Corners,Children's Services,Payts to Agencies
Salford City Council,2014-06-02,601115882,1350.00,0.00,1350.00,By The Bridge,Children's Services,Payts to Agencies
Salford City Council,2014-06-02,1600505291,4185.00,0.00,4185.00,By The Bridge,Children's Services,Payts to Agencies
Salford City Council,2014-06-02,1600505740,14167.00,0.00,14167.00,Footsteps A Path To Change Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-06-02,1600505741,14167.00,0.00,14167.00,Footsteps A Path To Change Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-06-02,601116719,4248.89,0.00,4248.89,Foster Care Associates Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-06-02,1600505564,14315.49,0.00,14315.49,Horizon Care Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-06-02,601116773,955.45,0.00,955.45,Ladybird Private Day Nursery,Children's Services,Payts to Agencies
Salford City Council,2014-06-02,1600505905,13263.57,0.00,13263.57,Pathfinders (Childcare ) Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-06-02,1600505366,786.60,0.00,786.60,Swiis Fostercare Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-06-02,1600505370,824.36,0.00,824.36,Swiis Fostercare Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-06-02,1600505821,824.36,0.00,824.36,Swiis Fostercare Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-06-02,1600505797,830.30,0.00,830.30,Swiis Fostercare Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-06-02,1600505303,845.50,0.00,845.50,Swiis Fostercare Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-06-02,1600505367,845.50,0.00,845.50,Swiis Fostercare Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-06-02,1600505368,845.50,0.00,845.50,Swiis Fostercare Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-06-02,1600505383,845.50,0.00,845.50,Swiis Fostercare Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-06-02,1600505822,845.50,0.00,845.50,Swiis Fostercare Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-06-02,1600505770,875.90,0.00,875.90,Swiis Fostercare Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-06-02,601115926,582.84,0.00,582.84,The Advanced Childcare Group,Children's Services,Payts to Agencies
Salford City Council,2014-06-02,1600505292,2161.32,0.00,2161.32,Bright Futures Care Ltd T/A Corners,Children's Services,Non-Maint Spec Schls
Salford City Council,2014-06-02,601116583,4233.04,0.00,4233.04,Helping Hands Homecare Agency,"Community, Health & Social Care",Supported Tenancies
Salford City Council,2014-06-02,601115581,4499.68,0.00,4499.68,Helping Hands Homecare Agency,"Community, Health & Social Care",Supported Tenancies
Salford City Council,2014-06-02,1600506226,10117.85,0.00,10117.85,Stockport M.B.C.,"Community, Health & Social Care",Supported Tenancies
Salford City Council,2014-06-02,601115262,900.00,0.00,900.00,Mds Mini Buses (Manchester) Ltd,Children's Services,Pupil Assistance
Salford City Council,2014-06-02,1600505739,2000.00,0.00,2000.00,Mds Mini Buses (Manchester) Ltd,Children's Services,Pupil Assistance
Salford City Council,2014-06-02,601115438,518.40,86.40,432.00,Mike Davies Transport Ltd,Children's Services,Pupil Assistance
Salford City Council,2014-06-02,601115439,1578.00,263.00,1315.00,Mike Davies Transport Ltd,Children's Services,Pupil Assistance
Salford City Council,2014-06-02,601115437,1653.60,275.60,1378.00,Mike Davies Transport Ltd,Children's Services,Pupil Assistance
Salford City Council,2014-06-02,601115435,5346.00,0.00,5346.00,Mike Davies Transport Ltd,Children's Services,Pupil Assistance
Salford City Council,2014-06-02,601115459,1515.36,252.56,1262.80,New Cadishead Cars Ltd,Children's Services,Pupil Assistance
Salford City Council,2014-06-02,601115460,1045.00,0.00,1045.00,Sameena Rashid (S R Travel),Children's Services,Pupil Assistance
Salford City Council,2014-06-02,601116735,580.00,0.00,580.00,Stoke On Trent College,Children's Services,Pupil Assistance
Salford City Council,2014-06-02,601116738,620.00,0.00,620.00,Stoke On Trent College,Children's Services,Pupil Assistance
Salford City Council,2014-06-02,601116739,1240.00,0.00,1240.00,Stoke On Trent College,Children's Services,Pupil Assistance
Salford City Council,2014-06-02,601116783,6000.00,0.00,6000.00,T'Mimei Lev,Children's Services,Pupil Assistance
Salford City Council,2014-06-02,1600506853,8400.00,0.00,8400.00,T'Mimei Lev,Children's Services,Pupil Assistance
Salford City Council,2014-06-02,1600504678,3636.00,606.00,3030.00,Dalen Limited,Capital Expenditure,Purch of Furn/Equip
Salford City Council,2014-06-02,1600505490,2503.09,417.18,2085.91,E & J Kane Ltd,Capital Expenditure,Works & Building
Salford City Council,2014-06-02,1600505495,5110.40,851.73,4258.67,Dlp Services (Northern) Ltd,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2014-06-02,1600504937,750.00,125.00,625.00,Smart Control Systems Ltd,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2014-06-02,1600504679,1452.00,242.00,1210.00,Alcontrol Laboratories,Capital Expenditure,External Fees-Other
Salford City Council,2014-06-02,1600505685,11231.57,1871.93,9359.64,Blue Fin Solutions Ltd,Capital Expenditure,External Fees-Other
Salford City Council,2014-06-03,1600505694,816.00,136.00,680.00,Arrow Engineering Components,Environment and Community Safety,Vehicle Related Expenditure
Salford City Council,2014-06-03,1600505682,3096.60,516.10,2580.50,Calibration & Consultancy Services,Environment and Community Safety,Vehicle Related Expenditure
Salford City Council,2014-06-03,1600506164,1440.00,240.00,1200.00,Defensive Driver Training Ltd,Environment and Community Safety,Vehicle Related Expenditure
Salford City Council,2014-06-03,1600505192,526.29,87.71,438.58,F. R. Sharrock Limited,Environment and Community Safety,Vehicle Related Expenditure
Salford City Council,2014-06-03,1600505476,588.60,98.10,490.50,Yeshili Reflective Materials Ltd,Environment and Community Safety,Vehicle Related Expenditure
Salford City Council,2014-06-03,601116898,924.00,0.00,924.00,Redacted Data,"Community, Health & Social Care",Residents Savings
Salford City Council,2014-06-03,601116897,1078.00,0.00,1078.00,Redacted Data,"Community, Health & Social Care",Residents Savings
Salford City Council,2014-06-03,601116892,1347.50,0.00,1347.50,Redacted Data,"Community, Health & Social Care",Residents Savings
Salford City Council,2014-06-03,601116893,1347.50,0.00,1347.50,Redacted Data,"Community, Health & Social Care",Residents Savings
Salford City Council,2014-06-03,601116894,1347.50,0.00,1347.50,Redacted Data,"Community, Health & Social Care",Residents Savings
Salford City Council,2014-06-03,601116896,1501.50,0.00,1501.50,Redacted Data,"Community, Health & Social Care",Residents Savings
Salford City Council,2014-06-03,601116887,2674.00,0.00,2674.00,Redacted Data,Customer and Support Services,Liability Insurance
Salford City Council,2014-06-03,601116886,5000.00,0.00,5000.00,Redacted Data,Customer and Support Services,Liability Insurance
Salford City Council,2014-06-03,1600504851,584.40,97.40,487.00,J Cocker (Tinsmith),Environment and Community Safety,Dev Servs Day to Day
Salford City Council,2014-06-03,1600505580,1053.90,175.65,878.25,J Fletcher (Engineers) Ltd,Sustainable Regeneration,UV Heat Rep
Salford City Council,2014-06-03,1600505518,4800.00,800.00,4000.00,J Fletcher (Engineers) Ltd,Sustainable Regeneration,UV Air Con
Salford City Council,2014-06-03,601116813,693.00,0.00,693.00,Paypoint Plc,Sustainable Regeneration,Gas
Salford City Council,2014-06-03,1600506992,1941.02,323.50,1617.52,Ssaib,Environment and Community Safety,Security/Equipment
Salford City Council,2014-06-03,601116826,1248.00,208.00,1040.00,Eddisons Commercial,Environment and Community Safety,Rents
Salford City Council,2014-06-03,601116917,6109.00,900.00,5209.00,Publicola Ltd,The Office of the Chief Executive,Other Prof Fees
Salford City Council,2014-06-03,601116883,518.00,0.00,518.00,Redacted Data,Environment and Community Safety,Other Prof Fees
Salford City Council,2014-06-03,601116881,518.00,0.00,518.00,Redacted Data,Environment and Community Safety,Other Prof Fees
Salford City Council,2014-06-03,601116880,670.00,0.00,670.00,Redacted Data,Environment and Community Safety,Other Prof Fees
Salford City Council,2014-06-03,601116879,1313.50,0.00,1313.50,Redacted Data,Environment and Community Safety,Other Prof Fees
Salford City Council,2014-06-03,1600506907,643.20,107.20,536.00,Tribune Avs Ltd,"Community, Health & Social Care",Security Services
Salford City Council,2014-06-03,601116872,812.00,0.00,812.00,Redacted Data,"Community, Health & Social Care",Refunds
Salford City Council,2014-06-03,601116875,1047.60,0.00,1047.60,Redacted Data,"Community, Health & Social Care",Refunds
Salford City Council,2014-06-03,601116824,1350.02,0.00,1350.02,Redacted Data,"Community, Health & Social Care",Refunds
Salford City Council,2014-06-03,601116913,1260.00,0.00,1260.00,S & M Hotel Ltd,Children's Services,Children Act-Sect 17
Salford City Council,2014-06-03,601116909,1197.24,199.54,997.70,Saltax Ltd,Children's Services,Children Act-Sect 17
Salford City Council,2014-06-03,1600506631,3000.00,0.00,3000.00,Ability Cooperative Ltd,"Community, Health & Social Care",Payts to Agencies
Salford City Council,2014-06-03,1600507015,3000.00,0.00,3000.00,Ability Cooperative Ltd,"Community, Health & Social Care",Payts to Agencies
Salford City Council,2014-06-03,601116828,4185.00,0.00,4185.00,By The Bridge,Children's Services,Payts to Agencies
Salford City Council,2014-06-03,1600505148,8271.60,0.00,8271.60,Crystal Care Solutions Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-06-03,1600505147,13064.02,0.00,13064.02,Enabling Futures Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-06-03,1600506938,2160699.60,360116.60,1800583.00,Salix Homes Limited,Sustainable Regeneration,Salix Mgt Fee
Salford City Council,2014-06-03,601116870,2000.00,0.00,2000.00,New Barracks Tenant,Customer and Support Services,Payts to Vol Orgs
Salford City Council,2014-06-03,601116914,640.00,0.00,640.00,Vestacare Limited,"Community, Health & Social Care",Day Care
Salford City Council,2014-06-03,601116907,15407.91,0.00,15407.91,Watson Group Healthcare Ltd,"Community, Health & Social Care",Supported Tenancies
Salford City Council,2014-06-03,601116908,17029.00,0.00,17029.00,Watson Group Healthcare Ltd,"Community, Health & Social Care",Supported Tenancies
Salford City Council,2014-06-03,601116902,6000.00,0.00,6000.00,T'Mimei Lev,Children's Services,Pupil Assistance
Salford City Council,2014-06-03,601116827,4620.00,0.00,4620.00,Wigan Council,Children's Services,Pupil Assistance
Salford City Council,2014-06-03,1600506313,128016.24,21336.04,106680.20,Walter Forshaw Ltd,Capital Expenditure,Demolition
Salford City Council,2014-06-03,601116869,14475.60,2412.60,12063.00,G Jones Ltd,Capital Expenditure,Works & Building
Salford City Council,2014-06-03,601115338,527.00,82.00,445.00,Bradshaw International,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2014-06-03,601116911,4527.03,754.50,3772.53,Sovereign Group Ltd,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2014-06-03,601116912,22086.56,3681.08,18405.48,Sovereign Group Ltd,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2014-06-03,1600504859,5381.59,896.93,4484.66,Structec (Nw) Ltd,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2014-06-03,1600505614,4978.80,829.80,4149.00,Thyssenkrupp Encasa Ltd,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2014-06-03,1600504850,1842.37,307.06,1535.31,Orbis Protect Ltd,Capital Expenditure,Other Works
Salford City Council,2014-06-03,601116861,1000.00,0.00,1000.00,Redacted Data,Capital Expenditure,Home Loss Payments
Salford City Council,2014-06-03,601116863,1000.00,0.00,1000.00,Redacted Data,Capital Expenditure,Home Loss Payments
Salford City Council,2014-06-03,601116822,2729.78,0.00,2729.78,Redacted Data,Capital Expenditure,Home Loss Payments
Salford City Council,2014-06-03,601116867,575.00,0.00,575.00,Redacted Data,Capital Expenditure,Disturbance Payments
Salford City Council,2014-06-03,1600505511,16843.20,2807.20,14036.00,G Jones Ltd,Capital Expenditure,Miscellaneous Exes
Salford City Council,2014-06-03,yhpsaklen,11400.00,0.00,11400.00,Capita Bus Svs-Moto,Sustainable Regeneration,Building Repairs & Maintenance
Salford City Council,2014-06-03,biqhdeset,8588.40,0.00,8588.40,Capita Bus Svs-Moto,Sustainable Regeneration,Building Repairs & Maintenance
Salford City Council,2014-06-03,dzhcqfjst,56538.00,0.00,56538.00,Capita Business Servs,Sustainable Regeneration,Building Repairs & Maintenance
Salford City Council,2014-06-03,cgeqgsgiw,9215.15,0.00,9215.15,Personnel Hygiene Serv,Customer and Support Services,Building Repairs & Maintenance
Salford City Council,2014-06-03,lkrcpygqe,628.00,0.00,628.00,Snooker Shop,Children's Services,Equipment Purchase
Salford City Council,2014-06-04,601116979,1000.00,0.00,1000.00,Redacted Data,"Community, Health & Social Care",Residents Savings
Salford City Council,2014-06-04,601116950,546.56,91.09,455.47,Maps Ltd,Customer and Support Services,Liability Insurance
Salford City Council,2014-06-04,601116983,3200.00,0.00,3200.00,The Rose Partnership Solicitors,Customer and Support Services,Liability Insurance
Salford City Council,2014-06-04,601116982,876.80,0.00,876.80,Transportation Claims Ltd,Customer and Support Services,Liability Insurance
Salford City Council,2014-06-04,601116984,3000.00,0.00,3000.00,Walker Wise Solicitors,Customer and Support Services,Liability Insurance
Salford City Council,2014-06-04,1600507128,738.64,123.11,615.53,Berkeley Scott Ltd,Children's Services,Agency Fees
Salford City Council,2014-06-04,601116926,696.00,116.00,580.00,Hays Recruitment,Children's Services,Agency Fees
Salford City Council,2014-06-04,601116927,870.00,145.00,725.00,Hays Recruitment,Children's Services,Agency Fees
Salford City Council,2014-06-04,601116928,870.00,145.00,725.00,Hays Recruitment,Children's Services,Agency Fees
Salford City Council,2014-06-04,1600501620,5294.04,882.34,4411.70,Teaching Personnel Ltd,Children's Services,Agency Fees
Salford City Council,2014-06-04,1600505912,770.00,0.00,770.00,Tandem Theatre,Children's Services,External Audit Fees
Salford City Council,2014-06-04,1600506156,1981.98,330.33,1651.65,CG Cleaning,The Office of the Chief Executive,Electricity
Salford City Council,2014-06-04,1600507011,4800.00,800.00,4000.00,Click Fire & Security Ltd,Environment and Community Safety,Security/Equipment
Salford City Council,2014-06-04,601116968,750.00,0.00,750.00,M & Q Properties Management Ltd,"Community, Health & Social Care",Rents
Salford City Council,2014-06-04,1600506950,840.00,140.00,700.00,F. R. Sharrock Limited,Environment and Community Safety,Annual Vehicle Hire
Salford City Council,2014-06-04,1600505074,17373.12,2895.52,14477.60,Taylors Oak Park,Environment and Community Safety,Equipment Purchase
Salford City Council,2014-06-04,1600505769,786.60,0.00,786.60,C P A G,"Community, Health & Social Care",Books & Periodicals
Salford City Council,2014-06-04,1600505365,852.00,142.00,710.00,Harvest Healthcare,"Community, Health & Social Care",Disability Equipment
Salford City Council,2014-06-04,1600505760,780.18,130.03,650.15,Helping Hand Company,"Community, Health & Social Care",Disability Equipment
Salford City Council,2014-06-04,1600505046,812.88,135.48,677.40,Morris & Alexander Limited,"Community, Health & Social Care",Disability Equipment
Salford City Council,2014-06-04,1600505784,666.00,111.00,555.00,Roma Medical Ltd,"Community, Health & Social Care",Disability Equipment
Salford City Council,2014-06-04,1600505309,560.44,93.41,467.03,The Danwood Group Limited,Customer and Support Services,Print & Photocopying
Salford City Council,2014-06-04,1600505293,2322.28,387.05,1935.23,Northgate Information Solutions,"Community, Health & Social Care",Other Prof Fees
Salford City Council,2014-06-04,1600505043,1020.00,170.00,850.00,Pma International Ltd,Customer and Support Services,Other Prof Fees
Salford City Council,2014-06-04,1600505037,13790.60,2298.43,11492.17,Baileyteswaine Ltd,Customer and Support Services,Telephones & Fax
Salford City Council,2014-06-04,1600505746,60647.16,0.00,60647.16,Greater Manchester West,Environment and Community Safety,Grants - External
Salford City Council,2014-06-04,601116981,528.00,0.00,528.00,Redacted Data,"Community, Health & Social Care",Refunds
Salford City Council,2014-06-04,601117002,606.00,0.00,606.00,Redacted Data,"Community, Health & Social Care",Refunds
Salford City Council,2014-06-04,601117001,788.66,0.00,788.66,Redacted Data,"Community, Health & Social Care",Refunds
Salford City Council,2014-06-04,601116999,560.00,0.00,560.00,Redacted Data,Children's Services,Children Act-Sect 17
Salford City Council,2014-06-04,1600505665,1284.53,214.09,1070.44,This Is Global,Children's Services,Marketing/Publicity
Salford City Council,2014-06-04,1600505724,582.00,97.00,485.00,Concordia Education & Training Llp,Children's Services,Training of Others
Salford City Council,2014-06-04,1600505279,1244.00,0.00,1244.00,Salford Community Leisure Ltd,Children's Services,Training of Others
Salford City Council,2014-06-04,1600506206,10833.33,0.00,10833.33,Acorn Care & Education Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-06-04,1600505902,10186.00,0.00,10186.00,After Care (Nw) Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-06-04,1600505302,19020.67,0.00,19020.67,Cambian Signpost,Children's Services,Payts to Agencies
Salford City Council,2014-06-04,1600505285,13926.96,2321.16,11605.80,Care Today Childrens Services,Children's Services,Payts to Agencies
Salford City Council,2014-06-04,1600505664,2895.00,0.00,2895.00,Crystal Care Solutions Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-06-04,1600507051,2556.67,0.00,2556.67,Fostering Solutions Limited,Children's Services,Payts to Agencies
Salford City Council,2014-06-04,1600507054,3024.22,0.00,3024.22,Fostering Solutions Limited,Children's Services,Payts to Agencies
Salford City Council,2014-06-04,1600507049,3251.85,0.00,3251.85,Fostering Solutions Limited,Children's Services,Payts to Agencies
Salford City Council,2014-06-04,1600505766,49532.50,0.00,49532.50,Lifeline Project Ltd,Environment and Community Safety,Payts to Agencies
Salford City Council,2014-06-04,1600505284,3520.67,0.00,3520.67,Modus Communicandi Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-06-04,1600505158,2023.56,0.00,2023.56,Parallel Parents,Children's Services,Payts to Agencies
Salford City Council,2014-06-04,1600505826,2083.80,0.00,2083.80,Parallel Parents,Children's Services,Payts to Agencies
Salford City Council,2014-06-04,1600505772,2312.70,0.00,2312.70,Parallel Parents,Children's Services,Payts to Agencies
Salford City Council,2014-06-04,1600505371,2809.20,0.00,2809.20,Parallel Parents,Children's Services,Payts to Agencies
Salford City Council,2014-06-04,1600505159,2890.80,0.00,2890.80,Parallel Parents,Children's Services,Payts to Agencies
Salford City Council,2014-06-04,1600505773,2890.80,0.00,2890.80,Parallel Parents,Children's Services,Payts to Agencies
Salford City Council,2014-06-04,1600505904,8635.67,0.00,8635.67,Social Care Services (Clayton) Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-06-04,1600505796,786.60,0.00,786.60,Swiis Fostercare Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-06-04,1600505771,824.36,0.00,824.36,Swiis Fostercare Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-06-04,1600505369,830.30,0.00,830.30,Swiis Fostercare Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-06-04,1600505152,845.50,0.00,845.50,Swiis Fostercare Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-06-04,1600505281,845.50,0.00,845.50,Swiis Fostercare Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-06-04,1600507136,846.45,0.00,846.45,Swiis Fostercare Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-06-04,601116721,4273.66,0.00,4273.66,The Fostering Team,Children's Services,Payts to Agencies
Salford City Council,2014-06-04,601116986,2973.06,0.00,2973.06,Care Of The Elderly Association,Customer and Support Services,Payts to Vol Orgs
Salford City Council,2014-06-04,601116988,980.00,0.00,980.00,Chums Support Group,Customer and Support Services,Payts to Vol Orgs
Salford City Council,2014-06-04,601116871,2650.00,0.00,2650.00,Friends Of Ordsall Park,Customer and Support Services,Payts to Vol Orgs
Salford City Council,2014-06-04,601116945,6136.76,0.00,6136.76,Abbotsound Limited,"Community, Health & Social Care",Day Care
Salford City Council,2014-06-04,601116962,1192.21,0.00,1192.21,Brookvale,"Community, Health & Social Care",Day Care
Salford City Council,2014-06-04,601116946,9731.00,0.00,9731.00,Alternative Futures Group Ltd,"Community, Health & Social Care",Supported Tenancies
Salford City Council,2014-06-04,601117007,1468.21,0.00,1468.21,Redacted Data,"Community, Health & Social Care",Payt to care clients
Salford City Council,2014-06-04,1600507069,1713.60,285.60,1428.00,Saltax Ltd,Children's Services,Pupil Assistance
Salford City Council,2014-06-04,1600505060,540.00,90.00,450.00,Global Dental Engineering Limited,Capital Expenditure,Purch of Furn/Equip
Salford City Council,2014-06-04,1600505057,1570.20,261.70,1308.50,Applewood Data Services,Capital Expenditure,Works & Building
Salford City Council,2014-06-04,1600507091,6603.56,1100.59,5502.97,E & J Kane Ltd,Capital Expenditure,Works & Building
Salford City Council,2014-06-04,1600507092,21450.19,3575.03,17875.16,E & J Kane Ltd,Capital Expenditure,Works & Building
Salford City Council,2014-06-04,601116943,100576.64,16762.72,83813.92,Sovereign Group Ltd,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2014-06-04,1600505191,3504.00,584.00,2920.00,Chris Burnett Associates,Capital Expenditure,External Fees-Other
Salford City Council,2014-06-04,601116925,960.00,160.00,800.00,Pricewaterhousecoopers Llp,Capital Expenditure,External Fees-Other
Salford City Council,2014-06-04,601117005,570.00,95.00,475.00,C Owens Builders/Contractors,Capital Expenditure,Legal Fees
Salford City Council,2014-06-04,601115517,1000.00,0.00,1000.00,Redacted Data,Capital Expenditure,Home Loss Payments
Salford City Council,2014-06-04,601116991,1000.00,0.00,1000.00,Redacted Data,Capital Expenditure,Home Loss Payments
