Authority Name,Date of Payment,SAP Document Number,Amount,,,Supplier Name,Directorate,G/L description.
Salford City Council,2018-11-01,1600616299,3900,0,3900,Sunrise Medical Ltd,Capital Expenditure,Improvement Grants
Salford City Council,2018-11-01,601229918,3160,0,3160,The Court Service,Place Directorate,Debt Collection
Salford City Council,2018-11-01,1600616725,771.6,128.6,643,The Landing At Media City Ltd,Service Reform (Corp Bus & Transform),Hire of Facilities
Salford City Council,2018-11-01,1600616751,24000,4000,20000,The Landing At Media City Ltd,Service Reform (Corp Bus & Transform),Subscriptions
Salford City Council,2018-11-01,601229930,11256.19,0,11256.19,Tylers Solicitors,Service Reform (Corp Bus & Transform),Liability Insurance
Salford City Council,2018-11-01,1600616745,688.58,114.76,573.82,Tynetec Limited,Capital Expenditure,Purch of Furn/Equip
Salford City Council,2018-11-01,1600616312,658.63,101.02,557.61,Yeshili Reflective Materials Ltd,Place Directorate,Clothing & Uniforms
Salford City Council,2018-11-01,kvwbrryic,624.15,104.02,520.13,Travelodge Gb0000,People (Adults) - CHSC,Rents
Salford City Council,2018-11-01,wuaqrsvyy,842.92,0,842.92,Www.Argos.Co.Uk,People (Childrens) Service Group,General Expenditure Reallocation
Salford City Council,2018-11-01,ekebuccmu,614.71,3.16,611.55,Brake Bros Ltd,Place Directorate,Food and refreshments
Salford City Council,2018-11-01,wvtnoyfyo,523.49,2.32,521.17,Brake Bros Ltd,Place Directorate,Food and refreshments
Salford City Council,2018-11-02,1600616361,1392,232,1160,Baker Consultants,Capital Expenditure,Other Works
Salford City Council,2018-11-02,1600615964,9600,1600,8000,Bloom Procurement Services Ltd,Capital Expenditure,Ext Fees-Other
Salford City Council,2018-11-02,1600615979,28994.4,4832.4,24162,Bloom Procurement Services Ltd,Capital Expenditure,Miscellaneous Exes
Salford City Council,2018-11-02,1600616310,720,120,600,Buddi Ltd,Capital Expenditure,Purch of Furn/Equip
Salford City Council,2018-11-02,601229979,25233.29,0,25233.29,City West Housing Trust,People (Adults) - CHSC,Rents
Salford City Council,2018-11-02,601229731,12000,2000,10000,Crif Decision Solutions Ltd,Service Reform (Corp Bus & Transform),Liability Insurance
Salford City Council,2018-11-02,601229387,1280.39,213.4,1066.99,David Phillips Group,People (Adults) - CHSC,Furniture
Salford City Council,2018-11-02,601229390,1500.12,250.02,1250.1,David Phillips Group,People (Adults) - CHSC,Furniture
Salford City Council,2018-11-02,1600616109,600.47,100.08,500.39,F & G Commercials Ltd,Capital Expenditure,Vehicle Maintenance
Salford City Council,2018-11-02,601229369,2700,0,2700,Hawthorn Hotel,People (Childrens) Service Group,Rents
Salford City Council,2018-11-02,601229997,2760,460,2300,Impact Security Services Limited,People (Childrens) Service Group,Training expenses
Salford City Council,2018-11-02,1600616835,600,100,500,Lodge Tyre Co.Ltd,Capital Expenditure,Vehicle Maintenance
Salford City Council,2018-11-02,1600613649,1000,0,1000,Manchester Action On Street Health,Public Health,Payts to Agencies
Salford City Council,2018-11-02,1600614513,1000,0,1000,Manchester Action On Street Health,Public Health,Payts to Agencies
Salford City Council,2018-11-02,1600616161,679.1,113.18,565.92,Northgate Vehicle Hire (Nw) Ltd,Place Directorate,Annual Vehicle Hire
Salford City Council,2018-11-02,1600616130,764.74,127.46,637.28,Northgate Vehicle Hire (Nw) Ltd,Place Directorate,Annual Vehicle Hire
Salford City Council,2018-11-02,601229221,19194.33,0,19194.33,Pontville School Limited,People (Childrens) Service Group,Non-Maint Spec Schls
Salford City Council,2018-11-02,601229222,21825,0,21825,Pontville School Limited,People (Childrens) Service Group,Non-Maint Spec Schls
Salford City Council,2018-11-02,601229224,22916,0,22916,Pontville School Limited,People (Childrens) Service Group,Non-Maint Spec Schls
Salford City Council,2018-11-02,601229992,520,0,520,Redacted Data,Place Directorate,Other Prof Fees
Salford City Council,2018-11-02,601229990,540,0,540,Redacted Data,Place Directorate,Other Prof Fees
Salford City Council,2018-11-02,601229989,940,0,940,Redacted Data,Place Directorate,Other Prof Fees
Salford City Council,2018-11-02,601229976,9498.58,0,9498.58,Redacted Data,Capital Expenditure,Miscellaneous Exes
Salford City Council,2018-11-02,1600616354,1200,200,1000,Salford Community Leisure Ltd,Service Reform (Corp Bus & Transform),Other Prof Fees
Salford City Council,2018-11-02,1600615925,1653.2,275.53,1377.67,Scarab Sweepers Ltd,Capital Expenditure,Vehicle Maintenance
Salford City Council,2018-11-02,1600615898,52440,8740,43700,Schofield & Sons Ltd,Capital Expenditure,Works & Building
Salford City Council,2018-11-02,1600616314,3135,522.5,2612.5,Softcat Limited,Service Reform (Corp Bus & Transform),Cmputer Eqt purchase
Salford City Council,2018-11-02,1600616316,5022.35,837.06,4185.29,Softcat Limited,Service Reform (Corp Bus & Transform),Cmputer Eqt purchase
Salford City Council,2018-11-02,1600616315,16670.63,2778.44,13892.19,Softcat Limited,Service Reform (Corp Bus & Transform),Cmputer Eqt purchase
Salford City Council,2018-11-02,601229565,3369.6,561.6,2808,T/A Amblehurst Hotel,People (Adults) - CHSC,Rents
Salford City Council,2018-11-02,601229846,750,125,625,Teaching Personnel Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,2018-11-02,601229567,2780.33,463.39,2316.94,Virgin Media Business,Service Reform (Corp Bus & Transform),Telephones & Fax
Salford City Council,2018-11-02,601228689,2564.64,427.44,2137.2,Vodafone Ltd Data Solutions,Service Reform (Corp Bus & Transform),Computer Maintenance
Salford City Council,2018-11-02,1600616387,1537.5,256.25,1281.25,Wyke Commercial Services Ltd,Capital Expenditure,Vehicle Maintenance
Salford City Council,2018-11-02,1600616258,683.08,113.85,569.23,Xma Ltd,People (Adults) - CHSC,Cmputer Eqt purchase
Salford City Council,2018-11-02,1600616264,683.08,113.85,569.23,Xma Ltd,People (Childrens) Service Group,Cmputer Eqt purchase
Salford City Council,2018-11-02,1600616260,683.08,113.85,569.23,Xma Ltd,Place Directorate,Cmputer Eqt purchase
Salford City Council,2018-11-02,1600616257,683.08,113.85,569.23,Xma Ltd,Service Reform (Corp Bus & Transform),Cmputer Eqt purchase
Salford City Council,2018-11-02,1600616262,1366.15,227.69,1138.46,Xma Ltd,Service Reform (Corp Bus & Transform),Cmputer Eqt purchase
Salford City Council,2018-11-02,1600616256,2049.23,341.54,1707.69,Xma Ltd,People (Childrens) Service Group,Cmputer Eqt purchase
Salford City Council,2018-11-02,1600616261,2732.3,455.38,2276.92,Xma Ltd,People (Childrens) Service Group,Cmputer Eqt purchase
Salford City Council,2018-11-02,1600616263,2732.3,455.38,2276.92,Xma Ltd,People (Childrens) Service Group,Cmputer Eqt purchase
Salford City Council,2018-11-02,gngywyolp,567,0,567,Ao Retail Limited,People (Childrens) Service Group,Fixtures & Fittings
Salford City Council,2018-11-02,eqoiytxfy,516.15,2.55,513.6,Brake Bros Ltd,Place Directorate,Food and refreshments
Salford City Council,2018-11-02,rxrtkjivu,1284.55,63.95,1220.6,Brake Bros Ltd,Place Directorate,Food and refreshments
Salford City Council,2018-11-02,evtrpdgwg,650.58,108.43,542.15,Premier Paper Gp,Service Reform (Corp Bus & Transform),Stationery
Salford City Council,2018-11-03,lmftauskp,509,0,509,-Kiwi.Com-,People (Childrens) Service Group,Conferences / Seminars
Salford City Council,2018-11-05,601230001,654.3,11.68,642.62,1010 Taxis,People (Childrens) Service Group,Staff Travel
Salford City Council,2018-11-05,601230002,697.84,12.44,685.4,1010 Taxis,People (Childrens) Service Group,Staff Travel
Salford City Council,2018-11-05,1600616151,9044.4,1507.4,7537,Bloom Procurement Services Ltd,Capital Expenditure,Miscellaneous Exes
Salford City Council,2018-11-05,1600615538,3384,564,2820,"C. Masters Decorators Ltd.,",Capital Expenditure,Works & Building
Salford City Council,2018-11-05,601230004,1194,199,995,Cipfa Business Ltd,Capital Expenditure,Other Works
Salford City Council,2018-11-05,601229433,2794.6,465.76,2328.84,Clarion Security Systems Ltd,People (Childrens) Service Group,nonuv Build Rp&Maint
Salford City Council,2018-11-05,601229095,520,0,520,Csin Cic,People (Childrens) Service Group,Class Supplies Capit
Salford City Council,2018-11-05,1600615442,2954.88,492.48,2462.4,Emo Oil Ltd,Capital Expenditure,Other Works
Salford City Council,2018-11-05,1600615244,2950,0,2950,Langworthy Cornerstone Assoc.,People (Childrens) Service Group,Rents
Salford City Council,2018-11-05,1600616252,2408.83,401.47,2007.36,Manchester City Council,Capital Expenditure,Ext Fees-Other
Salford City Council,2018-11-05,1600616140,600,100,500,Northgate Public Services (Uk) Ltd,Service Reform (Corp Bus & Transform),Computer Software
Salford City Council,2018-11-05,1600616367,1664.59,277.43,1387.16,Redacted Data,Place Directorate,Refunds
Salford City Council,2018-11-05,601230008,2257.2,0,2257.2,Redacted Data,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2018-11-05,1600616083,874.49,145.75,728.74,Renault Manchester/Reagroup,Capital Expenditure,Vehicle Maintenance
Salford City Council,2018-11-05,601229554,609.7,101.62,508.08,Rm Education Plc,People (Childrens) Service Group,Cmputer Eqt purchase
Salford City Council,2018-11-05,601229556,3513.31,585.55,2927.76,Rm Education Plc,People (Childrens) Service Group,Cmputer Eqt purchase
Salford City Council,2018-11-05,1600616153,1416,236,1180,Roche Audio Visual,Service Reform (Corp Bus & Transform),Equipment Purchase
Salford City Council,2018-11-05,1600614936,1863,310.5,1552.5,Security Plus Ltd,Place Directorate,Cash in Transit Serv
Salford City Council,2018-11-05,1600615284,4322.4,720.4,3602,Stannah Stairlifts Ltd,Capital Expenditure,Improvement Grants
Salford City Council,2018-11-05,1600616141,942,157,785,Style North,Service Reform (Corp Bus & Transform),UV Day to Day
Salford City Council,2018-11-05,1600616150,526.56,87.76,438.8,Swinton Park Golf And Country Club,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-11-05,1600616362,522,87,435,T/A Tudor Environmental,Place Directorate,Equipment Purchase
Salford City Council,2018-11-05,1600615531,903,0,903,Together Trust,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-11-05,1600615528,7410,0,7410,Together Trust,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-11-05,kfuxqcmko,571,95.17,475.83,Premier Inn 44531690,People (Adults) - CHSC,Rents
Salford City Council,2018-11-05,mmcvnnrft,571,95.17,475.83,Premier Inn 44531690,People (Adults) - CHSC,Rents
Salford City Council,2018-11-05,zirtxeeeh,1665.44,8.09,1657.35,Hn Nuttall Ltd,Place Directorate,Food and refreshments
Salford City Council,2018-11-05,rpcqjnfrw,538.15,4.74,533.41,Brake Bros Ltd,Place Directorate,Food and refreshments
Salford City Council,2018-11-05,ztcasmosd,505.51,,505.51,Brake Bros Ltd,Place Directorate,Food and refreshments
Salford City Council,2018-11-05,domxxjysw,675,0,675,Amazon.Co.Uk,People (Childrens) Service Group,Equipment Purchase
Salford City Council,2018-11-06,601230193,5655.72,0,5655.72,Cleggs Chilled Food Service,Place Directorate,Food and refreshment
Salford City Council,2018-11-06,601229968,1712.3,285.38,1426.92,Co-Wheels Car Club,Service Reform (Corp Bus & Transform),Annual Vehicle Hire
Salford City Council,2018-11-06,1600615082,13914,2319,11595,Co-Wheels Car Club,Service Reform (Corp Bus & Transform),Annual Vehicle Hire
Salford City Council,2018-11-06,601230174,520,0,520,Csin Cic,People (Childrens) Service Group,Class Supplies Capit
Salford City Council,2018-11-06,601229177,561.6,93.6,468,Equilibrium & Enablement Ltd,People (Childrens) Service Group,Training expenses
Salford City Council,2018-11-06,601229602,1353,225.5,1127.5,Eversheds Sutherland (Inter) Llp,Place Directorate,Other Prof Fees
Salford City Council,2018-11-06,601230211,522,87,435,Forbes Solicitors,Service Reform (Corp Bus & Transform),Liability Insurance
Salford City Council,2018-11-06,601230218,756,126,630,Forbes Solicitors,Service Reform (Corp Bus & Transform),Liability Insurance
Salford City Council,2018-11-06,601230213,1201.8,200.3,1001.5,Forbes Solicitors,Service Reform (Corp Bus & Transform),Liability Insurance
Salford City Council,2018-11-06,601230216,2842.8,473.8,2369,Forbes Solicitors,Service Reform (Corp Bus & Transform),Liability Insurance
Salford City Council,2018-11-06,601230212,4140,0,4140,Forbes Solicitors,Service Reform (Corp Bus & Transform),Liability Insurance
Salford City Council,2018-11-06,601230217,5043,798,4245,Forbes Solicitors,Service Reform (Corp Bus & Transform),Liability Insurance
Salford City Council,2018-11-06,601230194,624,104,520,Forviva,People (Childrens) Service Group,Class Supplies Capit
Salford City Council,2018-11-06,601230198,816.8,0,816.8,Forviva,People (Childrens) Service Group,Class Supplies Capit
Salford City Council,2018-11-06,601230173,2188.4,0,2188.4,Forviva,People (Childrens) Service Group,Class Supplies Capit
Salford City Council,2018-11-06,1600616552,79800,13300,66500,G Jones Builders Ltd,Place Directorate,nonuv Build Rp&Maint
Salford City Council,2018-11-06,1600616395,1335.6,222.6,1113,Gbm Digital Technologies Ltd,Public Health,Cmputer Eqt purchase
Salford City Council,2018-11-06,1600615084,910.8,151.8,759,Granart Memorials,Place Directorate,Gen Resaleable Items
Salford City Council,2018-11-06,601230230,550,0,550,Jmkn Llp,People (Adults) - CHSC,Rental Bonds
Salford City Council,2018-11-06,601230164,1087.3,181.22,906.08,Konica Minolta Business Solutions,People (Childrens) Service Group,Equipment Leasing
Salford City Council,2018-11-06,1600616365,555,92.5,462.5,Lancashire County Council,Place Directorate,Sampling
Salford City Council,2018-11-06,1600616364,656.4,109.4,547,Lancashire County Council,Place Directorate,Sampling
Salford City Council,2018-11-06,1600616550,738.44,0,738.44,Northgate Vehicle Hire (Nw) Ltd,Capital Expenditure,Vehicle Maintenance
Salford City Council,2018-11-06,601230232,960,0,960,Paypoint Plc,People (Adults) - CHSC,Gas
Salford City Council,2018-11-06,601229467,1230,205,1025,Protocol Education,People (Childrens) Service Group,Agency Fees
Salford City Council,2018-11-06,1600617008,3696,0,3696,Radical Services Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-11-06,601230203,2698.5,449.75,2248.75,Rm Education Plc,People (Childrens) Service Group,Computer Software
Salford City Council,2018-11-06,1600617035,7482.58,1247.1,6235.48,S & W Tlp (Project Co One) Ltd,People (Childrens) Service Group,Unitary Charge
Salford City Council,2018-11-06,1600617038,1913.69,318.95,1594.74,S & W Tlp (Project Co One) Ltd,People (Childrens) Service Group,Unitary Charge
Salford City Council,2018-11-06,1600617039,854263.81,142377.3,711886.51,S & W Tlp (Project Co One) Ltd,People (Childrens) Service Group,Unitary Charge
Salford City Council,2018-11-06,1600617040,8879.44,1479.91,7399.53,S & W Tlp (Project Co Two) Ltd,People (Childrens) Service Group,Unitary Charge
Salford City Council,2018-11-06,1600617041,961935.66,160322.61,801613.05,S & W Tlp (Project Co Two) Ltd,People (Childrens) Service Group,Unitary Charge
Salford City Council,2018-11-06,601229555,560,0,560,Salford Royal Nhs Foundation Trust,People (Childrens) Service Group,Class Supplies Capit
Salford City Council,2018-11-06,1600616170,912,152,760,Scarab Sweepers Ltd,Capital Expenditure,Vehicle Maintenance
Salford City Council,2018-11-06,601230221,12516.6,0,12516.6,Street Uk Ltd Client Monies Account,Capital Expenditure,Other Works
Salford City Council,2018-11-06,1600616993,10000,0,10000,"Tlc:Talk,Listen,Change",People (Childrens) Service Group,Training expenses
Salford City Council,2018-11-06,601229605,1037.3,172.91,864.39,Tts Group Ltd,People (Childrens) Service Group,Class Supplies Capit
Salford City Council,2018-11-06,601229596,8970.42,1495.07,7475.35,Virgin Media Business,Service Reform (Corp Bus & Transform),Telephones & Fax
Salford City Council,2018-11-06,1600615181,590.04,98.34,491.7,Whistl Uk Ltd,Service Reform (Corp Bus & Transform),Postage
Salford City Council,2018-11-06,1600615179,784.61,130.77,653.84,Whistl Uk Ltd,Service Reform (Corp Bus & Transform),Postage
Salford City Council,2018-11-06,1600615180,4697.41,782.9,3914.51,Whistl Uk Ltd,Service Reform (Corp Bus & Transform),Postage
Salford City Council,2018-11-06,1600617045,1920,320,1600,Worsley Glass & Glazing,Place Directorate,UV Day to Day
Salford City Council,2018-11-06,601230231,525,0,525,Wow Kids Ltd T/A Bright Futures,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-11-06,lcwsejzqb,1390.8,231.8,1159,Capita Business Servs,Place Directorate,Other Works
Salford City Council,2018-11-06,pekmqlwkb,538.14,89.69,448.45,City Electrical Fa,Place Directorate,Materials
Salford City Council,2018-11-06,wlhfwkevc,769.68,128.28,641.4,Www.Glasdon.Com,People (Adults) - CHSC,Stationery
Salford City Council,2018-11-06,edfhwnggv,36218.61,6036.43,30182.18,Network Ventures Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,2018-11-06,ouvxljhvq,629.34,0.84,628.5,Brake Bros Ltd,Place Directorate,Food and refreshments
Salford City Council,2018-11-06,iccdtegze,935.12,71.88,863.24,Brake Bros Ltd,Place Directorate,Food and refreshments
Salford City Council,2018-11-06,sxvvnatui,1751.74,0,1751.74,Bookerecomm,People (Childrens) Service Group,Housekeeping
Salford City Council,2018-11-07,1600616674,1150.4,0,1150.4,Africans Unite Against Child Abuse,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-11-07,1600617197,576,96,480,Alan Franklin Builders Ltd,Capital Expenditure,Other Works
Salford City Council,2018-11-07,1600617201,1014,169,845,Alan Franklin Builders Ltd,Place Directorate,Rechargeable R & Mnt
Salford City Council,2018-11-07,1600617198,1416,236,1180,Alan Franklin Builders Ltd,Capital Expenditure,Other Works
Salford City Council,2018-11-07,1600617199,4200,700,3500,Alan Franklin Builders Ltd,Place Directorate,UV Vandalism
Salford City Council,2018-11-07,601230244,1128.24,188.04,940.2,Berendsen Uk Ltd,Place Directorate,Laundry
Salford City Council,2018-11-07,1600617196,1058.4,176.4,882,Bradshaw International,Capital Expenditure,Works & Building
Salford City Council,2018-11-07,601230251,1116,186,930,Bridge Education & Training Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,2018-11-07,1600616123,750.66,125.11,625.55,C P Davidson & Sons Ltd,Place Directorate,Vehicle Maintenance
Salford City Council,2018-11-07,1600615909,1186.04,197.67,988.37,C P Davidson & Sons Ltd,Capital Expenditure,Vehicle Maintenance
Salford City Council,2018-11-07,1600615759,1294.92,0,1294.92,Chubb Fire & Security Ltd,Capital Expenditure,Purch of Furn/Equip
Salford City Council,2018-11-07,1600615738,2249.28,374.88,1874.4,Chubb Fire & Security Ltd,Capital Expenditure,Purch of Furn/Equip
Salford City Council,2018-11-07,601230278,1272,0,1272,Cromwood Housing Ltd,People (Adults) - CHSC,Rents
Salford City Council,2018-11-07,1600615537,5140.8,856.8,4284,Earlsmere Limited,Place Directorate,Other Prof Fees
Salford City Council,2018-11-07,601230250,702,0,702,Fab Travel Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2018-11-07,1600616423,35121.6,5853.6,29268,Gristwood And Toms Ltd,Place Directorate,Contractors
Salford City Council,2018-11-07,1600617138,3264,544,2720,Horticon Limited,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2018-11-07,1600617136,4287.6,714.6,3573,Horticon Limited,Capital Expenditure,Other Works
Salford City Council,2018-11-07,1600616271,1080,180,900,Institute Of Licensing,Place Directorate,Training expenses
Salford City Council,2018-11-07,1600617135,42703.26,7117.21,35586.05,Landscape Engineering Ltd,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2018-11-07,601230285,5857.92,976.32,4881.6,Language Empire Limited,Service Reform (Corp Bus & Transform),Interpreters and tra
Salford City Council,2018-11-07,601230284,6309.3,1051.55,5257.75,Language Empire Limited,Service Reform (Corp Bus & Transform),Interpreters and tra
Salford City Council,2018-11-07,601230286,2052,342,1710,Livesey Contracting & Maintenance L,Place Directorate,UV Day to Day
Salford City Council,2018-11-07,601230290,3420,570,2850,Livesey Contracting & Maintenance L,Place Directorate,UV Day to Day
Salford City Council,2018-11-07,601230283,5264.64,877.44,4387.2,Livesey Contracting & Maintenance L,Place Directorate,UV Day to Day
Salford City Council,2018-11-07,601230247,810,0,810,Marmion (Taxis),People (Childrens) Service Group,Pupil Assistance
Salford City Council,2018-11-07,1600617187,515.62,84.64,430.98,Medgen Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-11-07,1600617184,552.69,90.24,462.45,Medgen Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-11-07,1600617182,603.84,100.64,503.2,Medgen Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-11-07,1600617183,608.64,101.44,507.2,Medgen Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-11-07,1600617190,993.6,165.6,828,Medgen Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-11-07,1600617180,1135.14,180.48,954.66,Medgen Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-11-07,1600617181,1200,200,1000,Medgen Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-11-07,1600617188,1523.52,253.92,1269.6,Medgen Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-11-07,1600617189,2287.68,381.28,1906.4,Medgen Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-11-07,1600617175,2323.68,387.28,1936.4,Medgen Ltd,People (Childrens) Service Group,Payts to Agencies
