ï»¿Authority Name,Date of Payment,SAP Document Number,Gross,VAT,Net,Supplier Name,Directorate,G/L description.
Salford City Council,2020-07-02,1600649983,2149.12,358.19,1790.93,K J Lines Limited,Place Directorate,Contractors
Salford City Council,2020-07-02,1600650005,2154.00,359.00,1795.00,Geomatic Surveys Ltd,Service Reform (Corp Bus & Transform),Ext Fees-Other
Salford City Council,2020-07-02,601280163,2163.19,0.00,2163.19,Mistoria Estate Agents Ltd,People (Adults) - CHSC,Rents
Salford City Council,2020-07-02,601280171,2163.19,0.00,2163.19,Mistoria Estate Agents Ltd,People (Adults) - CHSC,Rents
Salford City Council,2020-07-02,601280279,2354.25,392.38,1961.87,Advanced Child Care Assessments Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-07-02,1600648866,2400.00,400.00,2000.00,Community Partners Ltd,Service Reform (Corp Bus & Transform),Gen Contractor Work
Salford City Council,2020-07-02,601280165,2579.59,0.00,2579.59,Mistoria Estate Agents Ltd,People (Adults) - CHSC,Rents
Salford City Council,2020-07-02,1600649985,2583.44,430.57,2152.87,K J Lines Limited,Place Directorate,Contractors
Salford City Council,2020-07-02,1600650035,2599.14,433.19,2165.95,Day Architectural Ltd,Service Reform (Corp Bus & Transform),Works & Building
Salford City Council,2020-07-02,1600650032,2850.00,0.00,2850.00,Remedi-Restorative Services,People (Childrens) Service Group,Other Prof Fees
Salford City Council,2020-07-02,1600649986,2940.00,490.00,2450.00,Sports Labs Ltd,Service Reform (Corp Bus & Transform),Ext Fees-Other
Salford City Council,2020-07-02,1600649981,3014.12,502.35,2511.77,K J Lines Limited,Place Directorate,Contractors
Salford City Council,2020-07-02,1600650027,3080.00,0.00,3080.00,T/A The Marlowe School,People (Childrens) Service Group,Non-Maint Spec Schls
Salford City Council,2020-07-02,601280270,3161.10,0.00,3161.10,Mclarens Aviation Ltd,Service Reform (Corp Bus & Transform),Other Prof Fees
Salford City Council,2020-07-02,1600650053,3527.30,587.88,2939.42,Click Fire & Security Ltd - 24 Acco,Service Reform (Corp Bus & Transform),Works & Building
Salford City Council,2020-07-02,1600650057,3736.68,0.00,3736.68,Pioneer House High School,People (Childrens) Service Group,Payts to Other LA's
Salford City Council,2020-07-02,1600650006,3772.15,628.69,3143.46,Next Level Learning Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-07-02,1600649980,4842.00,0.00,4842.00,The Orchards Special Free School,People (Childrens) Service Group,Non-Maint Spec Schls
Salford City Council,2020-07-02,1600649969,4932.28,822.05,4110.23,S & W Tlp (Project Co One) Ltd,People (Childrens) Service Group,Unitary Charge
Salford City Council,2020-07-02,1600650018,5419.07,903.18,4515.89,Allpay Ltd,Service Reform (Corp Bus & Transform),Bank Commission
Salford City Council,2020-07-02,601280280,10000.00,0.00,10000.00,Americamp Ltd,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-07-02,601280282,10000.00,0.00,10000.00,Redacted Data,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-07-02,601280283,10000.00,0.00,10000.00,Redacted Data,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-07-02,601280284,10000.00,0.00,10000.00,Redacted Data,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-07-02,601280281,25000.00,0.00,25000.00,Freshstores Ltd,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-07-02,601280285,25000.00,0.00,25000.00,Meridian Business Support Limited,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-07-02,601280207,1351503.60,225250.60,1126253.00,Salford Community Leisure Ltd,Place Directorate,SCL management fee
Salford City Council,2020-07-03,601280475,2476.02,412.67,2063.35,Urban Vision Partnership Ltd,Place Directorate,Unclass Road Maint
Salford City Council,2020-07-03,1600650105,533.10,88.85,444.25,Glowarm Dsp Ltd,Service Reform (Corp Bus & Transform),Other Works
Salford City Council,2020-07-03,1600650099,538.13,89.69,448.44,K J Lines Limited,Place Directorate,Contractors
Salford City Council,2020-07-03,1600650149,555.06,92.51,462.55,Valtech,Service Reform (Corp Bus & Transform),Other Prof Fees
Salford City Council,2020-07-03,1600650109,598.81,99.80,499.01,Arrow County Supplies Ltd,Place Directorate,Materials
Salford City Council,2020-07-03,6003064594,617.50,0.00,617.50,Dvla Vehicle Tax,Place Directorate,Payment to Government Departments
Salford City Council,2020-07-03,6003064639,617.50,0.00,617.50,Dvla Vehicle Tax,Place Directorate,Payment to Government Departments
Salford City Council,2020-07-03,6003064662,617.50,0.00,617.50,Dvla Vehicle Tax,Place Directorate,Payment to Government Departments
Salford City Council,2020-07-03,601280495,678.00,113.00,565.00,Randstad Public Services Limited,People (Childrens) Service Group,Agency Fees
Salford City Council,2020-07-03,1600650100,703.08,117.18,585.90,T/A Bramhall Flooring Company Ltd,Service Reform (Corp Bus & Transform),Works & Building
Salford City Council,2020-07-03,601280479,718.80,119.80,599.00,Dwf Llp - Leeds,Service Reform (Corp Bus & Transform),Legal Fees
Salford City Council,2020-07-03,1600650088,745.72,124.29,621.43,Hireway Vehicle Rentals Ltd,Place Directorate,Annual Vehicle Hire
Salford City Council,2020-07-03,1600650089,745.72,124.29,621.43,Hireway Vehicle Rentals Ltd,Place Directorate,Annual Vehicle Hire
Salford City Council,2020-07-03,1600650090,745.72,124.29,621.43,Hireway Vehicle Rentals Ltd,Place Directorate,Annual Vehicle Hire
Salford City Council,2020-07-03,601280494,747.78,124.63,623.15,Teaching Personnel Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,2020-07-03,1600650091,802.28,133.71,668.57,Hireway Vehicle Rentals Ltd,Place Directorate,Annual Vehicle Hire
Salford City Council,2020-07-03,601280483,1047.64,0.00,1047.64,Beenstock Home Management Co Ltd,People (Adults) - CHSC,Supported Tenancies
Salford City Council,2020-07-03,601280289,1071.43,0.00,1071.43,Cromwood Housing Ltd,People (Childrens) Service Group,Rents
Salford City Council,2020-07-03,601280478,1200.00,200.00,1000.00,Dwf Llp - Leeds,Service Reform (Corp Bus & Transform),Legal Fees
Salford City Council,2020-07-03,601280467,1250.00,0.00,1250.00,Adept = Association Of Directors Of,Place Directorate,Principal Road Maint
Salford City Council,2020-07-03,1600650103,1507.56,251.26,1256.30,Capita Business Services Ltd,Place Directorate,Storage
Salford City Council,2020-07-03,601280487,1665.15,0.00,1665.15,Coveleaf Limited,People (Adults) - CHSC,Resid Care Home
Salford City Council,2020-07-03,601280482,2050.70,0.00,2050.70,Beenstock Home Management Co Ltd,People (Adults) - CHSC,Resid Care Home
Salford City Council,2020-07-03,601280486,2215.49,0.00,2215.49,The Broughtons Residential Home,People (Adults) - CHSC,Resid Care Home
Salford City Council,2020-07-03,601280287,2320.00,0.00,2320.00,Redacted Data,People (Adults) - CHSC,Unitary Charge
Salford City Council,2020-07-03,1600650168,2400.00,400.00,2000.00,Cmgrp Uk Ltd T/A Weber Shandwick,Service Reform (Corp Bus & Transform),Marketing/Publicity
Salford City Council,2020-07-03,601280485,2421.60,0.00,2421.60,Redacted Data,People (Adults) - CHSC,Home Helps
Salford City Council,2020-07-03,601280484,2501.46,0.00,2501.46,Creative Support,People (Adults) - CHSC,Supported Tenancies
Salford City Council,2020-07-03,6003064659,2800.00,0.00,2800.00,Approved Property Mana,People (Adults) - CHSC,Rents
Salford City Council,2020-07-03,1600650108,2880.00,480.00,2400.00,No Graffiti  Ltd,Place Directorate,Prog Maint & Works
Salford City Council,2020-07-03,601280277,2900.00,0.00,2900.00,"Claremont, Weaste & Seedley Home Wa",Place Directorate,Payts to Vol Orgs
Salford City Council,2020-07-03,601280481,3446.00,0.00,3446.00,Kenyon Lodge Nursing Home,People (Adults) - CHSC,Resid Care Home
Salford City Council,2020-07-03,1600650155,3705.50,617.58,3087.92,Exclusec Group Ltd,Service Reform (Corp Bus & Transform),Security Services
Salford City Council,2020-07-03,1600648867,3840.00,640.00,3200.00,Power Data Associates Ltd,Place Directorate,Gen Contractor Work
Salford City Council,2020-07-03,1600650156,4095.00,0.00,4095.00,Start In  Salford,People (Adults) - CHSC,Payts to Agencies
Salford City Council,2020-07-03,601280456,4617.60,0.00,4617.60,Great Places Housing Association,People (Adults) - CHSC,Rents
Salford City Council,2020-07-03,1600650153,4716.10,786.02,3930.08,Exclusec Group Ltd,Service Reform (Corp Bus & Transform),Security Services
Salford City Council,2020-07-03,1600650163,4753.67,0.00,4753.67,Birtenshaw Hall,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-07-03,1600650152,5645.26,940.88,4704.38,Exclusec Group Ltd,Service Reform (Corp Bus & Transform),Security Services
Salford City Council,2020-07-03,1600650154,5645.26,940.88,4704.38,Exclusec Group Ltd,Service Reform (Corp Bus & Transform),Security Services
Salford City Council,2020-07-03,1600650169,6000.00,1000.00,5000.00,Cmgrp Uk Ltd T/A Weber Shandwick,Service Reform (Corp Bus & Transform),Marketing/Publicity
Salford City Council,2020-07-03,601280468,6954.90,0.00,6954.90,Mistoria Estate Agents Ltd,People (Adults) - CHSC,Rents
Salford City Council,2020-07-03,1600650151,7566.37,1261.06,6305.31,Exclusec Group Ltd,Service Reform (Corp Bus & Transform),Security Services
Salford City Council,2020-07-03,601280476,11095.11,0.00,11095.11,Together Housing Association Ltd,People (Adults) - CHSC,Rents
Salford City Council,2020-07-03,601280474,11424.00,1904.00,9520.00,Urban Vision Partnership Ltd,Place Directorate,Unclass Road Maint
Salford City Council,2020-07-03,1600650098,11800.00,0.00,11800.00,Wigan Bc-7023-Newbridge Learning Co,People (Childrens) Service Group,Payts to Other LA's
Salford City Council,2020-07-03,601280480,11960.40,0.00,11960.40,Broughton House For X Service,People (Adults) - CHSC,Resid Care Home
Salford City Council,2020-07-03,601280493,12674.95,0.00,12674.95,Beenstock Home Management Co Ltd,People (Adults) - CHSC,Resid Care Home
Salford City Council,2020-07-03,601279765,14865.75,0.00,14865.75,Manchester City Mission,People (Adults) - CHSC,Rents
Salford City Council,2020-07-03,601278643,15072.00,0.00,15072.00,Warrington Borough Council,People (Childrens) Service Group,Payts to Other LA's
Salford City Council,2020-07-03,1600650137,17000.00,0.00,17000.00,Salford Foundation Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-07-03,1600649505,18801.50,0.00,18801.50,Salford Community & Voluntary Servi,People (Childrens) Service Group,Training expenses
Salford City Council,2020-07-03,601280492,24374.90,0.00,24374.90,Ecclesholme Residential Home,People (Adults) - CHSC,Resid Care Home
Salford City Council,2020-07-03,1600650140,31516.15,5252.69,26263.46,Sap (Uk) Limited,Service Reform (Corp Bus & Transform),Computer Maintenance
Salford City Council,2020-07-03,1600643369,33709.24,5618.21,28091.03,Manchester Ship Canal Company,Place Directorate,Principal Road Maint
Salford City Council,2020-07-03,1600650127,33709.24,5618.21,28091.03,Manchester Ship Canal Company,Place Directorate,Principal Road Maint
Salford City Council,2020-07-03,601279594,34557.12,0.00,34557.12,Salix Homes Ltd,People (Adults) - CHSC,Rents
Salford City Council,2020-07-03,1600649609,60448.48,0.00,60448.48,Salford Community & Voluntary Servi,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-07-03,1600649637,645702.48,107617.08,538085.40,Phoenix Software Ltd,Service Reform (Corp Bus & Transform),IT  Licence Fee
Salford City Council,2020-07-06,601280504,527.57,87.93,439.64,Adt Fire And Security Plc,Place Directorate,XXXXX SECURITY SYS R
Salford City Council,2020-07-06,6003065013,578.20,0.00,578.20,B&Q Direct,Place Directorate,General Repairs
Salford City Council,2020-07-06,6003065021,617.50,0.00,617.50,Dvla Vehicle Tax,Place Directorate,Payment to Government Departments
Salford City Council,2020-07-06,601280606,632.78,0.00,632.78,St Mary'S Ce Primary School,Service Reform (Corp Bus & Transform),Premises Insurance
Salford City Council,2020-07-06,601280502,639.05,106.51,532.54,Chubb Fire & Security Ltd,Place Directorate,Security Services
Salford City Council,2020-07-06,1600650247,720.00,120.00,600.00,Comtreat Ltd,Service Reform (Corp Bus & Transform),Equipment Maint'ce
Salford City Council,2020-07-06,6003065011,771.16,0.00,771.16,Quayside Bakery,Place Directorate,Food and refreshments
Salford City Council,2020-07-06,1600650192,864.00,144.00,720.00,Rbs Invoice Finance Limited,Place Directorate,Equipment Purchase
Salford City Council,2020-07-06,1600650260,864.00,144.00,720.00,Traffic Direct,Place Directorate,Marketing/Publicity
Salford City Council,2020-07-06,1600647549,915.67,152.61,763.06,Angel Springs T/A Waterlogic Gb Ltd,Service Reform (Corp Bus & Transform),Food and refreshment
Salford City Council,2020-07-06,1600650177,1080.00,180.00,900.00,Vision For Education Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,2020-07-06,1600644280,1120.33,186.72,933.61,Angel Springs T/A Waterlogic Gb Ltd,Service Reform (Corp Bus & Transform),Food and refreshment
Salford City Council,2020-07-06,1600647086,1234.51,205.75,1028.76,Angel Springs T/A Waterlogic Gb Ltd,Service Reform (Corp Bus & Transform),Food and refreshment
Salford City Council,2020-07-06,1600650249,1312.62,218.77,1093.85,Redacted Data,Place Directorate,Equipment Purchase
Salford City Council,2020-07-06,6003065009,1339.80,0.00,1339.80,Adobe Acropro Subs,Service Reform (Corp Bus & Transform),Computer Software (no annual fee)
Salford City Council,2020-07-06,6003065001,1395.00,0.00,1395.00,Currys Online,People (Childrens) Service Group,Equipment Purchase
Salford City Council,2020-07-06,6003065003,1395.00,0.00,1395.00,Currys Online,People (Childrens) Service Group,Equipment Purchase
Salford City Council,2020-07-06,1600650263,1624.32,270.72,1353.60,Traffic Direct,Place Directorate,Contractors
Salford City Council,2020-07-06,1600650242,1830.00,0.00,1830.00,Together Trust,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-07-06,1600650262,1830.24,305.04,1525.20,Traffic Direct,Place Directorate,Contractors
Salford City Council,2020-07-06,1600650261,1888.80,314.80,1574.00,Traffic Direct,Place Directorate,Contractors
Salford City Council,2020-07-06,1600650252,1914.00,319.00,1595.00,T/A Peter Douglas Platforms,Place Directorate,Equipment Hire
Salford City Council,2020-07-06,601280520,1985.34,330.89,1654.45,Itl North East Ltd,Service Reform (Corp Bus & Transform),Interpreter/translat
Salford City Council,2020-07-06,1600650176,2160.00,360.00,1800.00,Egbert H Taylor & Co Ltd,Place Directorate,Equipment Repair
Salford City Council,2020-07-06,1600650234,2168.29,361.38,1806.91,Carlton Fuels,Place Directorate,Vehcle Ancillar Cost
Salford City Council,2020-07-06,1600630262,2201.96,366.99,1834.97,British Telecommunications Plc,Service Reform (Corp Bus & Transform),Other Works
Salford City Council,2020-07-06,601280506,2544.50,0.00,2544.50,Barnardos North West,People (Childrens) Service Group,Other Prof Fees
Salford City Council,2020-07-06,1600650181,2778.00,0.00,2778.00,Barnardos North West,People (Childrens) Service Group,Payts to Agencies
