Authority Name,Date of Payment,DocumentNo,Gross,VAT,Net,Vendor Name,Service Area,GL Description
Salford City Council,2020-08-04,1600650935,629.12,104.85,524.27,Bilway Marine Ltd,Place Directorate,nonuv Build Rp&Maint,
Salford City Council,2020-08-04,1600650936,629.12,104.85,524.27,Bilway Marine Ltd,Place Directorate,nonuv Build Rp&Maint,
Salford City Council,2020-08-04,1600651775,4753.67,0.00,4753.67,Birtenshaw Hall,People (Childrens) Service Group,Pupil Assistance,
Salford City Council,2020-08-04,1600651721,1507.56,251.26,1256.30,Capita Business Services Ltd,Place Directorate,Storage,
Salford City Council,2020-08-04,1600651761,1313.76,218.96,1094.80,Chippendale Plant Limited,Place Directorate,Equipment Hire,
Salford City Council,2020-08-04,1600651762,1518.00,253.00,1265.00,Chippendale Plant Limited,Place Directorate,Equipment Hire,
Salford City Council,2020-08-04,1600651764,6000.00,1000.00,5000.00,Cmgrp Uk Ltd T/A Weber Shandwick,Service Reform (Corp Bus & Transform),Marketing/Publicity,
Salford City Council,2020-08-04,1600651717,8343.00,0.00,8343.00,Egerton High School,People (Childrens) Service Group,Payts to Other LA's,
Salford City Council,2020-08-04,1600651757,633.05,105.51,527.54,Esendex Ltd,Service Reform (Corp Bus & Transform),Computer Software,
Salford City Council,2020-08-04,601282937,550.00,0.00,550.00,For Housing,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2020-08-04,601282881,526.62,87.77,438.85,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture,
Salford City Council,2020-08-04,601282863,613.20,102.20,511.00,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture,
Salford City Council,2020-08-04,601282893,632.40,105.40,527.00,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture,
Salford City Council,2020-08-04,601282891,636.90,106.16,530.74,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture,
Salford City Council,2020-08-04,601282892,960.77,160.13,800.64,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture,
Salford City Council,2020-08-04,601282859,1030.32,171.72,858.60,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture,
Salford City Council,2020-08-04,601282888,1049.82,174.97,874.85,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture,
Salford City Council,2020-08-04,601282860,1196.91,199.49,997.42,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture,
Salford City Council,2020-08-04,601282858,1510.31,251.72,1258.59,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture,
Salford City Council,2020-08-04,601282857,1653.21,275.54,1377.67,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture,
Salford City Council,2020-08-04,601282856,1853.51,308.92,1544.59,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture,
Salford City Council,2020-08-04,601282855,1347.94,55.56,1292.38,G & A Taylors Hotels Ltd,People (Adults) - CHSC,Rents,
Salford City Council,2020-08-04,1600651673,19105.20,3184.20,15921.00,Gibsons Garden Machinery Limited,Service Reform (Corp Bus & Transform),Purch of Veh/Plant,
Salford City Council,2020-08-04,601282902,11387.59,1897.93,9489.66,Ingenitech Ltd,Service Reform (Corp Bus & Transform),Lease line rentals,
Salford City Council,2020-08-04,601282903,11552.40,1925.40,9627.00,Ingenitech Ltd,Service Reform (Corp Bus & Transform),Lease line rentals,
Salford City Council,2020-08-04,601282904,15351.31,2558.55,12792.76,Ingenitech Ltd,Service Reform (Corp Bus & Transform),Lease line rentals,
Salford City Council,2020-08-04,1600651790,1075.44,179.24,896.20,J Fletcher Engineers Ltd,Place Directorate,UV Heat Rep,
Salford City Council,2020-08-04,1600651811,1258.20,209.70,1048.50,Jeeves International Badge Division,Place Directorate,Contractors,
Salford City Council,2020-08-04,601282952,1060.00,0.00,1060.00,Paypoint Plc,People (Adults) - CHSC,Gas,
Salford City Council,2020-08-04,1600651798,780.00,130.00,650.00,Pde Waste Technologies Ltd,Place Directorate,Annual Vehicle Hire,
Salford City Council,2020-08-04,1600641907,1075.00,0.00,1075.00,Personal Life Coaching,People (Childrens) Service Group,Equip for Staff,
Salford City Council,2020-08-04,1600651714,867.70,144.62,723.08,Phs Group Plc,Service Reform (Corp Bus & Transform),Housekeeping,
Salford City Council,2020-08-04,6003081947,521.28,0.00,521.28,Redacted Data,People (Childrens) Service Group,Payt to care clients,
Salford City Council,2020-08-04,6003081905,541.16,0.00,541.16,Redacted Data,People (Childrens) Service Group,Payt to care clients,
Salford City Council,2020-08-04,6003081970,542.08,0.00,542.08,Redacted Data,People (Childrens) Service Group,Payt to care clients,
Salford City Council,2020-08-04,6003081891,553.52,0.00,553.52,Redacted Data,People (Childrens) Service Group,Payt to care clients,
Salford City Council,2020-08-04,6003082085,567.48,0.00,567.48,Redacted Data,People (Childrens) Service Group,Payt to care clients,
Salford City Council,2020-08-04,6003081985,567.68,0.00,567.68,Redacted Data,People (Childrens) Service Group,Payt to care clients,
Salford City Council,2020-08-04,6003081922,588.24,0.00,588.24,Redacted Data,People (Childrens) Service Group,Payt to care clients,
Salford City Council,2020-08-04,6003082071,624.00,0.00,624.00,Redacted Data,People (Childrens) Service Group,Payt to care clients,
Salford City Council,2020-08-04,6003081900,638.64,0.00,638.64,Redacted Data,People (Childrens) Service Group,Payt to care clients,
Salford City Council,2020-08-04,6003081940,660.00,0.00,660.00,Redacted Data,People (Childrens) Service Group,Payt to care clients,
Salford City Council,2020-08-04,6003081915,724.00,0.00,724.00,Redacted Data,People (Childrens) Service Group,Payt to care clients,
Salford City Council,2020-08-04,6003081895,868.00,0.00,868.00,Redacted Data,People (Childrens) Service Group,Payt to care clients,
Salford City Council,2020-08-04,6003082088,993.44,0.00,993.44,Redacted Data,People (Childrens) Service Group,Payt to care clients,
Salford City Council,2020-08-04,6003081882,1379.00,0.00,1379.00,Redacted Data,People (Childrens) Service Group,Payt to care clients,
Salford City Council,2020-08-04,6003081965,1423.12,0.00,1423.12,Redacted Data,People (Childrens) Service Group,Payt to care clients,
Salford City Council,2020-08-04,6003081981,1620.00,0.00,1620.00,Redacted Data,People (Childrens) Service Group,Payt to care clients,
Salford City Council,2020-08-04,6003081951,2047.24,0.00,2047.24,Redacted Data,People (Childrens) Service Group,Payt to care clients,
Salford City Council,2020-08-04,6003082063,2166.08,0.00,2166.08,Redacted Data,People (Childrens) Service Group,Payt to care clients,
Salford City Council,2020-08-04,601282940,525.00,0.00,525.00,Sms Coaching Ltd,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2020-08-04,601282928,540.00,0.00,540.00,The Citywall Project Community,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2020-08-04,601282912,585.00,0.00,585.00,The Citywall Project Community,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2020-08-04,601282926,585.00,0.00,585.00,The Citywall Project Community,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2020-08-04,601282913,630.00,0.00,630.00,The Citywall Project Community,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2020-08-04,601282918,630.00,0.00,630.00,The Citywall Project Community,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2020-08-04,601282931,630.00,0.00,630.00,The Citywall Project Community,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2020-08-04,601282934,675.00,0.00,675.00,The Citywall Project Community,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2020-08-04,601282933,832.50,0.00,832.50,The Citywall Project Community,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2020-08-04,601282929,945.00,0.00,945.00,The Citywall Project Community,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2020-08-04,601282911,990.00,0.00,990.00,The Citywall Project Community,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2020-08-04,601282914,990.00,0.00,990.00,The Citywall Project Community,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2020-08-04,601282936,1170.00,0.00,1170.00,The Citywall Project Community,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2020-08-04,601282930,1417.50,0.00,1417.50,The Citywall Project Community,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2020-08-04,1600651720,4260.00,710.00,3550.00,Transport For Greater Manchester,Service Reform (Corp Bus & Transform),Ext Fees-Other,
Salford City Council,2020-08-04,1600651719,7407.60,1234.60,6173.00,Transport For Greater Manchester,Service Reform (Corp Bus & Transform),Other Works,
Salford City Council,2020-08-04,1600651770,3449.99,0.00,3449.99,Tree House Care Fostering Solutions,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2020-08-04,1600651722,509.82,84.97,424.85,Valtech,Service Reform (Corp Bus & Transform),Other Prof Fees,
Salford City Council,2020-08-04,601282908,3506.06,584.34,2921.72,Virgin Media Business,Service Reform (Corp Bus & Transform),Telephones & Fax,
Salford City Council,2020-08-04,601282941,4114.00,685.67,3428.33,Virgin Media Business,Service Reform (Corp Bus & Transform),Telephones & Fax,
Salford City Council,2020-08-04,601282907,7102.50,1183.75,5918.75,Virgin Media Business,Service Reform (Corp Bus & Transform),Telephones & Fax,
Salford City Council,2020-08-04,601282939,630.00,105.00,525.00,Vision For Education Ltd,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2020-08-04,1600651723,4367.00,0.00,4367.00,Yesoiday Hatorah School,People (Childrens) Service Group,Release of Provision,
Salford City Council,2020-08-04,1600651732,3240.00,540.00,2700.00,Zoe Lodrick Ltd,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2020-08-04,1600651731,6480.00,1080.00,5400.00,Zoe Lodrick Ltd,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2020-08-05,6003082968,1339.80,0.00,1339.80,Adobe Acropro Subs,Service Reform (Corp Bus & Transform),Computer Software (no annual fee),
Salford City Council,2020-08-05,1600651841,613.48,102.24,511.24,Aggregates Industries Uk Ltd,Place Directorate,Materials,
Salford City Council,2020-08-05,1600651840,617.67,102.95,514.72,Aggregates Industries Uk Ltd,Place Directorate,Materials,
Salford City Council,2020-08-05,1600651842,619.05,103.18,515.87,Aggregates Industries Uk Ltd,Place Directorate,Materials,
Salford City Council,2020-08-05,1600651843,758.15,126.36,631.79,Aggregates Industries Uk Ltd,Place Directorate,Materials,
Salford City Council,2020-08-05,1600651822,5669.46,944.91,4724.55,Allpay Ltd,Service Reform (Corp Bus & Transform),Bank Commission,
Salford City Council,2020-08-05,601283030,17644.21,0.00,17644.21,Anglian Water Business Ltd (Nationa,People (Childrens) Service Group,Water,
Salford City Council,2020-08-05,6003083001,2800.00,0.00,2800.00,Apm P1 Ltd,People (Adults) - CHSC,Rents,
Salford City Council,2020-08-05,6003082972,7373.52,0.00,7373.52,Apm P1 Ltd,People (Adults) - CHSC,Rents,
Salford City Council,2020-08-05,1600651812,13026.00,0.00,13026.00,Birtenshaw Hall,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2020-08-05,1600651813,20345.00,0.00,20345.00,Birtenshaw Hall,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2020-08-05,601282985,5810.33,0.00,5810.33,C & S Minibuses,People (Adults) - CHSC,Taxis service users,
Salford City Council,2020-08-05,1600650173,6600.00,1100.00,5500.00,Cles Ltd,Service Reform (Corp Bus & Transform),Consultants,
Salford City Council,2020-08-05,601283029,5445.34,907.56,4537.78,Coop Swinton,People (Childrens) Service Group,T U Supply Cover,
Salford City Council,2020-08-05,601282965,863.10,143.85,719.25,EE Ltd,Service Reform (Corp Bus & Transform),Telephones & Fax,
Salford City Council,2020-08-05,601282963,1047.12,173.52,873.60,EE Ltd,Service Reform (Corp Bus & Transform),Telephones & Fax,
Salford City Council,2020-08-05,601282966,1414.75,235.79,1178.96,EE Ltd,Service Reform (Corp Bus & Transform),Telephones & Fax,
Salford City Council,2020-08-05,601282967,2044.67,340.78,1703.89,EE Ltd,Service Reform (Corp Bus & Transform),Telephones & Fax,
Salford City Council,2020-08-05,601282962,2521.80,417.30,2104.50,EE Ltd,Service Reform (Corp Bus & Transform),Telephones & Fax,
Salford City Council,2020-08-05,601282968,5090.92,847.48,4243.44,EE Ltd,Service Reform (Corp Bus & Transform),Telephones & Fax,
Salford City Council,2020-08-05,601282969,5695.57,949.26,4746.31,EE Ltd,Service Reform (Corp Bus & Transform),Telephones & Fax,
Salford City Council,2020-08-05,1600651837,1228.92,204.82,1024.10,Fabrikat (Nott) Ltd,Place Directorate,Materials,
Salford City Council,2020-08-05,601282988,20250.00,0.00,20250.00,Forbes Solicitors,Service Reform (Corp Bus & Transform),Liability Insurance,
Salford City Council,2020-08-05,601283022,32466.42,4495.50,27970.92,Gazprom Energy,Service Reform (Corp Bus & Transform),Gas,
Salford City Council,2020-08-05,1600651835,800.28,133.38,666.90,George Parish & Sons Ltd,Place Directorate,Materials,
Salford City Council,2020-08-05,1600651832,1152.00,192.00,960.00,George Parish & Sons Ltd,Place Directorate,Materials,
Salford City Council,2020-08-05,1600651834,1152.00,192.00,960.00,George Parish & Sons Ltd,Place Directorate,Materials,
Salford City Council,2020-08-05,1600651833,3452.40,575.40,2877.00,George Parish & Sons Ltd,Place Directorate,Materials,
Salford City Council,2020-08-05,1600651847,3000.00,500.00,2500.00,Glasdon Uk Ltd,Place Directorate,Materials,
Salford City Council,2020-08-05,601282972,102131.51,13394.78,88736.73,Haven Power Ltd,Service Reform (Corp Bus & Transform),Electricity,
Salford City Council,2020-08-05,601283028,3185.27,530.88,2654.39,Irlam & Cadishead Academy,People (Childrens) Service Group,T U Supply Cover,
Salford City Council,2020-08-05,6003082975,560.00,0.00,560.00,Iz *Kevin Booth Painting,People (Adults) - CHSC,Other Professional Fees,
Salford City Council,2020-08-05,601282986,2044.30,340.72,1703.58,Language Empire Ltd,Service Reform (Corp Bus & Transform),Interpreter/translat,
Salford City Council,2020-08-05,601282984,961.35,0.00,961.35,Little Saints Day Care Nursery,People (Childrens) Service Group,Pmnts Privt Provider,
Salford City Council,2020-08-05,601282976,1449.43,0.00,1449.43,Lv=,Service Reform (Corp Bus & Transform),Liability Insurance,
Salford City Council,2020-08-05,1600651815,1275.14,212.52,1062.62,Manchester City Council,Service Reform (Corp Bus & Transform),Other Works,
Salford City Council,2020-08-05,601282980,2955.00,0.00,2955.00,Mark Reynolds Solicitors,Service Reform (Corp Bus & Transform),Liability Insurance,
Salford City Council,2020-08-05,1600651869,1800.00,0.00,1800.00,Redacted Data,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2020-08-05,1600650064,26674.25,0.00,26674.25,Redacted Data,People (Adults) - CHSC,Pyts Agenc - Ext Fnd,
Salford City Council,2020-08-05,601282987,87195.12,14532.58,72662.54,Reed Specialist Recruitment Ltd,Service Reform (Corp Bus & Transform),Agency Fees,
Salford City Council,2020-08-05,1600651691,2098.32,349.72,1748.60,S & W Tlp (Project Co One) Ltd,People (Childrens) Service Group,Unitary Charge,
Salford City Council,2020-08-05,1600651692,4932.28,822.05,4110.23,S & W Tlp (Project Co One) Ltd,People (Childrens) Service Group,Unitary Charge,
Salford City Council,2020-08-05,1600651690,868948.22,144824.71,724123.51,S & W Tlp (Project Co One) Ltd,People (Childrens) Service Group,Unitary Charge,
Salford City Council,2020-08-05,1600651693,1021205.27,170200.88,851004.39,S & W Tlp (Project Co Two) Ltd,People (Childrens) Service Group,Unitary Charge,
Salford City Council,2020-08-05,1600651881,5000.00,0.00,5000.00,Safe Families For Children Uk Ltd,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2020-08-05,1600651879,768.00,128.00,640.00,Shinevision Ltd,Place Directorate,Prog Maint & Works,
Salford City Council,2020-08-05,6003083026,836.60,0.00,836.60,Suresolutionsgroupltd,People (Adults) - CHSC,Furniture,
Salford City Council,2020-08-05,6003083047,1176.80,0.00,1176.80,Suresolutionsgroupltd,People (Adults) - CHSC,Furniture,
Salford City Council,2020-08-05,6003083052,1873.60,0.00,1873.60,Suresolutionsgroupltd,People (Adults) - CHSC,Furniture,
Salford City Council,2020-08-05,6003083015,2143.00,0.00,2143.00,Suresolutionsgroupltd,People (Adults) - CHSC,Furniture,
Salford City Council,2020-08-05,6003081916,6869.10,0.00,6869.10,T/A Sage Care Ltd,People (Adults) - CHSC,Supported Tenancies,
Salford City Council,2020-08-05,1600651884,1382.40,230.40,1152.00,T/A Vizwear Ltd,Place Directorate,VMS Materials,
Salford City Council,2020-08-05,1600651855,1224.00,204.00,1020.00,Treework Arboricultural Services,Place Directorate,Contractors,
Salford City Council,2020-08-05,1600651845,3729.60,621.60,3108.00,Viatec Uk Limited,Place Directorate,Materials,
Salford City Council,2020-08-05,6003083006,65058.67,0.00,65058.67,Water Plus,Service Reform (Corp Bus & Transform),Water,
Salford City Council,2020-08-05,601282979,527.00,0.00,527.00,Weightmans Llp,Service Reform (Corp Bus & Transform),Other Prof Fees,
Salford City Council,2020-08-05,1600649146,2277.00,379.50,1897.50,Wsp Uk Ltd,Service Reform (Corp Bus & Transform),Ext Fees-Other,
Salford City Council,2020-08-06,6003083939,638.00,0.00,638.00,Ao Retail Limited,People (Childrens) Service Group,Equipment Purchase,
Salford City Council,2020-08-06,601283065,25000.00,0.00,25000.00,Bedford Fabrications Limited,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2020-08-06,1600651938,16375.67,0.00,16375.67,Birtenshaw Hall,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2020-08-06,601283066,10000.00,0.00,10000.00,Blue Remedy Mcr Ltd,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2020-08-06,1600651908,1457.83,242.97,1214.86,Electoral Reform Services,Service Reform (Corp Bus & Transform),Print & Photocopying,
Salford City Council,2020-08-06,601283071,10000.00,0.00,10000.00,Embrace Global Logistics Ltd,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2020-08-06,601283072,10000.00,0.00,10000.00,Embrace Global Logistics Ltd,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2020-08-06,601283067,10000.00,0.00,10000.00,Giftwithatwist Limited,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2020-08-06,601283070,10000.00,0.00,10000.00,Hallens Ltd,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2020-08-06,601283069,25000.00,0.00,25000.00,Hydraulic Transmission Services Lim,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2020-08-06,601283064,10000.00,0.00,10000.00,Kiddiewinkles Ltd.,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2020-08-06,601283033,1383.02,230.50,1152.52,Konica Minolta Business Solutions,People (Childrens) Service Group,Equipment Leasing,
Salford City Council,2020-08-06,601283055,5000.00,0.00,5000.00,Kosher Savers Ltd,People (Adults) - CHSC,Food and refreshment,
Salford City Council,2020-08-06,6003083936,1250.98,0.00,1250.98,Landmark V/T,Place Directorate,non -UV Building Repairs & Maintenance,
Salford City Council,2020-08-06,601283068,10000.00,0.00,10000.00,Liberty Holdings Nw Ltd,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2020-08-06,1600651899,1356.60,226.10,1130.50,Metric Group Limited,Place Directorate,Prog Maint & Works,
Salford City Council,2020-08-06,1600651897,3071.03,511.84,2559.19,Nationwide Capital Finance Ltd,Service Reform (Corp Bus & Transform),Equipment Purchase,
Salford City Council,2020-08-06,601283073,10000.00,0.00,10000.00,Nights (Uk) Ltd,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2020-08-06,6003083797,1595.53,0.00,1595.53,Redacted Data,People (Childrens) Service Group,ClientTravel Expense,
Salford City Council,2020-08-06,6003083546,1863.76,0.00,1863.76,Redacted Data,People (Childrens) Service Group,ClientTravel Expense,
Salford City Council,2020-08-06,6003083456,2032.36,0.00,2032.36,Redacted Data,People (Childrens) Service Group,ClientTravel Expense,
Salford City Council,2020-08-06,6003083669,2081.78,0.00,2081.78,Redacted Data,People (Childrens) Service Group,ClientTravel Expense,
Salford City Council,2020-08-06,1600651896,2200.00,0.00,2200.00,Redacted Data,People (Childrens) Service Group,Other Prof Fees,
Salford City Council,2020-08-06,601283045,4365.56,0.00,4365.56,Salford Royal Nhs Foundation Trust,People (Adults) - CHSC,Pyts Agenc - Ext Fnd,
Salford City Council,2020-08-06,1600651927,2587.50,0.00,2587.50,Salford Womens Aid,Place Directorate,Consultants,
Salford City Council,2020-08-06,601283040,11263.42,1877.24,9386.18,Saltax Ltd,People (Childrens) Service Group,Pupil Assistance,
Salford City Council,2020-08-06,1600651903,834.47,139.08,695.39,Whistl Uk Ltd,Service Reform (Corp Bus & Transform),Postage,
Salford City Council,2020-08-06,1600651904,4686.84,781.14,3905.70,Whistl Uk Ltd,Service Reform (Corp Bus & Transform),Postage,
Salford City Council,2020-08-07,1600651966,575.95,95.99,479.96,Aggregates Industries Uk Ltd,Place Directorate,Materials,
