Authority Name,Date of Payment,SAP Document Number,Amount,,,Supplier Name,Directorate,G/L description.
Salford City Council,2018-04-04,601214329,720,120,600,Randstad Public Services Limited,Children's Services,Agency Fees
Salford City Council,2018-04-04,601214330,720,120,600,Randstad Public Services Limited,Children's Services,Agency Fees
Salford City Council,2018-04-04,1600604262,3000,0,3000,Redacted Data,Office of the Chief Executive,Marketing/Publicity
Salford City Council,2018-04-04,601215197,10000,0,10000,Redacted Data,Capital Expenditure,Improvement Grants
Salford City Council,2018-04-04,1600604264,1800,300,1500,Rm Education Plc,Capital Expenditure,Other Works
Salford City Council,2018-04-04,1600604034,849708.69,0,849708.69,Royal Horticultural Society,Capital Expenditure,Miscellaneous Exes
Salford City Council,2018-04-04,1600604260,35000,0,35000,Salford Food Share Network,"Community, Health & Social Care",Payts to Agencies
Salford City Council,2018-04-04,1600604061,1336.8,0,1336.8,Simply Moving & Sleeping Ltd,Capital Expenditure,Improvement Grants
Salford City Council,2018-04-04,1600604654,1136.4,189.4,947,The Conservation Volunteers Charity,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2018-04-04,1600604564,4284,714,3570,The Conservation Volunteers Charity,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2018-04-04,1600601541,18866.91,0,18866.91,Together Trust,Children's Services,Non-Maint Spec Schls
Salford City Council,2018-04-04,601214342,2922.49,487.08,2435.41,Virgin Media Business,Service Reform,Telephones & Fax
Salford City Council,2018-04-04,xnwoiuypz,678,0,678,Virgin Trains,Service Reform,Staff Travel
Salford City Council,2018-04-04,601214100,1248,208,1040,W T Gunson,Environment and Community Safety,Rents
Salford City Council,2018-04-04,601214338,1470,0,1470,Wow Kids Ltd T/A Bright Futures,Children's Services,Non-Maint Spec Schls
Salford City Council,2018-04-05,1600603708,1116,186,930,Ashbrook (Warrington) Ltd,Environment and Community Safety,Annual Vehicle Hire
Salford City Council,2018-04-05,1600603707,1200,200,1000,Ashbrook (Warrington) Ltd,Environment and Community Safety,Annual Vehicle Hire
Salford City Council,2018-04-05,601215396,1130.5,188.42,942.08,Berendsen Uk Ltd,Environment and Community Safety,Laundry
Salford City Council,2018-04-05,601215404,555.93,90.22,465.71,Bestway / Batleys Of Manchester,Environment and Community Safety,Provisions
Salford City Council,2018-04-05,1600602673,588,98,490,City Electrical Factors Ltd,Sustainable Regeneration,Energy Conservation
Salford City Council,2018-04-05,1600602672,999.6,166.6,833,City Electrical Factors Ltd,Sustainable Regeneration,Energy Conservation
Salford City Council,2018-04-05,601215411,1381.94,0,1381.94,Cleggs Chilled Food Service,Environment and Community Safety,Provisions
Salford City Council,2018-04-05,601214349,540,90,450,Click Fire & Security Ltd - 24 Acco,Children's Services,Building Rep & Maint
Salford City Council,2018-04-05,601215381,2264.4,377.4,1887,Cunningham & Lindsey United Kingdom,Service Reform,Liability Insurance
Salford City Council,2018-04-05,1600604089,1176,0,1176,Doability Limited,"Community, Health & Social Care",Disability Equipment
Salford City Council,2018-04-05,1600603700,699.36,116.56,582.8,Enterprise Flex E-Rent,Environment and Community Safety,Annual Vehicle Hire
Salford City Council,2018-04-05,1600602635,1395.36,232.56,1162.8,Farnham Electrical Distributors Ltd,Capital Expenditure,Purch of Furn/Equip
Salford City Council,2018-04-05,601215376,576,96,480,Forbes Solicitors,Service Reform,Liability Insurance
Salford City Council,2018-04-05,601215369,631.8,105.3,526.5,Forbes Solicitors,Service Reform,Liability Insurance
Salford City Council,2018-04-05,601215366,762.5,0,762.5,Forbes Solicitors,Service Reform,Liability Insurance
Salford City Council,2018-04-05,601215370,1044,174,870,Forbes Solicitors,Service Reform,Liability Insurance
Salford City Council,2018-04-05,601215379,1044,174,870,Forbes Solicitors,Service Reform,Liability Insurance
Salford City Council,2018-04-05,601215371,1072,0,1072,Forbes Solicitors,Service Reform,VAT Adjustment
Salford City Council,2018-04-05,601215374,1511.88,194.48,1317.4,Forbes Solicitors,Service Reform,Liability Insurance
Salford City Council,2018-04-05,601215382,3960,660,3300,Forbes Solicitors,Service Reform,Liability Insurance
Salford City Council,2018-04-05,601215364,4200,700,3500,Forbes Solicitors,Service Reform,Liability Insurance
Salford City Council,2018-04-05,601215368,6600,1100,5500,Forbes Solicitors,Service Reform,VAT Adjustment
Salford City Council,2018-04-05,601215407,20769.46,0,20769.46,Forbes Solicitors,Service Reform,Other Prof Fees
Salford City Council,2018-04-05,1600603525,532,0,532,Greater Manchester Travelcards Ltd,Service Reform,Training expenses
Salford City Council,2018-04-05,1600603706,696,116,580,Gulliver's Truck Hire Ltd,Environment and Community Safety,Annual Vehicle Hire
Salford City Council,2018-04-05,1600603705,921.6,153.6,768,Gulliver's Truck Hire Ltd,Environment and Community Safety,Annual Vehicle Hire
Salford City Council,2018-04-05,1600603702,1271.75,211.96,1059.79,Gulliver's Truck Hire Ltd,Environment and Community Safety,Annual Vehicle Hire
Salford City Council,2018-04-05,601215358,13518.97,2253.16,11265.81,Ingenitech Ltd,Service Reform,Lease line rentals
Salford City Council,2018-04-05,1600603789,563.14,93.86,469.28,J Fletcher Engineers Ltd,Sustainable Regeneration,UV Heat Rep
Salford City Council,2018-04-05,601215375,2185.2,364.2,1821,Keoghs Llp,Service Reform,Liability Insurance
Salford City Council,2018-04-05,601215380,2313,385.5,1927.5,Keoghs Llp,Service Reform,Liability Insurance
Salford City Council,2018-04-05,1600603731,528,88,440,Langford Roofing Ltd,Sustainable Regeneration,Dev Servs Day to Day
Salford City Council,2018-04-05,601214348,600,0,600,Mds Mini Buses (Manchester) Ltd,Children's Services,Pupil Assistance
Salford City Council,2018-04-05,1600604287,2000,0,2000,Mds Mini Buses (Manchester) Ltd,Children's Services,Pupil Assistance
Salford City Council,2018-04-05,1600603977,809.46,134.91,674.55,Opal Envelopes,Service Reform,Print & Photocopying
Salford City Council,2018-04-05,1600604283,66942.73,11157.12,55785.61,Open Text Uk Ltd,Service Reform,Computer Maintenance
Salford City Council,2018-04-05,1600604849,4237.2,706.2,3531,P. Mcguinness & Co Limited,Capital Expenditure,Other Works
Salford City Council,2018-04-05,1600602827,501.6,83.6,418,Premier Paper Group Ltd,Service Reform,Stationery
Salford City Council,2018-04-05,601215409,4731.78,0,4731.78,Redacted Data,Environment and Community Safety,Refunds
Salford City Council,2018-04-05,601215410,11655,0,11655,Redacted Data,Environment and Community Safety,Refunds
Salford City Council,2018-04-05,1600605125,7500,0,7500,Salford Parent Voice,Children's Services,Payts to Agencies
Salford City Council,2018-04-05,1600604482,552.38,0,552.38,Social Re-Focus,Children's Services,Vehicle Hire - perm
Salford City Council,2018-04-05,1600603519,750,125,625,Stone Central (Nw) Ltd,Sustainable Regeneration,Dev Servs Day to Day
Salford City Council,2018-04-05,601215359,880,0,880,Uclan,"Community, Health & Social Care",Payts to Agencies
Salford City Council,2018-04-05,1600604494,509.88,84.99,424.89,United Utilities,Environment and Community Safety,Servicing
Salford City Council,2018-04-05,1600604495,829.65,138.27,691.38,United Utilities,Environment and Community Safety,Servicing
Salford City Council,2018-04-05,1600604204,621.96,103.66,518.3,Whistl Uk Ltd,Service Reform,Postage
Salford City Council,2018-04-05,1600604203,657.19,109.53,547.66,Whistl Uk Ltd,Service Reform,Postage
Salford City Council,2018-04-05,1600604202,6166.24,1027.71,5138.53,Whistl Uk Ltd,Service Reform,Postage
Salford City Council,2018-04-05,1600603526,572.56,95.43,477.13,Xma Ltd,Children's Services,Computer Equipment
Salford City Council,2018-04-06,1600604159,5760,960,4800,Access Intelligence Media,Office of the Chief Executive,Vehicle Hire - perm
Salford City Council,2018-04-06,1600597484,1765.2,294.2,1471,Brenmo Plants,Environment and Community Safety,Horticultural/GMaint
Salford City Council,2018-04-06,nwfxjoiyh,777.88,129.65,648.23,Bt Business Direct Ltd,Service Reform,Purchase of Computer Equipment
Salford City Council,2018-04-06,1600604656,2880,480,2400,Cam Management Solutions Ltd,Capital Expenditure,Miscellaneous Exes
Salford City Council,2018-04-06,1600597725,1025.88,170.98,854.9,Chubb Fire & Security Ltd,Capital Expenditure,Purch of Furn/Equip
Salford City Council,2018-04-06,1600603569,8725.49,1454.25,7271.24,Compass Minerals Uk Ltd,Environment and Community Safety,Materials
Salford City Council,2018-04-06,fiuisheyi,599.9,0,599.9,Creamline Dairies Traffor,Environment and Community Safety,Food and refreshments
Salford City Council,2018-04-06,1600604160,1944,324,1620,Csl Dual Com Ltd,Environment and Community Safety,Security/Equipment
Salford City Council,2018-04-06,601214839,663.12,110.52,552.6,David Phillips Group,Sustainable Regeneration,Furniture
Salford City Council,2018-04-06,601214841,1071.3,178.55,892.75,David Phillips Group,Sustainable Regeneration,Furniture
Salford City Council,2018-04-06,1600604275,1248,208,1040,Dolphin Mobility Ltd,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2018-04-06,1600605240,2304.17,384.03,1920.14,Ecg Facilities Services Ltd,Sustainable Regeneration,UV Air Con
Salford City Council,2018-04-06,1600604130,2519.36,419.89,2099.47,Ecg Facilities Services Ltd,Sustainable Regeneration,UV Air Con
Salford City Council,2018-04-06,1600604712,4173.72,695.62,3478.1,Emo Oil Ltd,"Community, Health & Social Care",Security/Equipment
Salford City Council,2018-04-06,1600602793,547.23,91.2,456.03,Facultatieve Technologies Ltd,Environment and Community Safety,Prog Maint & Works
Salford City Council,2018-04-06,601215448,672,112,560,Forbes Solicitors,Service Reform,Liability Insurance
Salford City Council,2018-04-06,601215473,840,0,840,Forbes Solicitors,Service Reform,Liability Insurance
Salford City Council,2018-04-06,601215465,1310.87,0,1310.87,Forbes Solicitors,Service Reform,Liability Insurance
Salford City Council,2018-04-06,601215458,1800,0,1800,Forbes Solicitors,Service Reform,Liability Insurance
Salford City Council,2018-04-06,601215474,2470.2,411.7,2058.5,Forbes Solicitors,Service Reform,Liability Insurance
Salford City Council,2018-04-06,601215467,2629.2,438.2,2191,Forbes Solicitors,Service Reform,Liability Insurance
Salford City Council,2018-04-06,1600604635,1016.66,0,1016.66,Garrett Hall Primary School,Children's Services,Pupil Assistance
Salford City Council,2018-04-06,ndksemasn,1645.64,23.74,1621.9,Hn Nuttall Ltd,Environment and Community Safety,Food and refreshments
Salford City Council,2018-04-06,yovtyglqi,1157,0,1157,Hotel Ibis,"Community, Health & Social Care",Staff Travel
Salford City Council,2018-04-06,1600604016,537.6,89.6,448,Ijm Electrical Contractors Ltd,Sustainable Regeneration,UV Prog Rep
Salford City Council,2018-04-06,1600604018,873.6,145.6,728,Ijm Electrical Contractors Ltd,Sustainable Regeneration,UV Prog Rep
Salford City Council,2018-04-06,601215418,1052.4,175.4,877,Ijm Electrical Contractors Ltd,Capital Expenditure,Works & Building
Salford City Council,2018-04-06,601215412,11449.86,1908.31,9541.55,Ingenitech Ltd,Service Reform,Lease line rentals
Salford City Council,2018-04-06,601215471,1838.4,306.4,1532,Keoghs Llp,Service Reform,Liability Insurance
Salford City Council,2018-04-06,1600604286,9375,0,9375,Lynwood Transtec Ltd,Capital Expenditure,Miscellaneous Exes
Salford City Council,2018-04-06,1600604710,720,120,600,M & A Brown (Engravers) Ltd,Capital Expenditure,Other Works
Salford City Council,2018-04-06,1600604724,9839.38,0,9839.38,Metropolitan Borough Of Wigan,Children's Services,Uniforms
Salford City Council,2018-04-06,601215095,1438.12,239.69,1198.43,Non Stop Recruitment,Children's Services,Agency Fees
Salford City Council,2018-04-06,dzdeicgnc,4969.95,0,4969.95,Oliver Kay Ltd,Environment and Community Safety,Food and refreshments
Salford City Council,2018-04-06,1600604645,551.08,91.85,459.23,Openview Security Solutions Ltd,Environment and Community Safety,Equipment Purchase
Salford City Council,2018-04-06,601215417,600,0,600,P A Devine,Children's Services,Pupil Assistance
Salford City Council,2018-04-06,2204914242,3000000,0,3000000,PEEL RHS,Environment and Community Safety,Purchase of Land & Buildings
Salford City Council,2018-04-06,rlcrerhqv,1574.62,0,1574.62,Quayside Bakery,Environment and Community Safety,Food and refreshments
Salford City Council,2018-04-06,1600602773,912,152,760,Rbs Invoice Finance Limited,Sustainable Regeneration,Equipment Repair
Salford City Council,2018-04-06,601214352,1190.15,0,1190.15,Redacted Data,Children's Services,Pupil Assistance
Salford City Council,2018-04-06,1600604783,3124.2,520.7,2603.5,Safeplay Ps Ltd T/A Fearless Ramps,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2018-04-06,601214440,916.8,152.8,764,Salford Supply Desk Ltd,Children's Services,Agency Fees
Salford City Council,2018-04-06,1600602792,1725,287.5,1437.5,Security Plus Ltd,Environment and Community Safety,Cash in Transit Serv
Salford City Council,2018-04-06,1600605202,2188,0,2188,Spw Consultancy Ltd,Children's Services,Travel Expenses
Salford City Council,2018-04-06,1600605277,27212.71,0,27212.71,T/A Kedleston Schools (London) Ltd,Children's Services,Payts to Agencies
Salford City Council,2018-04-06,601215153,690,115,575,Teaching Personnel Ltd,Children's Services,Agency Fees
Salford City Council,2018-04-06,601215149,729,121.5,607.5,Teaching Personnel Ltd,Children's Services,Agency Fees
Salford City Council,2018-04-06,601215152,754.5,125.75,628.75,Teaching Personnel Ltd,Children's Services,Agency Fees
Salford City Council,2018-04-06,1600604912,1266,211,1055,Teaching Personnel Ltd,Children's Services,Other Prof Fees
Salford City Council,2018-04-06,1600604298,27400,4566.67,22833.33,The Lowry Centre Limited,Capital Expenditure,Miscellaneous Exes
Salford City Council,2018-04-06,1600604296,33100,5516.67,27583.33,The Lowry Centre Limited,"Community, Health & Social Care",Payts to Agencies
Salford City Council,2018-04-06,1600592415,726,121,605,Transport For Greater Manchester,Capital Expenditure,Other Works
Salford City Council,2018-04-06,1600605248,733.68,0,733.68,Tynetec Limited,"Community, Health & Social Care",Equipment Purchase
Salford City Council,2018-04-06,1600605239,4237.5,0,4237.5,University Of Manchester,Children's Services,Other Prof Fees
Salford City Council,2018-04-06,1600598492,2880,480,2400,Whitespace Work Software Ltd,Environment and Community Safety,Computer Software
Salford City Council,2018-04-06,jytimdpyn,8212.25,1368.71,6843.54,Wilds Of Oldham,Environment and Community Safety,Bar Stocks for hired venues for resale
Salford City Council,2018-04-09,601215490,966,161,805,Alarm Ltd,Service Reform,Liability Insurance
Salford City Council,2018-04-09,1600604411,594.72,99.12,495.6,Alliance Disposables Ltd,Environment and Community Safety,Cleaning Materials
Salford City Council,2018-04-09,1600604442,4833.33,0,4833.33,Beis Ruchel Girls School,Children's Services,Pupil Assistance
Salford City Council,2018-04-09,1600605304,12240,2040,10200,Bloom Procurement Services Ltd,"Community, Health & Social Care",Consult/Contractors
Salford City Council,2018-04-09,1600604321,45599.95,0,45599.95,Bnos Yisroel Schools Manchester Ltd,Children's Services,Pupil Assistance
Salford City Council,2018-04-09,pbnquoikm,625.75,5.31,620.44,Brake Bros Ltd,Environment and Community Safety,Food and refreshments
Salford City Council,2018-04-09,kdfukaspe,769.24,0,769.24,Bt Business Direct Ltd,Service Reform,Computer Equipment purchase
Salford City Council,2018-04-09,qlcvockan,922.25,153.71,768.54,Bt Business Direct Ltd,Service Reform,Purchase of Computer Equipment
Salford City Council,2018-04-09,601214847,1172.46,195.41,977.05,David Phillips Group,Sustainable Regeneration,Furniture
Salford City Council,2018-04-09,1600603310,3467.21,577.87,2889.34,G Jones Builders Ltd,Sustainable Regeneration,Building Rep & Maint
Salford City Council,2018-04-09,1600604618,911.64,151.94,759.7,Groundwork Landscapes Ltd,Capital Expenditure,Other Works
Salford City Council,2018-04-09,1600604617,5712,952,4760,Groundwork Landscapes Ltd,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2018-04-09,601215524,6660,1110,5550,Harmony Business Systems Ltd,Service Reform,Computer Software
Salford City Council,2018-04-09,601215527,7210.26,1201.71,6008.55,Hays Recruitment,Capital Expenditure,Purch of Comp Equip
Salford City Council,2018-04-09,1600605231,1243.67,207.28,1036.39,J Fletcher Engineers Ltd,Sustainable Regeneration,UV Heat Rep
Salford City Council,2018-04-09,1600603804,1473.17,245.53,1227.64,J Fletcher Engineers Ltd,Sustainable Regeneration,UV Heat Rep
Salford City Council,2018-04-09,1600605333,6175.26,1029.21,5146.05,Keltic Clothing,Sustainable Regeneration,Clothing & Uniforms
Salford City Council,2018-04-09,601215479,1722.6,287.1,1435.5,Keoghs Llp,Service Reform,Liability Insurance
Salford City Council,2018-04-09,1600605355,675,0,675,Lancashire County Council,Children's Services,Training expenses
Salford City Council,2018-04-09,1600605356,810,0,810,Lancashire County Council,Children's Services,Training expenses
Salford City Council,2018-04-09,1600604994,1650,275,1375,Lanes Group Plc,Capital Expenditure,Works & Building
Salford City Council,2018-04-09,601214014,1503.62,250.6,1253.02,Network Ventures Limited,Children's Services,Agency Fees
Salford City Council,2018-04-09,601214013,1520.48,253.41,1267.07,Network Ventures Limited,Children's Services,Agency Fees
Salford City Council,2018-04-09,601214015,1543.04,257.17,1285.87,Network Ventures Limited,Children's Services,Agency Fees
Salford City Council,2018-04-09,601214097,14424,2404,12020,Northgate Public Services (Uk) Ltd,Service Reform,Computer Software
Salford City Council,2018-04-09,1600605235,18000,3000,15000,Process Moving Image Ltd,Capital Expenditure,External Fees-Other
Salford City Council,2018-04-09,601214311,690,115,575,Prospero Recruitment Ltd,Children's Services,Agency Fees
Salford City Council,2018-04-09,1600602833,579.6,96.6,483,Ptsg,Sustainable Regeneration,UV Prog Rep
Salford City Council,2018-04-09,1600604633,3630,605,3025,Rbs Invoice Finance Limited,Environment and Community Safety,del'd kitchen formul
Salford City Council,2018-04-09,1600604634,3798,633,3165,Rbs Invoice Finance Limited,Environment and Community Safety,del'd kitchen formul
Salford City Council,2018-04-09,601215508,592,0,592,Redacted Data,Environment and Community Safety,Other Prof Fees
Salford City Council,2018-04-09,601215506,596,0,596,Redacted Data,Environment and Community Safety,Other Prof Fees
Salford City Council,2018-04-09,601215504,703,0,703,Redacted Data,Environment and Community Safety,Other Prof Fees
