Authority Name,Date of Payment,SAP Document Number,Gross,VAT,Net,Supplier Name,Directorate,Description
Salford City Council,2011-11-01,601026947,1965.00,0.00,1965.00,St Sebastians Community Centre,Community Health & Social Care,Grants
Salford City Council,2011-11-01,601026980,1662.50,0.00,1662.50,Redacted Personal Data,Capital Expenditure,Home Loss Payments
Salford City Council,2011-11-01,601026976,2903.60,0.00,2903.60,Redacted Personal Data,Capital Expenditure,Home Loss Payments
Salford City Council,2011-11-01,601026977,3460.05,0.00,3460.05,Redacted Personal Data,Capital Expenditure,Home Loss Payments
Salford City Council,2011-11-01,601024023,700.00,0.00,700.00,Her Majesty'S Court Service,Children Services,Legal Fees
Salford City Council,2011-11-01,601024024,700.00,0.00,700.00,Her Majesty'S Court Service,Children Services,Legal Fees
Salford City Council,2011-11-01,601024025,700.00,0.00,700.00,Her Majesty'S Court Service,Children Services,Legal Fees
Salford City Council,2011-11-01,1600424736,6350.40,1058.40,5292.00,Elygra,Environment and Community Safety,Marketing/Publicity
Salford City Council,2011-11-01,601026984,1140.00,190.00,950.00,Redacted Personal Data,Sustainable Regeneration,Other Prof Fees
Salford City Council,2011-11-01,1600426223,570.00,95.00,475.00,Alan Franklin Builders Ltd,Capital Expenditure,Other Works
Salford City Council,2011-11-01,1600426230,6840.00,1140.00,5700.00,Alan Franklin Builders Ltd,Capital Expenditure,Other Works
Salford City Council,2011-11-01,601026895,1925.31,0.00,1925.31,Redacted Personal Data,Community Health & Social Care,Payt to care clients
Salford City Council,2011-11-01,601027004,3786.13,214.31,3571.82,Safehouses North Ltd,Children Services,Payts to Agencies
Salford City Council,2011-11-01,1600426305,8602.32,0.00,8602.32,Inspire Childrens Services Ltd,Children Services,Payts to Agencies
Salford City Council,2011-11-01,1600426185,11292.86,0.00,11292.86,Shared Care T/A Maple Leaf Care Ltd,Children Services,Payts to Agencies
Salford City Council,2011-11-01,601026905,2201.50,0.00,2201.50,Eccles Tea Dance Group,Customer and Support Services,Payts to Vol Orgs
Salford City Council,2011-11-01,601026955,2818.00,0.00,2818.00,Friends Of Irlam & Cadishead Parks,Customer and Support Services,Payts to Vol Orgs
Salford City Council,2011-11-01,1600425847,867.84,144.64,723.20,Safe & Secure (Uk) Limited,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2011-11-01,601026921,71093.94,11848.99,59244.95,Plumbing Trade Supplies,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2011-11-01,601027011,1554.67,0.00,1554.67,Royal Mail Group Plc,Chief Executives,Postage
Salford City Council,2011-11-01,1600426248,1133.71,188.95,944.76,Bcl,Capital Expenditure,Purch of Furn/Equip
Salford City Council,2011-11-01,1600426264,4787.76,797.96,3989.80,Bcl,Capital Expenditure,Purch of Furn/Equip
Salford City Council,2011-11-01,1600423987,20190.00,3365.00,16825.00,Intellident Ltd,Capital Expenditure,Purch of Furn/Equip
Salford City Council,2011-11-01,601026968,2677.50,0.00,2677.50,Redacted Personal Data,Children Services,Refunds
Salford City Council,2011-11-01,601026928,627.97,0.00,627.97,Adullam Homes,Sustainable Regeneration,Rents
Salford City Council,2011-11-01,601026964,900.00,0.00,900.00,Redacted Personal Data,Sustainable Regeneration,Sampling
Salford City Council,2011-11-01,601026917,648.00,108.00,540.00,Saltax Ltd,Community Health & Social Care,Transport
Salford City Council,2011-11-01,601026916,655.20,109.20,546.00,Saltax Ltd,Community Health & Social Care,Transport
Salford City Council,2011-11-01,601026954,756.00,126.00,630.00,Mainline Private Hire,Community Health & Social Care,Transport
Salford City Council,2011-11-02,601027184,604.80,100.80,504.00,Hays Education,Children Services,Agency Fees
Salford City Council,2011-11-02,601027159,1574.40,262.40,1312.00,Rnib,Community Health & Social Care,Books & Periodicals
Salford City Council,2011-11-02,1600424990,784.80,130.80,654.00,Marlow Electrical Co.,Children Services,Building Rep & Maint
Salford City Council,2011-11-02,1600424929,2544.00,424.00,2120.00,Browns Ctp Ltd,Capital Expenditure,Capital Expenses
Salford City Council,2011-11-02,1600425650,1921.05,320.17,1600.88,G4S Cash Solutions Uk Ltd,Environment and Community Safety,Cash in Transit Serv
Salford City Council,2011-11-02,27458773,618.05,0.00,618.05,Brake Bros Ltd,Environment and Community Safety,Catering Materials
Salford City Council,2011-11-02,1600426397,1050.00,0.00,1050.00,Basys It Services,Customer and Support Services,Consult/Contractors
Salford City Council,2011-11-02,601024926,2835.00,0.00,2835.00,Redacted Personal Data,Children Services,Consult/Contractors
Salford City Council,2011-11-02,601024027,5200.00,0.00,5200.00,L.  A.  Furness,Children Services,Consult/Contractors
Salford City Council,2011-11-02,1600426308,7560.00,1260.00,6300.00,Stealth It Recruitment,Customer and Support Services,Consult/Contractors
Salford City Council,2011-11-02,601025933,2125.00,0.00,2125.00,Plus Dane Housing Group Ltd,Sustainable Regeneration,Cont to Fund & Provn
Salford City Council,2011-11-02,1600425181,2442.00,407.00,2035.00,Palmer Demolition Ltd,Capital Expenditure,Demolition
Salford City Council,2011-11-02,1600425179,6186.90,1031.15,5155.75,Palmer Demolition Ltd,Capital Expenditure,Demolition
Salford City Council,2011-11-02,1600425180,23741.40,3956.90,19784.50,Palmer Demolition Ltd,Capital Expenditure,Demolition
Salford City Council,2011-11-02,1600424971,751.20,125.20,626.00,Micron Electrical Contracting Ltd,Sustainable Regeneration,Dev Servs Day to Day
Salford City Council,2011-11-02,1600424978,1513.20,252.20,1261.00,Micron Electrical Contracting Ltd,Community Health & Social Care,Dev Servs Day to Day
Salford City Council,2011-11-02,1600424972,2025.72,337.62,1688.10,Micron Electrical Contracting Ltd,Community Health & Social Care,Dev Servs Day to Day
Salford City Council,2011-11-02,1600424928,2310.00,385.00,1925.00,Morris & Alexander Limited,Community Health & Social Care,Disability Equipment
Salford City Council,2011-11-02,601026148,681.98,113.66,568.32,Stroma Accreditation Ltd,Sustainable Regeneration,Energy Conservation
Salford City Council,2011-11-02,1600424991,640.43,106.74,533.69,Marlow Electrical Co.,Sustainable Regeneration,External Audit Fees
Salford City Council,2011-11-02,601024928,11849.75,0.00,11849.75,Age Concern Salford,Community Health & Social Care,Grants
Salford City Council,2011-11-02,601024927,14341.45,0.00,14341.45,Age Concern Salford,Community Health & Social Care,Grants
Salford City Council,2011-11-02,601027210,15424.14,0.00,15424.14,Salford City Radio,Chief Executives,Grants
Salford City Council,2011-11-02,601027045,630.25,0.00,630.25,Redacted Personal Data,Capital Expenditure,Home Loss Payments
Salford City Council,2011-11-02,601027162,3700.00,0.00,3700.00,Redacted Personal Data,Capital Expenditure,Home Loss Payments
Salford City Council,2011-11-02,1600426402,603.46,100.58,502.88,Ellesmere Engineering Co Ltd,Sustainable Regeneration,Internet
Salford City Council,2011-11-02,1600426404,885.62,147.60,738.02,Ellesmere Engineering Co Ltd,Community Health & Social Care,Internet
Salford City Council,2011-11-02,601026850,3630.00,605.00,3025.00,West March Systems Ltd,Children Services,IT  Licence Fee
Salford City Council,2011-11-02,601027191,12801.27,2134.61,10666.66,Virgin Media Business,Customer and Support Services,Lease line rentals
Salford City Council,2011-11-02,601026496,700.00,0.00,700.00,Her Majesty'S Court Service,Children Services,Legal Fees
Salford City Council,2011-11-02,601026498,700.00,0.00,700.00,Her Majesty'S Court Service,Children Services,Legal Fees
Salford City Council,2011-11-02,601027168,1320.00,220.00,1100.00,Redacted Personal Data,Customer and Support Services,Legal Fees
Salford City Council,2011-11-02,601027169,1680.00,280.00,1400.00,Redacted Personal Data,Sustainable Regeneration,Legal Fees
Salford City Council,2011-11-02,1600424980,1294.02,215.67,1078.35,Cruden Property Services Ltd.,Environment and Community Safety,Mobile Phones
Salford City Council,2011-11-02,1600425009,600.00,0.00,600.00,Ashcroft Management,Chief Executives,Other Prof Fees
Salford City Council,2011-11-02,1600426406,630.00,0.00,630.00,Redacted Personal Data,Children Services,Other Prof Fees
Salford City Council,2011-11-02,1600426387,1800.00,0.00,1800.00,Redacted Personal Data,Chief Executives,Other Prof Fees
Salford City Council,2011-11-02,1600424927,5760.00,960.00,4800.00,Agma Procurement Hub,Customer and Support Services,Other Prof Fees
Salford City Council,2011-11-02,601027164,552.00,92.00,460.00,Global Energy Consultancy,Capital Expenditure,Other Works
Salford City Council,2011-11-02,601027100,685.90,0.00,685.90,Swiis Fostercare Ltd,Children Services,Payts to Agencies
Salford City Council,2011-11-02,601027112,685.90,0.00,685.90,Swiis Fostercare Ltd,Children Services,Payts to Agencies
Salford City Council,2011-11-02,601027083,722.00,0.00,722.00,Swiis Fostercare Ltd,Children Services,Payts to Agencies
Salford City Council,2011-11-02,601027092,722.00,0.00,722.00,Swiis Fostercare Ltd,Children Services,Payts to Agencies
Salford City Council,2011-11-02,601027094,722.00,0.00,722.00,Swiis Fostercare Ltd,Children Services,Payts to Agencies
Salford City Council,2011-11-02,601027095,722.00,0.00,722.00,Swiis Fostercare Ltd,Children Services,Payts to Agencies
Salford City Council,2011-11-02,601027126,722.00,0.00,722.00,Swiis Fostercare Ltd,Children Services,Payts to Agencies
Salford City Council,2011-11-02,601027101,804.13,0.00,804.13,Swiis Fostercare Ltd,Children Services,Payts to Agencies
Salford City Council,2011-11-02,601027102,804.13,0.00,804.13,Swiis Fostercare Ltd,Children Services,Payts to Agencies
Salford City Council,2011-11-02,601027113,804.13,0.00,804.13,Swiis Fostercare Ltd,Children Services,Payts to Agencies
Salford City Council,2011-11-02,601027115,804.13,0.00,804.13,Swiis Fostercare Ltd,Children Services,Payts to Agencies
Salford City Council,2011-11-02,601027082,824.36,0.00,824.36,Swiis Fostercare Ltd,Children Services,Payts to Agencies
Salford City Council,2011-11-02,601027091,824.36,0.00,824.36,Swiis Fostercare Ltd,Children Services,Payts to Agencies
Salford City Council,2011-11-02,601027093,824.36,0.00,824.36,Swiis Fostercare Ltd,Children Services,Payts to Agencies
Salford City Council,2011-11-02,601027127,824.36,0.00,824.36,Swiis Fostercare Ltd,Children Services,Payts to Agencies
Salford City Council,2011-11-02,601027075,845.50,0.00,845.50,Swiis Fostercare Ltd,Children Services,Payts to Agencies
Salford City Council,2011-11-02,601027086,845.50,0.00,845.50,Swiis Fostercare Ltd,Children Services,Payts to Agencies
Salford City Council,2011-11-02,601027098,845.50,0.00,845.50,Swiis Fostercare Ltd,Children Services,Payts to Agencies
Salford City Council,2011-11-02,601027107,845.50,0.00,845.50,Swiis Fostercare Ltd,Children Services,Payts to Agencies
Salford City Council,2011-11-02,601027120,845.50,0.00,845.50,Swiis Fostercare Ltd,Children Services,Payts to Agencies
Salford City Council,2011-11-02,601027070,846.45,0.00,846.45,Swiis Fostercare Ltd,Children Services,Payts to Agencies
Salford City Council,2011-11-02,601027071,846.45,0.00,846.45,Swiis Fostercare Ltd,Children Services,Payts to Agencies
Salford City Council,2011-11-02,601027076,846.45,0.00,846.45,Swiis Fostercare Ltd,Children Services,Payts to Agencies
Salford City Council,2011-11-02,601027078,846.45,0.00,846.45,Swiis Fostercare Ltd,Children Services,Payts to Agencies
Salford City Council,2011-11-02,601027087,846.45,0.00,846.45,Swiis Fostercare Ltd,Children Services,Payts to Agencies
Salford City Council,2011-11-02,601027088,846.45,0.00,846.45,Swiis Fostercare Ltd,Children Services,Payts to Agencies
Salford City Council,2011-11-02,601027099,846.45,0.00,846.45,Swiis Fostercare Ltd,Children Services,Payts to Agencies
Salford City Council,2011-11-02,601027105,846.45,0.00,846.45,Swiis Fostercare Ltd,Children Services,Payts to Agencies
Salford City Council,2011-11-02,601027106,846.45,0.00,846.45,Swiis Fostercare Ltd,Children Services,Payts to Agencies
Salford City Council,2011-11-02,601027118,846.45,0.00,846.45,Swiis Fostercare Ltd,Children Services,Payts to Agencies
Salford City Council,2011-11-02,601027119,846.45,0.00,846.45,Swiis Fostercare Ltd,Children Services,Payts to Agencies
Salford City Council,2011-11-02,601027130,846.45,0.00,846.45,Swiis Fostercare Ltd,Children Services,Payts to Agencies
Salford City Council,2011-11-02,601027069,860.70,0.00,860.70,Swiis Fostercare Ltd,Children Services,Payts to Agencies
Salford City Council,2011-11-02,601027073,860.70,0.00,860.70,Swiis Fostercare Ltd,Children Services,Payts to Agencies
Salford City Council,2011-11-02,601027084,860.70,0.00,860.70,Swiis Fostercare Ltd,Children Services,Payts to Agencies
Salford City Council,2011-11-02,601027096,860.70,0.00,860.70,Swiis Fostercare Ltd,Children Services,Payts to Agencies
Salford City Council,2011-11-02,601027110,860.70,0.00,860.70,Swiis Fostercare Ltd,Children Services,Payts to Agencies
Salford City Council,2011-11-02,601027122,860.70,0.00,860.70,Swiis Fostercare Ltd,Children Services,Payts to Agencies
Salford City Council,2011-11-02,601027074,874.00,0.00,874.00,Swiis Fostercare Ltd,Children Services,Payts to Agencies
Salford City Council,2011-11-02,601027085,874.00,0.00,874.00,Swiis Fostercare Ltd,Children Services,Payts to Agencies
Salford City Council,2011-11-02,601027097,874.00,0.00,874.00,Swiis Fostercare Ltd,Children Services,Payts to Agencies
Salford City Council,2011-11-02,601027108,874.00,0.00,874.00,Swiis Fostercare Ltd,Children Services,Payts to Agencies
Salford City Council,2011-11-02,601027121,874.00,0.00,874.00,Swiis Fostercare Ltd,Children Services,Payts to Agencies
Salford City Council,2011-11-02,601027072,875.90,0.00,875.90,Swiis Fostercare Ltd,Children Services,Payts to Agencies
Salford City Council,2011-11-02,601027080,875.90,0.00,875.90,Swiis Fostercare Ltd,Children Services,Payts to Agencies
Salford City Council,2011-11-02,601027089,875.90,0.00,875.90,Swiis Fostercare Ltd,Children Services,Payts to Agencies
Salford City Council,2011-11-02,601027104,875.90,0.00,875.90,Swiis Fostercare Ltd,Children Services,Payts to Agencies
Salford City Council,2011-11-02,601027117,875.90,0.00,875.90,Swiis Fostercare Ltd,Children Services,Payts to Agencies
Salford City Council,2011-11-02,601027124,875.90,0.00,875.90,Swiis Fostercare Ltd,Children Services,Payts to Agencies
Salford City Council,2011-11-02,601027125,875.90,0.00,875.90,Swiis Fostercare Ltd,Children Services,Payts to Agencies
Salford City Council,2011-11-02,601027129,875.90,0.00,875.90,Swiis Fostercare Ltd,Children Services,Payts to Agencies
Salford City Council,2011-11-02,601027111,917.00,0.00,917.00,Swiis Fostercare Ltd,Children Services,Payts to Agencies
Salford City Council,2011-11-02,601027123,917.00,0.00,917.00,Swiis Fostercare Ltd,Children Services,Payts to Agencies
Salford City Council,2011-11-02,601027081,931.90,0.00,931.90,Swiis Fostercare Ltd,Children Services,Payts to Agencies
Salford City Council,2011-11-02,601027103,931.90,0.00,931.90,Swiis Fostercare Ltd,Children Services,Payts to Agencies
Salford City Council,2011-11-02,601027116,931.90,0.00,931.90,Swiis Fostercare Ltd,Children Services,Payts to Agencies
Salford City Council,2011-11-02,601027090,987.90,0.00,987.90,Swiis Fostercare Ltd,Children Services,Payts to Agencies
Salford City Council,2011-11-02,601027128,1040.70,0.00,1040.70,Swiis Fostercare Ltd,Children Services,Payts to Agencies
Salford City Council,2011-11-02,601025367,1896.72,0.00,1896.72,Alpha Plus Fostering  Ltd,Children Services,Payts to Agencies
Salford City Council,2011-11-02,601025366,3257.14,0.00,3257.14,Alpha Plus Fostering  Ltd,Children Services,Payts to Agencies
Salford City Council,2011-11-02,601025364,3287.30,0.00,3287.30,Alpha Plus Fostering  Ltd,Children Services,Payts to Agencies
Salford City Council,2011-11-02,601025365,3287.30,0.00,3287.30,Alpha Plus Fostering  Ltd,Children Services,Payts to Agencies
Salford City Council,2011-11-02,601025363,3321.56,0.00,3321.56,Alpha Plus Fostering  Ltd,Children Services,Payts to Agencies
Salford City Council,2011-11-02,1600426403,7533.00,0.00,7533.00,Agr Care Services,Children Services,Payts to Agencies
Salford City Council,2011-11-02,601024932,7716.75,0.00,7716.75,Making Space,Community Health & Social Care,Payts to Agencies
Salford City Council,2011-11-02,601024931,16010.00,0.00,16010.00,Making Space,Community Health & Social Care,Payts to Agencies
Salford City Council,2011-11-02,601024793,17706.00,0.00,17706.00,Salford Community & Voluntary Servi,Children Services,Payts to Agencies
Salford City Council,2011-11-02,1600426390,1934.40,322.40,1612.00,Alarm And Security Services,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2011-11-02,601025051,536.64,0.00,536.64,Mjcc,Community Health & Social Care,Provisions
Salford City Council,2011-11-02,1600425384,5613.84,935.64,4678.20,Viglen,Capital Expenditure,Purch of Comp Equip
Salford City Council,2011-11-02,601027229,1015.36,0.00,1015.36,Redacted Personal Data,Sustainable Regeneration,Rent Allowances
Salford City Council,2011-11-02,601027147,2403999.60,400666.60,2003333.00,Salix Homes Limited,Sustainable Regeneration,Salix Mgt Fee
Salford City Council,2011-11-02,601027179,84559.27,0.00,84559.27,Beis Yaakov High School,Children Services,School direct paymt
Salford City Council,2011-11-02,1600426314,690.00,115.00,575.00,Tribune Avs Ltd,Sustainable Regeneration,Security Sys R & Mnt
Salford City Council,2011-11-02,1600426315,690.00,115.00,575.00,Tribune Avs Ltd,Sustainable Regeneration,Security Sys R & Mnt
Salford City Council,2011-11-02,601027213,803.48,133.91,669.57,Adt Fire And Security Plc,Sustainable Regeneration,Security Sys R & Mnt
Salford City Council,2011-11-02,601027194,745.72,124.29,621.43,Cable & Wireless Communications,Sustainable Regeneration,Telephones & Fax
Salford City Council,2011-11-02,601027192,775.98,129.33,646.65,Cable & Wireless Communications,Sustainable Regeneration,Telephones & Fax
Salford City Council,2011-11-02,601027193,817.84,136.31,681.53,Cable & Wireless Communications,Sustainable Regeneration,Telephones & Fax
Salford City Council,2011-11-02,601025940,900.00,150.00,750.00,G-Map Services Ltd,Children Services,Training expenses
Salford City Council,2011-11-02,601027232,1622.03,0.00,1622.03,United Utilities Water Limited,Children Services,Water
Salford City Council,2011-11-02,601027079,2478.00,413.00,2065.00,K Door Services,Capital Expenditure,Works & Building
Salford City Council,2011-11-02,1600426024,20931.70,3488.62,17443.08,Piggott & Whitfield Limited,Capital Expenditure,Works & Building
Salford City Council,2011-11-03,601027387,55125.58,9187.50,45938.08,Comensura Ltd,Capital Expenditure,Agency Fees
Salford City Council,2011-11-03,601027390,56284.92,9380.66,46904.26,Comensura Ltd,Capital Expenditure,Agency Fees
Salford City Council,2011-11-03,601027388,60580.53,10096.60,50483.93,Comensura Ltd,Capital Expenditure,Agency Fees
Salford City Council,2011-11-03,1600424982,1068.00,178.00,890.00,Barratt & Hughes,Community Health & Social Care,Central Prem Alloc
Salford City Council,2011-11-03,1600424595,1586.19,264.36,1321.83,Jws Waste & Recycling Systems Ltd,Environment and Community Safety,Consult/Contractors
Salford City Council,2011-11-03,601027305,1309.86,0.00,1309.86,Tradition (Uk) Limited,Capital Expenditure,Debt Mgmt Expenses
Salford City Council,2011-11-03,601027304,2869.58,0.00,2869.58,Martin Brokers (Uk) Ltd,Capital Expenditure,Debt Mgmt Expenses
Salford City Council,2011-11-03,601027307,3933.43,0.00,3933.43,Tullett Prebon (Uk) Ltd,Capital Expenditure,Debt Mgmt Expenses
Salford City Council,2011-11-03,601027343,3976.37,0.00,3976.37,Sterling International Brokers Ltd,Capital Expenditure,Debt Mgmt Expenses,
Salford City Council,2011-11-03,1600426188,1200.00,200.00,1000.00,Malrod Insulations Ltd,Capital Expenditure,Demolition,
Salford City Council,2011-11-03,1600426190,1800.00,300.00,1500.00,Malrod Insulations Ltd,Capital Expenditure,Demolition,
Salford City Council,2011-11-03,1600424917,542.34,90.39,451.95,Marlow Electrical Co,Children Services,Dev Servs Day to Day,
Salford City Council,2011-11-03,601027407,600.00,0.00,600.00,Redacted Personal Data,Capital Expenditure,Disturbance Payments,
Salford City Council,2011-11-03,1600426428,610.00,0.00,610.00,Hsbc Invoice Finance (Uk) Ltd,Community Health & Social Care,Equipment Repair,
Salford City Council,2011-11-03,601025658,10768.42,1794.74,8973.68,Sp Projects Limited,Capital Expenditure,External Fees-Other,
Salford City Council,2011-11-03,601025989,1532.40,255.40,1277.00,The Furnishing Service,Sustainable Regeneration,Furniture,
Salford City Council,2011-11-03,601025991,1532.40,255.40,1277.00,The Furnishing Service,Sustainable Regeneration,Furniture,
Salford City Council,2011-11-03,601025990,1532.52,255.42,1277.10,The Furnishing Service,Sustainable Regeneration,Furniture,
Salford City Council,2011-11-03,601025992,1826.40,304.40,1522.00,The Furnishing Service,Sustainable Regeneration,Furniture,
Salford City Council,2011-11-03,601027039,7247.00,0.00,7247.00,Citizens Advice Bureau,Community Health & Social Care,Grants,
Salford City Council,2011-11-03,601027240,900.00,0.00,900.00,Wai Yin Chinese Womens Society,Community Health & Social Care,Home Helps,
Salford City Council,2011-11-03,601027346,2904.00,484.00,2420.00,G-Map Services Ltd,Community Health & Social Care,Home Helps,
Salford City Council,2011-11-03,601027363,1358.60,202.35,1156.25,Temperley Taylor Llp,Children Services,Legal Fees,
Salford City Council,2011-11-03,601027333,810.00,135.00,675.00,R/C/D/,Sustainable Regeneration,Marketing/Publicity,
Salford City Council,2011-11-03,1600426481,1249.20,208.20,1041.00,Elygra,Environment and Community Safety,Marketing/Publicity
Salford City Council,2011-11-03,601025963,698.40,116.40,582.00,Eschmann Holdings Ltd,Children Services,Medical Health/Safe
Salford City Council,2011-11-03,1600426475,1200.00,0.00,1200.00,The Inclusion Trust,Children Services,Other Prof Fees
Salford City Council,2011-11-03,1600426472,4864.51,0.00,4864.51,The Inclusion Trust,Children Services,Other Prof Fees
Salford City Council,2011-11-03,1600426473,5000.00,0.00,5000.00,The Inclusion Trust,Children Services,Other Prof Fees
Salford City Council,2011-11-03,1600424598,5185.30,864.22,4321.08,Wigan Mbc,Customer and Support Services,Other Prof Fees
Salford City Council,2011-11-03,601027274,52317.97,8719.66,43598.31,Urban Vision Partnership Ltd,Children Services,Other Prof Fees
Salford City Council,2011-11-03,1600424582,14636.40,2439.40,12197.00,Greater Manchester West,Community Health & Social Care,Payments to H A
Salford City Council,2011-11-03,601027280,509.25,0.00,509.25,First Steps Playgroup,Children Services,Payts to Agencies
Salford City Council,2011-11-03,601027298,824.50,0.00,824.50,Yogurt Pots Childcare Services,Children Services,Payts to Agencies
Salford City Council,2011-11-03,601027289,945.75,0.00,945.75,Little Learners,Children Services,Payts to Agencies
Salford City Council,2011-11-03,601027287,1164.00,0.00,1164.00,Little Buds Nursery,Children Services,Payts to Agencies
Salford City Council,2011-11-03,601024798,1428.56,0.00,1428.56,Fairfield Residential,Children Services,Payts to Agencies
Salford City Council,2011-11-03,601027291,1464.70,0.00,1464.70,Oaklands Day Nursery,Children Services,Payts to Agencies
Salford City Council,2011-11-03,601027290,1789.65,0.00,1789.65,Munchkins & Baby Munchkins  Nursery,Children Services,Payts to Agencies
Salford City Council,2011-11-03,601027276,1818.75,0.00,1818.75,Auntie Stephs Playgroup,Children Services,Payts to Agencies
Salford City Council,2011-11-03,601027278,1964.25,0.00,1964.25,University Of Salford Busy Bees,Children Services,Payts to Agencies
Salford City Council,2011-11-03,601027279,2614.15,0.00,2614.15,Claremont Neighbourhood Nursery,Children Services,Payts to Agencies
Salford City Council,2011-11-03,601027294,2728.13,0.00,2728.13,St Pauls Peel Playgroup Fund,Children Services,Payts to Agencies
Salford City Council,2011-11-03,601027284,2842.10,0.00,2842.10,Holyrood Day Nursery Salford,Children Services,Payts to Agencies
Salford City Council,2011-11-03,601027295,2861.50,0.00,2861.50,Tiny Tots Playgroup,Children Services,Payts to Agencies
Salford City Council,2011-11-03,601027281,2871.20,0.00,2871.20,Fledglings Day Nursery,Children Services,Payts to Agencies
Salford City Council,2011-11-03,601027275,3188.88,0.00,3188.88,Aim Habonim,Children Services,Payts to Agencies
Salford City Council,2011-11-03,601027285,3302.85,0.00,3302.85,Holyrood Day Nursery (Swinton),Children Services,Payts to Agencies
Salford City Council,2011-11-03,601027297,3564.75,0.00,3564.75,Westwood Smarties,Children Services,Payts to Agencies
Salford City Council,2011-11-03,601027296,4146.75,0.00,4146.75,Tinytots Vision Ltd,Children Services,Payts to Agencies
Salford City Council,2011-11-03,601027282,4447.45,0.00,4447.45,Holly House Day Nursery,Children Services,Payts to Agencies
Salford City Council,2011-11-03,601027293,4714.20,0.00,4714.20,Rainbows Neighourhood Nursery,Children Services,Payts to Agencies
Salford City Council,2011-11-03,1600426421,5157.40,0.00,5157.40,Together Trust,Children Services,Payts to Agencies
Salford City Council,2011-11-03,601027277,6402.00,0.00,6402.00,Bright Futures Childcare Ltd,Children Services,Payts to Agencies
Salford City Council,2011-11-03,601027288,7420.50,0.00,7420.50,Little Explorers,Children Services,Payts to Agencies
Salford City Council,2011-11-03,601027286,10825.20,0.00,10825.20,Lark Hill Day Nursery Ltd,Children Services,Payts to Agencies
Salford City Council,2011-11-03,601027292,11155.00,0.00,11155.00,Primrose Hill Private Day,Children Services,Payts to Agencies
Salford City Council,2011-11-03,1600426420,28891.77,0.00,28891.77,Together Trust,Children Services,Payts to Agencies
Salford City Council,2011-11-03,601027386,48521.40,8086.90,40434.50,Barnardo'S North West,Children Services,Payts to Agencies
Salford City Council,2011-11-03,601027323,42978.11,0.00,42978.11,Bury Council,Children Services,Payts to Other LA's
Salford City Council,2011-11-03,601027321,58766.60,0.00,58766.60,Bury Council,Children Services,Payts to Other LA's
Salford City Council,2011-11-03,601027324,109414.39,0.00,109414.39,Bury Council,Children Services,Payts to Other LA's
Salford City Council,2011-11-03,601027352,2500.00,0.00,2500.00,Big Steps Playgroup,Customer and Support Services,Payts to Vol Orgs
Salford City Council,2011-11-03,1600426427,544.80,90.80,454.00,Vista Group Plc,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2011-11-03,601026409,1552.20,258.70,1293.50,Quorum Estates Pension Fund Ltd,Children Services,Premises Insurance
Salford City Council,2011-11-03,601027385,142822.69,23803.78,119018.91,Smartestenergy Ltd,Sustainable Regeneration,Principal Road Maint
Salford City Council,2011-11-03,601027035,1344.00,224.00,1120.00,Print Image Network Ltd,Chief Executives,Print & Photocopying
