Authority Name,Date of Payment,Document Number,Gross,VAT,Net,Supplier Name,Directorate,G/L Description
Salford City Council,2011-09-02,1600420693,3948.38,658.06,3290.32,Airborne Environmental Consultants,Capital Expenditure,Demolition
Salford City Council,2011-09-02,1600421336,2100.78,350.13,1750.65,Electricity North West Ltd,Capital Expenditure,Demolition
Salford City Council,2011-09-02,1600421309,27328.63,4554.77,22773.86,Palmer Demolition Ltd,Capital Expenditure,Demolition
Salford City Council,2011-09-02,1600420253,775.26,129.21,646.05,Consolor Ltd,Community Health & Social Care,Disability Equipment
Salford City Council,2011-09-02,1600420442,2018.22,336.36,1681.86,Consolor Ltd,Community Health & Social Care,Disability Equipment
Salford City Council,2011-09-02,25370727,642.00,107.00,535.00,Total Hygiene,Community Health & Social Care,Disability Equipment
Salford City Council,2011-09-02,601018423,2520.00,420.00,2100.00,N J Cook Removals & Storage,Capital Expenditure,Disturbance Payments
Salford City Council,2011-09-02,601018689,73536.08,45.97,73490.11,Southern Electric,Capital Expenditure,Electricity
Salford City Council,2011-09-02,601018425,626.40,104.40,522.00,Greenworks Solutions Ltd,Children's Services,Equipment Purchase
Salford City Council,2011-09-02,1600421216,516.00,86.00,430.00,S & S Marquees,Customer and Support Services,Equipment Purchase
Salford City Council,2011-09-02,601018527,509.88,84.98,424.90,The Furnishing Service,Sustainable Regeneration,Equipment Purchase
Salford City Council,2011-09-02,601018472,889.90,0.00,889.90,Fairfield Care Ltd,Children's Services,Fst Care Hol Allow
Salford City Council,2011-09-02,601018583,1055.52,175.92,879.60,The Furnishing Service,Sustainable Regeneration,Furniture
Salford City Council,2011-09-02,601018620,2461.38,410.23,2051.15,The Furnishing Service,Sustainable Regeneration,Furniture
Salford City Council,2011-09-02,601018581,711.78,118.63,593.15,Duvet Pillow & Linen Co Ltd,Sustainable Regeneration,Furniture
Salford City Council,2011-09-02,1600421751,2840.36,473.39,2366.97,Mast Lift Project Co (No2) Ltd,Customer and Support Services,Gas
Salford City Council,2011-09-02,1600421752,4939.35,823.23,4116.12,Mast Lift Project Co (No2) Ltd,Customer and Support Services,Gas
Salford City Council,2011-09-02,1600421753,7792.38,1298.73,6493.65,Mast Lift Project Co (No2) Ltd,Customer and Support Services,Gas
Salford City Council,2011-09-02,1600419781,1181.52,196.92,984.60,Granart Memorials,Environment and Community Safety,Gen Resaleable Items
Salford City Council,2011-09-02,601018711,25841.75,0.00,25841.75,Salford Community & Voluntary Servi,Community Health & Social Care,Grants
Salford City Council,2011-09-02,601018430,9282.75,0.00,9282.75,Basic,Chief Executives,Grants
Salford City Council,2011-09-02,601018449,3982.74,519.49,3463.25,Greater Manchester Probation Trust,Community Health & Social Care,Grants - External
Salford City Council,2011-09-02,1600420974,3950.13,0.00,3950.13,T.H.O.M.A.S,Environment and Community Safety,Grants - External
Salford City Council,2011-09-02,1600420975,11137.50,0.00,11137.50,T.H.O.M.A.S,Environment and Community Safety,Grants - External
Salford City Council,2011-09-02,1600420976,6000.00,0.00,6000.00,T.H.O.M.A.S,Environment and Community Safety,Grants - External
Salford City Council,2011-09-02,1600420977,23707.75,0.00,23707.75,T.H.O.M.A.S,Environment and Community Safety,Grants - External
Salford City Council,2011-09-02,601018524,5625.00,0.00,5625.00,Redacted Personal Data,Children's Services,Grants - External
Salford City Council,2011-09-02,601018526,5625.00,0.00,5625.00,Redacted Personal Data,Children's Services,Grants - External
Salford City Council,2011-09-02,601018525,5625.00,0.00,5625.00,Redacted Personal Data,Children's Services,Grants - External
Salford City Council,2011-09-02,6000860340,881.28,0.00,881.28,Comfort Call Ltd,Community Health & Social Care,Home Helps
Salford City Council,2011-09-02,6000860326,1990.24,0.00,1990.24,B & M Community Services Ltd,Community Health & Social Care,Home Helps
Salford City Council,2011-09-02,6000860339,3198.12,0.00,3198.12,Image Act & Succeed,Community Health & Social Care,Home Helps
Salford City Council,2011-09-02,6000860332,4797.74,0.00,4797.74,M & N Bland,Community Health & Social Care,Home Helps
Salford City Council,2011-09-02,1600421754,3510.70,0.00,3510.70,H Booth The Elder Charity,Community Health & Social Care,Insurance Premiums
Salford City Council,2011-09-02,601018656,1014.00,169.00,845.00,Stockport Psychology Services,Children's Services,Legal Fees
Salford City Council,2011-09-02,601018555,1644.00,274.00,1370.00,Redacted Personal Data,Children's Services,Legal Fees
Salford City Council,2011-09-02,601018693,600.00,100.00,500.00,Redacted Personal Data,Customer and Support Services,Legal Fees
Salford City Council,2011-09-02,601018721,737.50,0.00,737.50,Redacted Personal Data,Children's Services,Legal Fees
Salford City Council,2011-09-02,601018635,2925.00,0.00,2925.00,City Secretary & Solicitors Courts,Children's Services,Legal Fees
Salford City Council,2011-09-02,25370740,2784.00,0.00,2784.00,Hmcourts-Service.G,Environment and Community Safety,Legal Fees
Salford City Council,2011-09-02,601018523,1281.77,0.00,1281.77,Redacted Personal Data,Customer and Support Services,Liability Insurance
Salford City Council,2011-09-02,1600420477,888.00,148.00,740.00,Brochurelink,Chief Executives,Marketing/Publicity
Salford City Council,2011-09-02,1600421196,504.00,84.00,420.00,Kennedys Turf Ltd,Environment and Community Safety,Materials
Salford City Council,2011-09-02,601018479,1279.72,213.29,1066.43,Main Marketing & Pr Limited,Capital Expenditure,Miscellaneous Exes
Salford City Council,2011-09-02,1600421724,1058.88,176.48,882.40,Fashion At Work,Capital Expenditure,Miscellaneous Exes
Salford City Council,2011-09-02,601017897,11170.33,0.00,11170.33,Together Trust,Children's Services,Non-Maint Spec Schls
Salford City Council,2011-09-02,601017902,12684.48,0.00,12684.48,Together Trust,Children's Services,Non-Maint Spec Schls
Salford City Council,2011-09-02,601018562,10295.00,0.00,10295.00,Oakfield House School,Children's Services,Non-Maint Spec Schls
Salford City Council,2011-09-02,601018563,10295.00,0.00,10295.00,Oakfield House School,Children's Services,Non-Maint Spec Schls
Salford City Council,2011-09-02,601018564,10295.00,0.00,10295.00,Oakfield House School,Children's Services,Non-Maint Spec Schls
Salford City Council,2011-09-02,601018566,10295.00,0.00,10295.00,Oakfield House School,Children's Services,Non-Maint Spec Schls
Salford City Council,2011-09-02,601018567,10295.00,0.00,10295.00,Oakfield House School,Children's Services,Non-Maint Spec Schls
Salford City Council,2011-09-02,601018570,10295.00,0.00,10295.00,Oakfield House School,Children's Services,Non-Maint Spec Schls
Salford City Council,2011-09-02,601018573,10295.00,0.00,10295.00,Oakfield House School,Children's Services,Non-Maint Spec Schls
Salford City Council,2011-09-02,601018575,10295.00,0.00,10295.00,Oakfield House School,Children's Services,Non-Maint Spec Schls
Salford City Council,2011-09-02,601018577,10295.00,0.00,10295.00,Oakfield House School,Children's Services,Non-Maint Spec Schls
Salford City Council,2011-09-02,601018432,5792.97,965.50,4827.47,European Wellcare Lifestyles Ltd,Children's Services,Non-Maint Spec Schls
Salford City Council,2011-09-02,1600421267,1794.00,299.00,1495.00,S & S Marquees,Chief Executives,Other Prof Fees
Salford City Council,2011-09-02,601018461,2000.00,0.00,2000.00,Crossroads Caring For Carers,Capital Expenditure,Other Works
Salford City Council,2011-09-02,1600421747,14571.30,0.00,14571.30,Horizon Care Ltd,Children's Services,Payts to Agencies
Salford City Council,2011-09-02,1600421748,16403.58,424.98,15978.60,Horizon Care Ltd,Children's Services,Payts to Agencies
Salford City Council,2011-09-02,601018623,1027.74,0.00,1027.74,Child Action North West,Children's Services,Payts to Agencies
Salford City Council,2011-09-02,601018625,3100.00,0.00,3100.00,Child Action North West,Children's Services,Payts to Agencies
Salford City Council,2011-09-02,601018626,3299.33,0.00,3299.33,Child Action North West,Children's Services,Payts to Agencies
Salford City Council,2011-09-02,601018627,4207.32,0.00,4207.32,Child Action North West,Children's Services,Payts to Agencies
Salford City Council,2011-09-02,601018628,3299.33,0.00,3299.33,Child Action North West,Children's Services,Payts to Agencies
Salford City Council,2011-09-02,601018629,3000.00,0.00,3000.00,Child Action North West,Children's Services,Payts to Agencies
Salford City Council,2011-09-02,601018630,3192.90,0.00,3192.90,Child Action North West,Children's Services,Payts to Agencies
Salford City Council,2011-09-02,601018631,4071.60,0.00,4071.60,Child Action North West,Children's Services,Payts to Agencies
Salford City Council,2011-09-02,601018632,3192.90,0.00,3192.90,Child Action North West,Children's Services,Payts to Agencies
Salford City Council,2011-09-02,601018419,53700.50,0.00,53700.50,Crossroads Caring For Carers,Community Health & Social Care,Payts to Agencies
Salford City Council,2011-09-02,601018483,1230.00,0.00,1230.00,Broughton Trust,Children's Services,Payts to Agencies
Salford City Council,2011-09-02,601018582,1699.04,0.00,1699.04,Bolton Council,Children's Services,Payts to Other LA's
Salford City Council,2011-09-02,601018532,4678.83,0.00,4678.83,Wigan Council,Children's Services,Payts to Other LA's
Salford City Council,2011-09-02,601018697,850.00,0.00,850.00,Deafness Support Network,Children's Services,Payts to Other LA's
Salford City Council,2011-09-02,601018437,633.05,0.00,633.05,Thomasson Memorial School,Children's Services,Payts to Other LA's
Salford City Council,2011-09-02,601018444,9086.06,0.00,9086.06,Oldham Mbc,Children's Services,Payts to Other LA's
Salford City Council,2011-09-02,601018659,670.00,0.00,670.00,Kidzwidreamz,Customer and Support Services,Payts to Vol Orgs
Salford City Council,2011-09-02,601018698,2344.80,0.00,2344.80,Butcher & Barlow Solicitors Llp,Community Health & Social Care,Payts to Vol Orgs
Salford City Council,2011-09-02,601017545,1078.80,179.80,899.00,Halycon Signs Ltd,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2011-09-02,601017290,16862.10,2810.35,14051.75,Horticon Ltd,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2011-09-02,1600421305,6052.26,1008.71,5043.55,"G Jones Ltd.,",Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2011-09-02,601018642,129659.77,0.00,129659.77,Cruden Construction Ltd,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2011-09-02,601018641,15943.50,0.00,15943.50,Cruden Construction Ltd,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2011-09-02,601018636,513.60,0.00,513.60,Mjcc,Community Health & Social Care,Provisions
Salford City Council,2011-09-02,1600420432,523.20,87.20,436.00,Wrs Group Uk,Community Health & Social Care,Provisions
Salford City Council,2011-09-02,601018538,1804.00,287.00,1517.00,The Original (Klm) Ltd,Children's Services,Pupil Assistance
Salford City Council,2011-09-02,601018541,638.58,0.00,638.58,Agr Care Services,Children's Services,Pupil Assistance
Salford City Council,2011-09-02,601018593,1240.00,0.00,1240.00,Redacted Personal Data,Children's Services,Pupil Assistance
Salford City Council,2011-09-02,601018412,641.45,106.91,534.54,Bt Global Services Solutions,Capital Expenditure,Purch of Comp Equip
Salford City Council,2011-09-02,601018657,9840.97,1640.16,8200.81,S & W Tlp Education Partnership Ltd,Capital Expenditure,Purch of Comp Equip
Salford City Council,2011-09-02,1600421197,1367.66,227.94,1139.72,Bcl,Capital Expenditure,Purch of Furn/Equip
Salford City Council,2011-09-02,601018434,1093.73,0.00,1093.73,Contour Homes Ltd,Community Health & Social Care,Refunds
Salford City Council,2011-09-02,601018476,758.00,0.00,758.00,Progress Care Housing Association,Community Health & Social Care,Refunds
Salford City Council,2011-09-02,601018493,807.94,134.66,673.28,Vanguard Storage Systems,Sustainable Regeneration,Removal Expenses
Salford City Council,2011-09-02,601018495,834.88,139.15,695.73,Vanguard Storage Systems,Sustainable Regeneration,Removal Expenses
Salford City Council,2011-09-02,601018497,807.95,134.66,673.29,Vanguard Storage Systems,Sustainable Regeneration,Removal Expenses
