Authority Name,Date of Payment,SAP Document Number,Gross,VAT,Net,Supplier Name,Directorate,description
Salford City Council,2015-04-01,1600531134,2806.72,0,2806.72,The National Fostering Agency,Children's Services,Payts to Agencies
Salford City Council,2015-04-01,1600530987,2847.72,0,2847.72,The National Fostering Agency,Children's Services,Payts to Agencies
Salford City Council,2015-04-01,1600531135,2860.76,0,2860.76,The National Fostering Agency,Children's Services,Payts to Agencies
Salford City Council,2015-04-01,1600530716,2903.36,0,2903.36,The National Fostering Agency,Children's Services,Payts to Agencies
Salford City Council,2015-04-01,1600530717,2920.4,0,2920.4,The National Fostering Agency,Children's Services,Payts to Agencies
Salford City Council,2015-04-01,601138699,4770,0,4770,The Pennine Acute Hospitals,"Community, Health & Social Care",Payts to Agencies
Salford City Council,2015-04-01,601138800,4208.4,701.4,3507,Valuation Office Agency,Capital Expenditure,External Fees-Other
Salford City Council,2015-04-01,1600531048,733.8,122.3,611.5,Vanguard Storage Systems,Sustainable Regeneration,Removal Expenses
Salford City Council,2015-04-01,601138010,827.32,137.89,689.43,Whistl Uk Ltd,Customer and Support Services,Postage
Salford City Council,2015-04-01,601138005,2338.94,389.82,1949.12,Whistl Uk Ltd,Customer and Support Services,Postage
Salford City Council,2015-04-01,601138009,4120.69,686.78,3433.91,Whistl Uk Ltd,Customer and Support Services,Postage
Salford City Council,2015-04-01,601138637,930,0,930,White Lodge Hotel,"Community, Health & Social Care",Rents
Salford City Council,2015-04-01,601138638,930,0,930,White Lodge Hotel,"Community, Health & Social Care",Rents
Salford City Council,2015-04-02,1600531916,1080,180,900,Ags Tech,Sustainable Regeneration,Dev Servs Day to Day
Salford City Council,2015-04-02,601138879,650.04,108.34,541.7,Alere Toxicology Ltd,Environment and Community Safety,Payts to Agencies
Salford City Council,2015-04-02,1600531058,1480.8,246.8,1234,Azure,Customer and Support Services,Provisions
Salford City Council,2015-04-02,1600533170,789.9,131.65,658.25,Baby Moves Training,Children's Services,Class Supplies Capit
Salford City Council,2015-04-02,1600533173,1010.4,168.4,842,Baby Moves Training,Children's Services,Class Supplies Capit
Salford City Council,2015-04-02,1600533174,1201.12,200.19,1000.93,Baby Moves Training,Children's Services,Equipment Purchase
Salford City Council,2015-04-02,1600533171,1350.49,225.08,1125.41,Baby Moves Training,Children's Services,Equipment Purchase
Salford City Council,2015-04-02,1600532418,2613.6,435.6,2178,Bha For Equality In Health & Social,"Community, Health & Social Care",Payts to Agencies
Salford City Council,2015-04-02,1600533187,691.2,115.2,576,Big Life Enterprises,Customer and Support Services,Payts to Agencies
Salford City Council,2015-04-02,1600533184,254016,42336,211680,Big Life Enterprises,Customer and Support Services,Payts to Agencies
Salford City Council,2015-04-02,1600531875,1380,0,1380,Brookes Cycles Ltd,"Community, Health & Social Care",Equipment Purchase
Salford City Council,2015-04-02,601138831,535.2,89.2,446,Camelot Property Management Ltd,Capital Expenditure,Capital Expenses
Salford City Council,2015-04-02,601138696,18592,0,18592,Central Manchester University,"Community, Health & Social Care",Payts to Agencies
Salford City Council,2015-04-02,601138881,63831,0,63831,Central Manchester University,"Community, Health & Social Care",Payts to Agencies
Salford City Council,2015-04-02,6001762375,3996,0,3996,Cic,"Community, Health & Social Care",Supported Tenancies
Salford City Council,2015-04-02,1600531885,1587.31,264.55,1322.76,Clear Skies Software Ltd,Environment and Community Safety,Computer Maintenance
Salford City Council,2015-04-02,601137387,1286,9,1277,Complete Background Screening Ltd,Customer and Support Services,Other Prof Fees
Salford City Council,2015-04-02,1600532725,828,138,690,Cws Technology,Sustainable Regeneration,Security/Equipment
Salford City Council,2015-04-02,1600532371,950.76,158.46,792.3,Ellesmere Engineering Co Ltd,Sustainable Regeneration,UV Air Con
Salford City Council,2015-04-02,1600532089,1881.6,313.6,1568,Ellesmere Engineering Co Ltd,Sustainable Regeneration,UV Heat Rep
Salford City Council,2015-04-02,1600531362,13064.02,0,13064.02,Enabling Futures Ltd,Children's Services,Payts to Agencies
Salford City Council,2015-04-02,1600531169,1059.12,176.52,882.6,Experian Ltd,Sustainable Regeneration,Other Prof Fees
Salford City Council,2015-04-02,1600532126,714.28,0,714.28,Fairfield Residential,Children's Services,Payts to Agencies
Salford City Council,2015-04-02,1600531308,14167,0,14167,Footsteps A Path To Change Ltd,Children's Services,Payts to Agencies
Salford City Council,2015-04-02,601138897,3470,0,3470,Forster Dean Ltd,Customer and Support Services,Liability Insurance
Salford City Council,2015-04-02,1600531158,3113.7,0,3113.7,Foster Care Associates Ltd,Children's Services,Payts to Agencies
Salford City Council,2015-04-02,1600531160,3113.7,0,3113.7,Foster Care Associates Ltd,Children's Services,Payts to Agencies
Salford City Council,2015-04-02,1600531791,3113.7,0,3113.7,Foster Care Associates Ltd,Children's Services,Payts to Agencies
Salford City Council,2015-04-02,1600531159,3132.6,0,3132.6,Foster Care Associates Ltd,Children's Services,Payts to Agencies
Salford City Council,2015-04-02,1600531195,3132.6,0,3132.6,Foster Care Associates Ltd,Children's Services,Payts to Agencies
Salford City Council,2015-04-02,1600531801,3132.6,0,3132.6,Foster Care Associates Ltd,Children's Services,Payts to Agencies
Salford City Council,2015-04-02,1600531157,3166.65,0,3166.65,Foster Care Associates Ltd,Children's Services,Payts to Agencies
Salford City Council,2015-04-02,1600531799,3166.65,0,3166.65,Foster Care Associates Ltd,Children's Services,Payts to Agencies
Salford City Council,2015-04-02,1600531194,3476.34,0,3476.34,Foster Care Associates Ltd,Children's Services,Payts to Agencies
Salford City Council,2015-04-02,1600531193,3537.77,0,3537.77,Foster Care Associates Ltd,Children's Services,Payts to Agencies
Salford City Council,2015-04-02,1600531156,3593.52,0,3593.52,Foster Care Associates Ltd,Children's Services,Payts to Agencies
Salford City Council,2015-04-02,1600531703,3648.02,0,3648.02,Foster Care Associates Ltd,Children's Services,Payts to Agencies
Salford City Council,2015-04-02,1600532121,5314.29,0,5314.29,Foster Cares Ltd,Children's Services,Payts to Agencies
Salford City Council,2015-04-02,1600530752,2957.02,0,2957.02,Fostering Solutions Limited,Children's Services,Payts to Agencies
Salford City Council,2015-04-02,1600530759,2957.02,0,2957.02,Fostering Solutions Limited,Children's Services,Payts to Agencies
Salford City Council,2015-04-02,1600530756,3125.02,0,3125.02,Fostering Solutions Limited,Children's Services,Payts to Agencies
Salford City Council,2015-04-02,1600530769,3125.02,0,3125.02,Fostering Solutions Limited,Children's Services,Payts to Agencies
Salford City Council,2015-04-02,1600530772,3125.02,0,3125.02,Fostering Solutions Limited,Children's Services,Payts to Agencies
Salford City Council,2015-04-02,1600530774,3125.02,0,3125.02,Fostering Solutions Limited,Children's Services,Payts to Agencies
Salford City Council,2015-04-02,1600530744,3360.24,0,3360.24,Fostering Solutions Limited,Children's Services,Payts to Agencies
Salford City Council,2015-04-02,1600530751,3360.24,0,3360.24,Fostering Solutions Limited,Children's Services,Payts to Agencies
Salford City Council,2015-04-02,1600530757,3360.24,0,3360.24,Fostering Solutions Limited,Children's Services,Payts to Agencies
Salford City Council,2015-04-02,1600530765,3360.24,0,3360.24,Fostering Solutions Limited,Children's Services,Payts to Agencies
Salford City Council,2015-04-02,1600530767,3360.24,0,3360.24,Fostering Solutions Limited,Children's Services,Payts to Agencies
Salford City Council,2015-04-02,1600530771,3360.24,0,3360.24,Fostering Solutions Limited,Children's Services,Payts to Agencies
Salford City Council,2015-04-02,1600530773,3360.24,0,3360.24,Fostering Solutions Limited,Children's Services,Payts to Agencies
Salford City Council,2015-04-02,601138906,2000,0,2000,Fp Teleset Data Group,Customer and Support Services,Postage
Salford City Council,2015-04-02,1600531788,105500,17583.33,87916.67,G.M.C.P (Enterprise) Ltd,Children's Services,Payts to Agencies
Salford City Council,2015-04-02,1600533158,2614.87,435.81,2179.06,G4S Cash Solutions Uk Ltd,Environment and Community Safety,Cash in Transit Serv
Salford City Council,2015-04-02,601138027,698.4,116.4,582,Gb Security Systems Ltd,Children's Services,Prog Maint & Works
Salford City Council,2015-04-02,1600531154,4458.66,0,4458.66,George House Trust,"Community, Health & Social Care",Payts to Agencies
Salford City Council,2015-04-02,1600532094,528,88,440,Go Plant Ltd,Environment and Community Safety,Annual Vehicle Hire
Salford City Council,2015-04-02,1600532136,895.99,149.33,746.66,Go Plant Ltd,Environment and Community Safety,Vehicle Related Expenditure
Salford City Council,2015-04-02,1600531909,2682,447,2235,Harvest Healthcare,"Community, Health & Social Care",Disability Equipment
Salford City Council,2015-04-02,601138657,4233.04,0,4233.04,Helping Hands Homecare Agency,"Community, Health & Social Care",Supported Tenancies
Salford City Council,2015-04-02,1600532076,1320,220,1100,Hewden Stuart Plc,Environment and Community Safety,Annual Vehicle Hire
Salford City Council,2015-04-02,1600533175,49015.25,8169.21,40846.04,Horticon Ltd,Capital Expenditure,Miscellaneous Exes
Salford City Council,2015-04-02,1600531880,528,88,440,Invacare Ltd,"Community, Health & Social Care",Disability Equipment
Salford City Council,2015-04-02,1600531883,660,110,550,Invacare Ltd,"Community, Health & Social Care",Disability Equipment
Salford City Council,2015-04-02,601138700,1170,195,975,Itn Mark Education,Children's Services,Agency Fees
Salford City Council,2015-04-02,601137667,993.6,165.6,828,Language Empire Limited,"Community, Health & Social Care",Interpreter/translat
Salford City Council,2015-04-02,1600531614,548.05,91.34,456.71,Lex Autolease Ltd,Environment and Community Safety,Annual Vehicle Hire
Salford City Council,2015-04-02,1600531373,3450.65,0,3450.65,Lorimer Foster Services,Children's Services,Payts to Agencies
Salford City Council,2015-04-02,1600531534,2000,0,2000,Mds Mini Buses (Manchester) Ltd,Children's Services,Pupil Assistance
Salford City Council,2015-04-02,1600533190,2758.61,459.77,2298.84,National Grid,Capital Expenditure,Demolition
Salford City Council,2015-04-02,1600531919,8900.02,1483.34,7416.68,NHS Greater Manchester CSU,"Community, Health & Social Care",Payts to Agencies
Salford City Council,2015-04-02,1600533180,229122.11,38187.02,190935.09,P Casey & Co Ltd,Capital Expenditure,Miscellaneous Exes
Salford City Council,2015-04-02,601137810,507.5,0,507.5,Penderels Trust,"Community, Health & Social Care",Oth Office Expenses
Salford City Council,2015-04-02,601137812,507.5,0,507.5,Penderels Trust,"Community, Health & Social Care",Oth Office Expenses
Salford City Council,2015-04-02,601137871,580,0,580,Penderels Trust,"Community, Health & Social Care",Oth Office Expenses
Salford City Council,2015-04-02,601137809,652.5,0,652.5,Penderels Trust,"Community, Health & Social Care",Oth Office Expenses
Salford City Council,2015-04-02,601137814,652.5,0,652.5,Penderels Trust,"Community, Health & Social Care",Oth Office Expenses
Salford City Council,2015-04-02,1600532139,934732.42,155788.74,778943.68,Pendleton Together Operating Ltd,Sustainable Regeneration,Unitary Charge
Salford City Council,2015-04-02,1600531008,703.2,117.2,586,Ptsg,Sustainable Regeneration,Dev Servs Day to Day
Salford City Council,2015-04-02,1600531111,505.74,84.29,421.45,R.Draper Ltd,Environment and Community Safety,Horticultural/GMaint
Salford City Council,2015-04-02,601137125,594,99,495,Randstad Education Limited,Children's Services,Agency Fees
Salford City Council,2015-04-02,601137752,835.8,139.3,696.5,Randstad Education Limited,Children's Services,Agency Fees
Salford City Council,2015-04-02,601138870,835.8,139.3,696.5,Randstad Education Limited,Children's Services,Agency Fees
Salford City Council,2015-04-02,1600530762,2574,429,2145,Ray Britland Contractors Ltd,Environment and Community Safety,Contractors
Salford City Council,2015-04-02,1600533161,3540,590,2950,Rbs Invoice Finance Limited,Environment and Community Safety,del'd kitchen formul
Salford City Council,2015-04-02,1600532517,600,0,600,Redacted Data,Environment and Community Safety,Other Prof Fees
Salford City Council,2015-04-02,1600532758,630,0,630,Redacted Data,Children's Services,Pupil Assistance
Salford City Council,2015-04-02,1600532759,630,0,630,Redacted Data,Children's Services,Pupil Assistance
Salford City Council,2015-04-02,1600531999,972.25,0,972.25,Redacted Data,Children's Services,Pupil Assistance
Salford City Council,2015-04-02,6001762378,1296.02,0,1296.02,Redacted Data,"Community, Health & Social Care",Home Helps
Salford City Council,2015-04-02,1600532518,900,0,900,Salford Community & Voluntary Servi,Customer and Support Services,Other Prof Fees
Salford City Council,2015-04-02,1600532655,66392.25,0,66392.25,Salford Community & Voluntary Servi,"Community, Health & Social Care",Payts to Agencies
Salford City Council,2015-04-02,1600532421,15691.25,0,15691.25,Salford Foundation Ltd,Customer and Support Services,Payts to Agencies
Salford City Council,2015-04-02,1600532656,1800,300,1500,Skills Solution Ltd,Customer and Support Services,Training expenses
Salford City Council,2015-04-02,601138874,684,114,570,Strand Refrigeration,Environment and Community Safety,del'd kitchen formul
Salford City Council,2015-04-02,601138873,876,146,730,Strand Refrigeration,Environment and Community Safety,del'd kitchen formul
Salford City Council,2015-04-02,601137118,920.4,153.4,767,Strand Refrigeration,Environment and Community Safety,del'd kitchen formul
Salford City Council,2015-04-02,1600531155,786.6,0,786.6,Swiis Fostercare Ltd,Children's Services,Payts to Agencies
Salford City Council,2015-04-02,1600531320,786.6,0,786.6,Swiis Fostercare Ltd,Children's Services,Payts to Agencies
Salford City Council,2015-04-02,1600532108,830.3,0,830.3,Swiis Fostercare Ltd,Children's Services,Payts to Agencies
Salford City Council,2015-04-02,1600532119,830.3,0,830.3,Swiis Fostercare Ltd,Children's Services,Payts to Agencies
Salford City Council,2015-04-02,1600531851,845.5,0,845.5,Swiis Fostercare Ltd,Children's Services,Payts to Agencies
Salford City Council,2015-04-02,1600531182,8668.92,1444.82,7224.1,Taylors Oak Park,Environment and Community Safety,Equipment Purchase
Salford City Council,2015-04-02,1600532808,770.4,128.4,642,The Training Company,Children's Services,Training
Salford City Council,2015-04-02,1600532075,14000,0,14000,Together Trust,"Community, Health & Social Care",Resid Care Home
Salford City Council,2015-04-02,601138891,505.51,84.25,421.26,Trinity Mirror Publishing Ltd,Sustainable Regeneration,Marketing/Publicity
Salford City Council,2015-04-02,1600531175,630,105,525,Trinity Mirror Publishing Ltd,Children's Services,Marketing/Publicity
Salford City Council,2015-04-02,6001762383,1405,0,1405,United Response,"Community, Health & Social Care",Supported Tenancies
Salford City Council,2015-04-02,1600531063,65044.93,10840.82,54204.11,Vinci Park Services Uk Ltd,Sustainable Regeneration,Contractors
Salford City Council,2015-04-02,1600531884,25167.68,4194.61,20973.07,Wigan Leisure & Culture,Environment and Community Safety,Contractors
Salford City Council,2015-04-02,2204013471,28072,0,28072,Sycamore Care,Community Health & Social Care,Resid Care Home
Salford City Council,2015-04-03,lnwdnlhqa,2017.17,0,2017.17,A Venning Ltd,Environment and Community Safety,delegated kitchen formula
Salford City Council,2015-04-03,xhtorhphg,678,113,565,Birtwistle Butcher,Environment and Community Safety,Food and refreshments
Salford City Council,2015-04-03,rlslifidb,616.15,71,545.15,Brake Bros Ltd,Environment and Community Safety,Food and refreshments
Salford City Council,2015-04-03,vbwsgtbpm,1104.85,11.23,1093.62,Creamline Dairies,Environment and Community Safety,Food and refreshments
Salford City Council,2015-04-03,ljvhzpwiy,1092.72,0,1092.72,Quayside Bakery,Environment and Community Safety,Food and refreshments
Salford City Council,2015-04-03,udjthvtus,942.04,0,942.04,Www.Paper.Co.Uk,Customer and Support Services,Stationery
Salford City Council,2015-04-07,1600531945,600,100,500,A&D Transport,"Community, Health & Social Care",Disability Equipment
Salford City Council,2015-04-07,1600532259,705.5,117.59,587.91,Alliance Disposables Ltd,Environment and Community Safety,Cleaning Materials
Salford City Council,2015-04-07,1600532074,792,132,660,Ashtead Plant Hire Company Ltd,Environment and Community Safety,Annual Vehicle Hire
Salford City Council,2015-04-07,601138938,6000,0,6000,Boothstown Village Hall Assoc,Capital Expenditure,Works & Building
Salford City Council,2015-04-07,1600533201,4447,0,4447,Broadoak Funeral Service,"Community, Health & Social Care",Funerals
Salford City Council,2015-04-07,1600533200,4473,0,4473,Broadoak Funeral Service,"Community, Health & Social Care",Funerals
Salford City Council,2015-04-07,601139080,912.33,0,912.33,C Owens Builders/Contractors,Sustainable Regeneration,Other Prof Fees
Salford City Council,2015-04-07,601139079,7428.95,0,7428.95,C Owens Builders/Contractors,Capital Expenditure,Improvement Grants
Salford City Council,2015-04-07,601139060,889.53,0,889.53,C Smithies Builders,Sustainable Regeneration,Other Prof Fees
Salford City Council,2015-04-07,601139052,853.44,0,853.44,C Smithies Builders,Sustainable Regeneration,Other Prof Fees
Salford City Council,2015-04-07,601139051,6949.44,0,6949.44,C Smithies Builders,Capital Expenditure,Improvement Grants
Salford City Council,2015-04-07,601139059,7501.53,0,7501.53,C Smithies Builders,Capital Expenditure,Improvement Grants
