Strgrpcc(T),Cipfsubj(T),Cipfsubs(T),TransNo,Seq,Period,Supplier ID(T),Amount,Updated
Communities & Environment,Supplies and Services,Comms & Computing,148017463,43,201507,O2 (UK) LTD,3.63,2015-10-29
Communities & Environment,Supplies and Services,Other Running Costs,43874226,5,201507,CITY OF SUNDERLAND,33.75,2015-10-23
Communities & Environment,Supplies and Services,Comms & Computing,148017081,43,201507,O2 (UK) LTD,3.63,2015-10-05
Communities & Environment,Supplies and Services,Comms & Computing,148017463,44,201507,O2 (UK) LTD,3.63,2015-10-29
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41131260,1,201507,CRYOSERVICE LTD,373.36,2015-10-08
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",43870024,0,201507,BRENNTAG UK LTD,677.36,2015-10-08
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41130698,1,201507,DE LAGE LANDEN LEASING LTD,2377.52,2015-10-22
Communities & Environment,Supplies and Services,"Printing, Stationery etc",43871327,0,201507,THE BIGGER SCENE LTD,2227.00,2015-10-20
Communities & Environment,Supplies and Services,Comms & Computing,148017081,44,201507,O2 (UK) LTD,3.62,2015-10-05
Communities & Environment,Supplies and Services,Comms & Computing,148017463,45,201507,O2 (UK) LTD,3.62,2015-10-29
Communities & Environment,Supplies and Services,Other Running Costs,43874226,7,201507,CITY OF SUNDERLAND,56.25,2015-10-23
Communities & Environment,Employees,Indirect Employee Expenses,148017131,1,201507,TYNE & WEAR PENSION FUND,2497.00,2015-10-08
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",43875000,0,201507,REYDON SPORTS,1675.00,2015-10-29
Communities & Environment,Supplies and Services,Comms & Computing,148017081,45,201507,O2 (UK) LTD,3.62,2015-10-05
Communities & Environment,Supplies and Services,Comms & Computing,148017463,46,201507,O2 (UK) LTD,3.62,2015-10-29
Communities & Environment,Supplies and Services,Other Running Costs,43874226,6,201507,CITY OF SUNDERLAND,56.25,2015-10-23
Communities & Environment,Supplies and Services,Comms & Computing,148017081,37,201507,O2 (UK) LTD,10.00,2015-10-05
Communities & Environment,Supplies and Services,Comms & Computing,148017463,38,201507,O2 (UK) LTD,23.95,2015-10-29
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",43871967,0,201507,STAGE ELECTRICS PARTNERSHIP LTD,1357.80,2015-10-15
Communities & Environment,Supplies and Services,"Licenses, Housing, Fees",41132680,0,201507,FULL BLOWN METALS,1533.40,2015-10-19
Communities & Environment,Supplies and Services,Comms & Computing,148017081,38,201507,O2 (UK) LTD,14.50,2015-10-05
Communities & Environment,Supplies and Services,Comms & Computing,148017463,39,201507,O2 (UK) LTD,14.50,2015-10-29
Communities & Environment,Supplies and Services,"Licenses, Housing, Fees",41132052,1,201507,REDACTED - Personal Information,900.00,2015-10-09
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",43871967,1,201507,STAGE ELECTRICS PARTNERSHIP LTD,666.40,2015-10-15
Communities & Environment,Supplies and Services,Other Running Costs,43871453,0,201507,GATESHEAD COLLEGE,360.00,2015-10-06
Communities & Environment,Supplies and Services,Other Running Costs,43873696,0,201507,NORTHUMBERLAND SCHOOLS' ATHLETIC ASSOCIATION,1000.00,2015-10-20
Communities & Environment,Premises,Security & Insurance,43873697,0,201507,PES SECURITY,3936.00,2015-10-20
Communities & Environment,Employees,Indirect Employee Expenses,148017151,1,201507,TYNE & WEAR PENSION FUND,68593.00,2015-10-09
Communities & Environment,Employees,Indirect Employee Expenses,148017177,1,201507,TYNE & WEAR PENSION FUND,49663.00,2015-10-12
Communities & Environment,Supplies and Services,Comms & Computing,148017081,46,201507,O2 (UK) LTD,30.23,2015-10-05
Communities & Environment,Supplies and Services,Comms & Computing,148017463,47,201507,O2 (UK) LTD,33.62,2015-10-29
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",43871442,0,201507,ALBERT ATKINSON SKIP HIRE & WASTE MANAGEMENT SERVI,2240.00,2015-10-06
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",43873475,0,201507,AV WORKS LTD,600.00,2015-10-19
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",43874700,0,201507,FAIRBAIRN MARQUEES,856.00,2015-10-29
Communities & Environment,Supplies and Services,"Licenses, Housing, Fees",41131722,1,201507,REDACTED - Personal Information,880.00,2015-10-09
Communities & Environment,Supplies and Services,"Licenses, Housing, Fees",41131723,1,201507,REDACTED - Personal Information,900.00,2015-10-09
Communities & Environment,Supplies and Services,"Licenses, Housing, Fees",41131750,1,201507,SPLINTERS WOODWORKS,900.00,2015-10-09
Communities & Environment,Supplies and Services,"Licenses, Housing, Fees",41131985,1,201507,REDACTED - Personal Information,950.00,2015-10-09
Communities & Environment,Supplies and Services,"Licenses, Housing, Fees",41132057,1,201507,REDACTED - Personal Information,865.00,2015-10-09
Communities & Environment,Supplies and Services,"Licenses, Housing, Fees",41132059,1,201507,REDACTED - Personal Information,900.00,2015-10-09
Communities & Environment,Supplies and Services,"Licenses, Housing, Fees",41132068,1,201507,KENTUCKY COW TIPPERS,430.00,2015-10-09
Communities & Environment,Supplies and Services,"Licenses, Housing, Fees",41132778,1,201507,MUDDY FINGERS POTTERY,600.00,2015-10-15
Communities & Environment,Supplies and Services,"Licenses, Housing, Fees",41132781,1,201507,W L PIERCE T/A SELF EXPLODING ARTS,874.00,2015-10-15
Communities & Environment,Supplies and Services,"Licenses, Housing, Fees",43871835,0,201507,BRITISH RED CROSS SOCIETY,1275.00,2015-10-07
Communities & Environment,Supplies and Services,Other Running Costs,43871925,0,201507,NEWCASTLE & GATESHEAD INITIATIVE,60000.00,2015-10-08
Communities & Environment,Supplies and Services,"Grants, Contribs & Subs",41131070,0,201507,BLAYDON BUZZERS,440.00,2015-10-19
Communities & Environment,Supplies and Services,Comms & Computing,148017081,47,201507,O2 (UK) LTD,117.00,2015-10-05
Communities & Environment,Supplies and Services,Comms & Computing,148017463,48,201507,O2 (UK) LTD,111.60,2015-10-29
Communities & Environment,Supplies and Services,Comms & Computing,148017081,48,201507,O2 (UK) LTD,230.00,2015-10-05
Communities & Environment,Supplies and Services,Comms & Computing,148017463,49,201507,O2 (UK) LTD,230.00,2015-10-29
Communities & Environment,Supplies and Services,Comms & Computing,148017081,49,201507,O2 (UK) LTD,35.32,2015-10-05
Communities & Environment,Supplies and Services,Comms & Computing,148017463,50,201507,O2 (UK) LTD,47.56,2015-10-29
Communities & Environment,Supplies and Services,Comms & Computing,148017081,50,201507,O2 (UK) LTD,235.00,2015-10-05
Communities & Environment,Supplies and Services,Comms & Computing,148017463,51,201507,O2 (UK) LTD,203.30,2015-10-29
Communities & Environment,Transport,Public Transport and Taxi Fares,148017393,4,201507,CLICK TRAVEL LTD,55.86,2015-10-26
Communities & Environment,Transport,Public Transport and Taxi Fares,148017393,43,201507,CLICK TRAVEL LTD,0.26,2015-10-26
Communities & Environment,Supplies and Services,Comms & Computing,148017081,51,201507,O2 (UK) LTD,59.57,2015-10-05
Communities & Environment,Supplies and Services,Comms & Computing,148017463,52,201507,O2 (UK) LTD,60.77,2015-10-29
Communities & Environment,Transport,Public Transport and Taxi Fares,148017188,13,201507,CLICK TRAVEL LTD,49.23,2015-10-13
Communities & Environment,Transport,Public Transport and Taxi Fares,148017188,16,201507,CLICK TRAVEL LTD,96.96,2015-10-13
Communities & Environment,Transport,Public Transport and Taxi Fares,148017188,27,201507,CLICK TRAVEL LTD,1.60,2015-10-13
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41134334,5,201507,CANON (UK) LTD,69.81,2015-10-29
Communities & Environment,Supplies and Services,"Licenses, Housing, Fees",147022002,1,201507,TV LICENSING,145.50,2015-10-08
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41134334,7,201507,CANON (UK) LTD,27.20,2015-10-29
Communities & Environment,Supplies and Services,"Licenses, Housing, Fees",147022002,2,201507,TV LICENSING,145.50,2015-10-08
Communities & Environment,Employees,Indirect Employee Expenses,43872739,1,201507,FLEX E VOUCHERS RE METROCENTRE,250.00,2015-10-14
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41134334,12,201507,CANON (UK) LTD,655.48,2015-10-29
Communities & Environment,Supplies and Services,"Licenses, Housing, Fees",147022002,3,201507,TV LICENSING,145.50,2015-10-08
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41134334,9,201507,CANON (UK) LTD,4.54,2015-10-29
Communities & Environment,Supplies and Services,"Licenses, Housing, Fees",147022002,4,201507,TV LICENSING,145.50,2015-10-08
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41134334,3,201507,CANON (UK) LTD,33.55,2015-10-29
Communities & Environment,Supplies and Services,"Licenses, Housing, Fees",147022002,5,201507,TV LICENSING,145.50,2015-10-08
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41134334,13,201507,CANON (UK) LTD,21.37,2015-10-29
Communities & Environment,Supplies and Services,"Licenses, Housing, Fees",147022002,6,201507,TV LICENSING,145.50,2015-10-08
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41134334,2,201507,CANON (UK) LTD,32.25,2015-10-29
Communities & Environment,Supplies and Services,"Licenses, Housing, Fees",147022002,7,201507,TV LICENSING,145.50,2015-10-08
Communities & Environment,Supplies and Services,"Licenses, Housing, Fees",147022002,8,201507,TV LICENSING,145.50,2015-10-08
Communities & Environment,Supplies and Services,"Licenses, Housing, Fees",147022002,9,201507,TV LICENSING,145.50,2015-10-08
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41134334,6,201507,CANON (UK) LTD,59.07,2015-10-29
Communities & Environment,Supplies and Services,"Licenses, Housing, Fees",147022002,10,201507,TV LICENSING,145.50,2015-10-08
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41134334,11,201507,CANON (UK) LTD,37.96,2015-10-29
Communities & Environment,Supplies and Services,"Licenses, Housing, Fees",147022002,11,201507,TV LICENSING,145.50,2015-10-08
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41134334,8,201507,CANON (UK) LTD,48.89,2015-10-29
Communities & Environment,Supplies and Services,"Licenses, Housing, Fees",147022002,12,201507,TV LICENSING,145.50,2015-10-08
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41134334,10,201507,CANON (UK) LTD,4.60,2015-10-29
Communities & Environment,Supplies and Services,Comms & Computing,41131276,1,201507,VIRGIN MEDIA PAYMENTS LTD,3228.34,2015-10-07
Communities & Environment,Supplies and Services,Comms & Computing,41131276,2,201507,VIRGIN MEDIA PAYMENTS LTD,2690.28,2015-10-07
Communities & Environment,Supplies and Services,"Licenses, Housing, Fees",147022002,13,201507,TV LICENSING,145.50,2015-10-08
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41134334,14,201507,CANON (UK) LTD,28.37,2015-10-29
Communities & Environment,Supplies and Services,"Licenses, Housing, Fees",147022002,14,201507,TV LICENSING,145.50,2015-10-08
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41134334,4,201507,CANON (UK) LTD,20.68,2015-10-29
Communities & Environment,Supplies and Services,"Licenses, Housing, Fees",147022002,15,201507,TV LICENSING,145.50,2015-10-08
Communities & Environment,Supplies and Services,Comms & Computing,148017081,33,201507,O2 (UK) LTD,3.61,2015-10-05
Communities & Environment,Supplies and Services,Comms & Computing,148017463,34,201507,O2 (UK) LTD,10.07,2015-10-29
Communities & Environment,Supplies and Services,"Licenses, Housing, Fees",147022002,16,201507,TV LICENSING,145.50,2015-10-08
Communities & Environment,Employees,Indirect Employee Expenses,148017150,1,201507,TYNE & WEAR PENSION FUND,52603.00,2015-10-09
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41134334,1,201507,CANON (UK) LTD,24.09,2015-10-29
Communities & Environment,Supplies and Services,"Printing, Stationery etc",43875111,0,201507,WHICH?,500.40,2015-10-29
Communities & Environment,Supplies and Services,"Licenses, Housing, Fees",147022002,17,201507,TV LICENSING,145.50,2015-10-08
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41132340,1,201507,MAGNA LARGE PRINT,713.44,2015-10-13
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41132342,1,201507,ASKEWS LIBRARY SERVICES LTD,3103.42,2015-10-13
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",43872095,0,201507,ULVERSCROFT LARGE PRINT BOOKS,575.78,2015-10-14
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",43872195,0,201507,ASKEWS LIBRARY SERVICES LTD,3488.77,2015-10-14
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",43872196,0,201507,ASKEWS LIBRARY SERVICES LTD,4038.52,2015-10-14
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",43872198,0,201507,ASKEWS LIBRARY SERVICES LTD,3050.15,2015-10-14
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",43872478,0,201507,WF HOWES LTD,374.40,2015-10-14
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",43872479,0,201507,WF HOWES LTD,440.80,2015-10-14
Communities & Environment,Transport,Public Transport and Taxi Fares,148017393,33,201507,CLICK TRAVEL LTD,99.79,2015-10-26
Communities & Environment,Transport,Public Transport and Taxi Fares,148017393,42,201507,CLICK TRAVEL LTD,0.46,2015-10-26
Communities & Environment,Transport,Public Transport and Taxi Fares,148017469,16,201507,CLICK TRAVEL LTD,380.76,2015-10-30
Communities & Environment,Transport,Public Transport and Taxi Fares,148017469,34,201507,CLICK TRAVEL LTD,1.59,2015-10-30
Communities & Environment,Supplies and Services,Comms & Computing,148017081,34,201507,O2 (UK) LTD,14.75,2015-10-05
Communities & Environment,Supplies and Services,Comms & Computing,148017463,35,201507,O2 (UK) LTD,9.10,2015-10-29
Communities & Environment,Supplies and Services,Comms & Computing,147022635,1,201507,ROYAL MAIL,982.80,2015-10-29
Communities & Environment,Supplies and Services,Comms & Computing,148017081,35,201507,O2 (UK) LTD,22.48,2015-10-05
Communities & Environment,Supplies and Services,Comms & Computing,148017463,36,201507,O2 (UK) LTD,23.90,2015-10-29
Communities & Environment,Supplies and Services,Comms & Computing,43870880,0,201507,CAPITA BUSINESS SERVICES LTD,24103.94,2015-10-01
Communities & Environment,Supplies and Services,Comms & Computing,43875097,0,201507,CAPITA BUSINESS SERVICES LTD,500.00,2015-10-29
Communities & Environment,Supplies and Services,Comms & Computing,148017081,36,201507,O2 (UK) LTD,10.00,2015-10-05
Communities & Environment,Supplies and Services,Comms & Computing,148017463,37,201507,O2 (UK) LTD,10.00,2015-10-29
Communities & Environment,Supplies and Services,"Printing, Stationery etc",43872009,0,201507,MYWORKSEARCH,2700.00,2015-10-08
Communities & Environment,Supplies and Services,"Printing, Stationery etc",43875096,0,201507,SELECT MUSIC & VIDEO DISTRIBUTION LTD,959.00,2015-10-29
Communities & Environment,Supplies and Services,"Licenses, Housing, Fees",43875095,0,201507,MAKERSPACE LTD,450.00,2015-10-29
Communities & Environment,Third Party Payments,Third Party Payments,41133961,1,201507,NORTH MUSIC TRUST,77862.50,2015-10-27
Communities & Environment,Third Party Payments,Third Party Payments,41133962,1,201507,NORTH MUSIC TRUST,25466.75,2015-10-27
Communities & Environment,Supplies and Services,Comms & Computing,148017081,136,201507,O2 (UK) LTD,161.50,2015-10-05
Communities & Environment,Supplies and Services,Comms & Computing,148017463,142,201507,O2 (UK) LTD,138.34,2015-10-29
Communities & Environment,Supplies and Services,Comms & Computing,148017463,143,201507,O2 (UK) LTD,126.00,2015-10-29
Communities & Environment,Third Party Payments,Third Party Payments,41131551,1,201507,GVOC,28050.00,2015-10-05
Communities & Environment,Third Party Payments,Third Party Payments,41131552,1,201507,GVOC,20463.50,2015-10-05
Communities & Environment,Transport,Car Allowances,148017328,45,201507,COMMONWHEELS CARCLUB CIC,1151.43,2015-10-20
Communities & Environment,Supplies and Services,"Printing, Stationery etc",148017147,9,201507,ROYAL MAIL,276.24,2015-10-09
Communities & Environment,Supplies and Services,"Printing, Stationery etc",148017290,9,201507,ROYAL MAIL,102.59,2015-10-16
Communities & Environment,Supplies and Services,"Printing, Stationery etc",148017457,9,201507,ROYAL MAIL,185.34,2015-10-29
Communities & Environment,Supplies and Services,"Printing, Stationery etc",148017458,9,201507,ROYAL MAIL,136.53,2015-10-29
Communities & Environment,Supplies and Services,Comms & Computing,148017081,230,201507,O2 (UK) LTD,10.00,2015-10-05
Communities & Environment,Supplies and Services,Comms & Computing,148017463,241,201507,O2 (UK) LTD,10.00,2015-10-29
Communities & Environment,Transport,Public Transport and Taxi Fares,148017393,23,201507,CLICK TRAVEL LTD,87.53,2015-10-26
Communities & Environment,Transport,Public Transport and Taxi Fares,148017393,60,201507,CLICK TRAVEL LTD,0.48,2015-10-26
Communities & Environment,Supplies and Services,Comms & Computing,148017081,245,201507,O2 (UK) LTD,49.00,2015-10-05
Communities & Environment,Supplies and Services,Comms & Computing,148017463,256,201507,O2 (UK) LTD,59.00,2015-10-29
Communities & Environment,Third Party Payments,Third Party Payments,41131733,1,201507,SITA SOUTH TYNE AND & WEAR LIMITED,408204.00,2015-10-13
Communities & Environment,Third Party Payments,Third Party Payments,41132481,1,201507,SITA SOUTH TYNE AND & WEAR LIMITED,2032515.00,2015-10-13
Communities & Environment,Third Party Payments,Third Party Payments,41132576,1,201507,SITA SOUTH TYNE AND & WEAR LIMITED,2032515.00,2015-10-14
Communities & Environment,Third Party Payments,Third Party Payments,43873652,0,201507,SITA SOUTH TYNE AND & WEAR LIMITED,2032515.00,2015-10-20
Communities & Environment,Income: Government Grants,Govt Grants,147021879,1,201507,SOUTH TYNESIDE MBC,451152.74,2015-10-01
Communities & Environment,Income: Government Grants,Govt Grants,147021880,1,201507,CITY OF SUNDERLAND,451152.74,2015-10-01
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41129785,1,201507,RIXONWAY KITCHENS LTD,499.54,2015-10-26
Communities & Environment,Supplies and Services,Other Running Costs,43869158,0,201507,ALL FLOORS (SERVICES) LTD,1315.00,2015-10-12
Communities & Environment,Third Party Payments,Third Party Payments,43870309,1,201507,GIBSON HARRIS LTD,452.00,2015-10-20
Communities & Environment,Third Party Payments,Third Party Payments,43870309,2,201507,GIBSON HARRIS LTD,1134.00,2015-10-20
Communities & Environment,Supplies and Services,Other Running Costs,147022434,1,201507,MGM LTD,10538.15,2015-10-23
Communities & Environment,Third Party Payments,Third Party Payments,43871737,1,201507,GIBSON HARRIS LTD,238.00,2015-10-19
Communities & Environment,Third Party Payments,Third Party Payments,43871737,2,201507,GIBSON HARRIS LTD,717.50,2015-10-19
Communities & Environment,Supplies and Services,Other Running Costs,41127465,1,201507,META   LTD,467.00,2015-10-05
Communities & Environment,Supplies and Services,Other Running Costs,41132097,1,201507,META   LTD,1110.00,2015-10-26
Communities & Environment,Supplies and Services,Other Running Costs,147022292,1,201507,ALL FLOORS (SERVICES) LTD,350.00,2015-10-21
Communities & Environment,Supplies and Services,Other Running Costs,147022302,1,201507,ALL FLOORS (SERVICES) LTD,870.00,2015-10-21
Communities & Environment,Supplies and Services,Other Running Costs,43871966,1,201507,MCVICKERS  LIMITED,935.00,2015-10-26
Communities & Environment,Supplies and Services,Other Running Costs,147022286,1,201507,ALL FLOORS (SERVICES) LTD,682.50,2015-10-21
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41129786,1,201507,RIXONWAY KITCHENS LTD,544.09,2015-10-26
Communities & Environment,Supplies and Services,Other Running Costs,147022281,1,201507,ALL FLOORS (SERVICES) LTD,2091.00,2015-10-21
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41129804,1,201507,RIXONWAY KITCHENS LTD,497.04,2015-10-26
Communities & Environment,Supplies and Services,Other Running Costs,43861940,0,201507,META   LTD,680.00,2015-10-29
Communities & Environment,Supplies and Services,Other Running Costs,43874320,0,201507,META   LTD,786.00,2015-10-29
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",43866406,0,201507,ARNDALE GROUP OF COMPANIES,863.75,2015-10-29
Communities & Environment,Supplies and Services,Other Running Costs,43870802,0,201507,ALL FLOORS (SERVICES) LTD,1080.00,2015-10-01
Communities & Environment,Transport,Contract Hire,41131607,1,201507,WERNICK HIRE LTD,642.86,2015-10-07
Communities & Environment,Transport,Contract Hire,41131611,1,201507,WERNICK HIRE LTD,642.86,2015-10-07
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",43855898,0,201507,ARNDALE GROUP OF COMPANIES,457.50,2015-10-28
Communities & Environment,Supplies and Services,Other Running Costs,147022428,1,201507,ANGLIAN WINDOWS LTD,64018.36,2015-10-23
Communities & Environment,Supplies and Services,Other Running Costs,41129784,1,201507,META   LTD,820.00,2015-10-27
Communities & Environment,Supplies and Services,Other Running Costs,147021983,1,201507,ALL FLOORS (SERVICES) LTD,455.00,2015-10-09
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",43870323,0,201507,NEWEY & EYRE LTD,823.10,2015-10-05
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",43870737,0,201507,NEWEY & EYRE LTD,602.28,2015-10-05
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",43871708,0,201507,NEWEY & EYRE LTD,387.23,2015-10-19
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",43872890,0,201507,NEWEY & EYRE LTD,792.27,2015-10-14
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",43872891,0,201507,NEWEY & EYRE LTD,1826.21,2015-10-14
Communities & Environment,Employees,Agency Staff,60091136,5,201507,DE POEL MANAGED SERVICES LIMITED,593.30,2015-10-06
Communities & Environment,Employees,Agency Staff,60091136,12,201507,DE POEL MANAGED SERVICES LIMITED,643.43,2015-10-06
Communities & Environment,Employees,Agency Staff,60091137,33,201507,DE POEL MANAGED SERVICES LIMITED,530.40,2015-10-13
Communities & Environment,Employees,Agency Staff,60091138,32,201507,DE POEL MANAGED SERVICES LIMITED,643.43,2015-10-20
Communities & Environment,Employees,Agency Staff,60091139,19,201507,DE POEL MANAGED SERVICES LIMITED,643.43,2015-10-28
Communities & Environment,Employees,Indirect Employee Expenses,148017130,1,201507,TYNE & WEAR PENSION FUND,12185.00,2015-10-08
Communities & Environment,Transport,Contract Hire,43871384,0,201507,WERNICK HIRE LTD,367.86,2015-10-07
