Strgrp(T),Cipfsubj(T),Cipfsubs(T),TransNo,Seq No,Period,Supplier id(T),Amount,Updated
Central Services,Supplies and Services,"Furn, Equip & Mats",43722375,2,201211,ANTALIS LTD,475.2,2013-02-20
Central Services,Supplies and Services,"Furn, Equip & Mats",43722376,2,201211,ANTALIS LTD,1111.75,2013-02-20
Central Services,Supplies and Services,"Furn, Equip & Mats",43722379,2,201211,ANTALIS LTD,589,2013-02-20
Central Services,Supplies and Services,Comms & Computing,43722412,2,201211,VERY PC LTD,5584.00,2013-02-20
Central Services,Supplies and Services,Comms & Computing,43722416,2,201211,ALARM & COMMUNICATION SYSTEMS,350,2013-02-20
Central Services,Purchase of Equipment,,43722568,2,201211,INSIGHT DIRECT UK LTD,1115.64,2013-02-22
Central Services,Supplies and Services,Comms & Computing,43722570,2,201211,INSIGHT DIRECT UK LTD,371.88,2013-02-22
Central Services,Supplies and Services,Miscellaneous Supplies,43722583,2,201211,SUPPLIES TEAM LTD,684.76,2013-02-22
Central Services,Supplies and Services,Comms & Computing,43722629,2,201211,PROBRAND LTD,827.3,2013-02-22
Central Services,Supplies and Services,Comms & Computing,43722631,3,201211,PHOENIX SOFTWARE LTD,493.08,2013-02-22
Central Services,Supplies and Services,Comms & Computing,43722631,4,201211,PHOENIX SOFTWARE LTD,493.07,2013-02-22
Central Services,Purchase of Equipment,,43722634,2,201211,VIRGIN MEDIA BUSINESS,800,2013-02-22
Central Services,Supplies and Services,"Printing, Stationery etc",43722731,2,201211,SPRINT FINISH LTD,882.5,2013-02-25
Central Services,Supplies and Services,"Printing, Stationery etc",43722732,2,201211,MV PRINT LTD,2500.00,2013-02-25
Central Services,Supplies and Services,Miscellaneous Supplies,43722735,2,201211,NORTH MUSIC TRUST,1056.00,2013-02-25
Central Services,Supplies and Services,"Furn, Equip & Mats",43722740,2,201211,ANTALIS LTD,1899.99,2013-02-25
Central Services,Supplies and Services,"Furn, Equip & Mats",43722742,2,201211,ANTALIS LTD,1692.08,2013-02-25
Central Services,Supplies and Services,"Printing, Stationery etc",43722763,2,201211,MV PRINT LTD,490,2013-02-26
Central Services,Supplies and Services,Comms & Computing,43722975,2,201211,CAPITA BUSINESS SERVICES LTD,4935.24,2013-02-26
Central Services,Supplies and Services,Comms & Computing,43722976,3,201211,CAPITA BUSINESS SERVICES LTD,1075.00,2013-02-26
Central Services,Supplies and Services,Miscellaneous Supplies,43722976,4,201211,CAPITA BUSINESS SERVICES LTD,375,2013-02-26
Central Services,Supplies and Services,"Licenses, Housing, Fees",43723141,2,201211,LOCAL GOVERNMENT ASSOC.,453.87,2013-02-27
Central Services,Supplies and Services,"Furn, Equip & Mats",43723142,2,201211,APEX DIGITAL GRAPHICS LTD,682.95,2013-02-27
Central Services,Consultants,,43723196,2,201211,UNIT4 BUSINESS SOFTWARE LTD,1275.00,2013-02-27
Central Services,Consultants,,43723197,2,201211,UNIT4 BUSINESS SOFTWARE LTD,1275.00,2013-02-27
Central Services,Consultants,,43723198,2,201211,UNIT4 BUSINESS SOFTWARE LTD,9700.00,2013-02-27
Central Services,Consultants,,43723199,2,201211,UNIT4 BUSINESS SOFTWARE LTD,14625.00,2013-02-27
Central Services,Consultants,,43723201,2,201211,UNIT4 BUSINESS SOFTWARE LTD,11250.00,2013-02-27
Central Services,Supplies and Services,Comms & Computing,43723503,2,201211,RED GATE SOFTWARE LTD,2696.90,2013-02-28
Central Services,Supplies and Services,Other Running Costs,43723621,2,201211,MARTIN RANKIN FUNERAL DIRECTORS LTD,890,2013-02-28
Central Services,Employees,Agency Staff,60091183,0,201211,COMENSURA LTD,1065.71,2013-02-06
Central Services,Employees,Agency Staff,60091184,8,201211,COMENSURA LTD,990.66,2013-02-13
Central Services,Employees,Agency Staff,60091185,8,201211,COMENSURA LTD,788.03,2013-02-20
Central Services,Employees,Agency Staff,60091186,10,201211,COMENSURA LTD,742.99,2013-02-27
Central Services,Purchase of Equipment,,73119031,3,201211,INSIGHT DIRECT UK LTD,72716.00,2013-02-05
