Strategic Group,Spend Level 1,Spend Level 2,TransNo,Seq no,Period,Supplier Text,Amount,Updated
Central Services,Employees,Agency Staff,60091076,42,201010,COMENSURA LTD,479.33,2011-01-19
Central Services,Employees,Agency Staff,60091077,63,201010,COMENSURA LTD,544.64,2011-01-26
Central Services,Employees,Agency Staff,60091077,2,201010,COMENSURA LTD,749.97,2011-01-26
Central Services,Employees,Agency Staff,60091077,35,201010,COMENSURA LTD,596.44,2011-01-26
Central Services,Employees,Agency Staff,60091077,66,201010,COMENSURA LTD,759.56,2011-01-26
Central Services,Employees,Agency Staff,60091077,22,201010,COMENSURA LTD,1005.66,2011-01-26
Central Services,Employees,Agency Staff,60091077,57,201010,COMENSURA LTD,482.45,2011-01-26
Central Services,Employees,Agency Staff,60091077,68,201010,COMENSURA LTD,31.48,2011-01-26
Central Services,Employees,Indirect Employee Expenses,43604130,2,201010,COMMERCIAL SKILLS LTD,4000,2011-01-14
Central Services,Supplies and Services,Comms & Computing,43604928,2,201010,COMPUTERLAND UK PLC,1881,2011-01-20
Central Services,Supplies and Services,Comms & Computing,43604948,2,201010,COMPUTERLAND UK PLC,470.25,2011-01-20
Central Services,Supplies and Services,Comms & Computing,43605117,2,201010,COMTECH TELECOMMUNICATIONS LTD,544.1,2011-01-24
Central Services,Supplies and Services,"Licenses, Housing, Fees",43603212,14,201010,CRIMINAL RECORDS BUREAU,36,2011-01-12
Central Services,Supplies and Services,"Licenses, Housing, Fees",43603212,13,201010,CRIMINAL RECORDS BUREAU,108,2011-01-12
Central Services,Supplies and Services,Comms & Computing,43602334,2,201010,DELL COMPUTER CORPORATION LTD,1283.8,2011-01-07
Central Services,Supplies and Services,Comms & Computing,43602336,2,201010,DELL COMPUTER CORPORATION LTD,507.6,2011-01-07
Central Services,Purchase of Equipment,,43604241,2,201010,DELL COMPUTER CORPORATION LTD,748.08,2011-01-17
Central Services,Purchase of Equipment,,43604244,2,201010,DELL COMPUTER CORPORATION LTD,762.08,2011-01-17
Central Services,Supplies and Services,Comms & Computing,43604950,2,201010,DELL COMPUTER CORPORATION LTD,1746.36,2011-01-20
Central Services,Supplies and Services,Comms & Computing,43605004,2,201010,DELL COMPUTER CORPORATION LTD,368.76,2011-01-20
Central Services,Supplies and Services,Comms & Computing,43605012,2,201010,DELL COMPUTER CORPORATION LTD,1408.26,2011-01-20
Central Services,Supplies and Services,Comms & Computing,43606272,2,201010,DELL COMPUTER CORPORATION LTD,1320,2011-01-31
Central Services,Supplies and Services,"Grants, Contribs & Subs",43604961,2,201010,DLA PIPER UK LLP,995,2011-01-19
Central Services,Supplies and Services,"Grants, Contribs & Subs",43603435,2,201010,E-BOX LTD,429.52,2011-01-14
Central Services,Supplies and Services,Comms & Computing,43606509,2,201010,ECS,2775.42,2011-01-28
Central Services,Supplies and Services,"Licenses, Housing, Fees",42204307,2,201010,FENWICK ELLIOTT SOLICITORS,357.5,2011-01-26
Central Services,Supplies and Services,"Licenses, Housing, Fees",43605250,2,201010,FIRSTASSIST SERVICES LIMITED,1026,2011-01-21
Central Services,Supplies and Services,"Licenses, Housing, Fees",43605198,1,201010,FRED HARVEY ASSOCIATES,1500,2011-01-21
Central Services,Supplies and Services,Miscellaneous Supplies,43604738,2,201010,GARDINER RICHARDSON LTD,1925,2011-01-19
Central Services,Supplies and Services,"Licenses, Housing, Fees",42202573,2,201010,GATESHEAD COLLEGE,1750,2011-01-20
Central Services,Supplies and Services,Miscellaneous Supplies,43601851,2,201010,GATESHEAD COLLEGE,577,2011-01-04
Central Services,Supplies and Services,"Licenses, Housing, Fees",43603981,2,201010,GATESHEAD COLLEGE,990,2011-01-14
Central Services,Supplies and Services,"Licenses, Housing, Fees",43603981,3,201010,GATESHEAD COLLEGE,495,2011-01-14
Central Services,Supplies and Services,"Licenses, Housing, Fees",43603979,2,201010,GATESHEAD HEALTH NHS TRUST,500,2011-01-14
Central Services,Supplies and Services,"Furn, Equip & Mats",42201855,2,201010,HIGHFIELD AWARDING BODY FOR COMPLIANCE LTD,1700,2011-01-18
Central Services,Supplies and Services,"Furn, Equip & Mats",42201854,3,201010,HIGHFIELD CO UK LTD,195,2011-01-18
Central Services,Supplies and Services,"Furn, Equip & Mats",42201854,4,201010,HIGHFIELD CO UK LTD,375,2011-01-18
Central Services,Supplies and Services,"Printing, Stationery etc",43601951,15,201010,HOGG NEWS,624.19,2011-01-06
Central Services,Supplies and Services,"Printing, Stationery etc",43601951,16,201010,HOGG NEWS,135.49,2011-01-06
Central Services,Supplies and Services,"Printing, Stationery etc",43601951,17,201010,HOGG NEWS,209.64,2011-01-06
Central Services,Supplies and Services,"Printing, Stationery etc",43601951,19,201010,HOGG NEWS,47.78,2011-01-06
Central Services,Supplies and Services,"Printing, Stationery etc",43601951,13,201010,HOGG NEWS,5.51,2011-01-06
Central Services,Supplies and Services,"Printing, Stationery etc",43601951,14,201010,HOGG NEWS,10,2011-01-06
Central Services,Supplies and Services,Miscellaneous Supplies,43601849,2,201010,I2I PHOTOGRAPHY,366.2,2011-01-04
Central Services,Supplies and Services,Miscellaneous Supplies,43604404,2,201010,JB SKILLCARE LTD,360,2011-01-18
Central Services,Works,,42199539,2,201010,JOE ROONEY LTD,476,2011-01-10
Central Services,Supplies and Services,"Licenses, Housing, Fees",42205602,2,201010,JOHN GALLAGHER CLIENT ACCOUNT RE SHELTER,5200,2011-01-28
Central Services,Supplies and Services,Miscellaneous Supplies,43606190,2,201010,KONG MEDIA LTD,1500,2011-01-27
Central Services,Supplies and Services,Miscellaneous Supplies,43604035,2,201010,LANGUAGE LINE SERVICES,718.15,2011-01-14
Central Services,Supplies and Services,Miscellaneous Supplies,43604048,2,201010,LANGUAGE LINE SERVICES,718.15,2011-01-14
Central Services,Supplies and Services,Miscellaneous Supplies,43604060,2,201010,LANGUAGE LINE SERVICES,595.75,2011-01-14
Central Services,Supplies and Services,Comms & Computing,43601331,2,201010,LANWAY CBS LTD,12726.43,2011-01-04
Central Services,Supplies and Services,Comms & Computing,43601336,2,201010,LANWAY CBS LTD,992,2011-01-05
Central Services,Supplies and Services,Comms & Computing,43601337,2,201010,LANWAY CBS LTD,1178,2011-01-05
Central Services,Supplies and Services,Comms & Computing,42202444,2,201010,LEXIS NEXIS UK,23133.41,2011-01-19
Central Services,Supplies and Services,Comms & Computing,42205958,2,201010,LEXIS NEXIS UK,19688,2011-01-31
Central Services,Comms & Computing,Comms & Computing,73108859,2,201010,LEXIS NEXIS UK,23133.41,2011-01-31
Central Services,Supplies and Services,Miscellaneous Supplies,43603460,2,201010,LRQA LTD,2419.26,2011-01-12
Central Services,Supplies and Services,"Licenses, Housing, Fees",43602286,2,201010,NCJ MEDIA LTD,849.6,2011-01-06
Central Services,Supplies and Services,"Licenses, Housing, Fees",43602287,2,201010,NCJ MEDIA LTD,849.6,2011-01-06
Central Services,Employees,Indirect Employee Expenses,43606192,2,201010,NCJ MEDIA LTD,440,2011-01-27
Central Services,Works,,42199249,2,201010,NEDL,471,2011-01-07
Central Services,Works,,42202615,2,201010,NEDL,380.06,2011-01-21
Central Services,Works,,42202679,2,201010,NEDL,380.06,2011-01-21
Central Services,Third Party Payments,Third Party Payments,42201625,3,201010,NEWCASTLE & GATESHEAD INITIATIVE,29930,2011-01-17
Central Services,Supplies and Services,Miscellaneous Supplies,42201625,4,201010,NEWCASTLE & GATESHEAD INITIATIVE,7500,2011-01-17
Central Services,Supplies and Services,Miscellaneous Supplies,42201625,5,201010,NEWCASTLE & GATESHEAD INITIATIVE,7500,2011-01-17
Central Services,Supplies and Services,"Licenses, Housing, Fees",42200197,1,201010,NORTHERN CARE TRAINING LTD,937.5,2011-01-12
Central Services,Supplies and Services,"Licenses, Housing, Fees",42201090,2,201010,NORTHERN CARE TRAINING LTD,685,2011-01-14
Central Services,Supplies and Services,"Licenses, Housing, Fees",42202574,2,201010,NORTHERN CARE TRAINING LTD,562.5,2011-01-20
Central Services,Supplies and Services,"Licenses, Housing, Fees",42198745,2,201010,NORTHUMBRIA UNIVERSITY,5574.99,2011-01-05
Central Services,Supplies and Services,"Licenses, Housing, Fees",42200178,1,201010,NORTHUMBRIA UNIVERSITY,2285,2011-01-12
Central Services,Employees,Indirect Employee Expenses,42205076,2,201010,NORTHUMBRIA UNIVERSITY,1230,2011-01-27
Central Services,Works,,42201637,2,201010,NORTHUMBRIAN WATER,370,2011-01-18
Central Services,Supplies and Services,Comms & Computing,42197943,2,201010,O2 (UK) LTD,489.53,2011-01-04
Central Services,Supplies and Services,"Furn, Equip & Mats",43602599,2,201010,OCE FINANCE,2400,2011-01-07
Central Services,Supplies and Services,"Furn, Equip & Mats",43603880,2,201010,OCE FINANCE,593.04,2011-01-13
Central Services,Supplies and Services,"Furn, Equip & Mats",43603861,2,201010,OCE IMAGISTICS (UK) LTD,357.84,2011-01-13
Central Services,Supplies and Services,"Furn, Equip & Mats",43603862,2,201010,OCE IMAGISTICS (UK) LTD,16368.54,2011-01-13
Central Services,Income: Customer and Client Receipts,Customer & Client Receipts,42197941,2,201010,OFFICE OF THE IMMIGRATION SERVICES COMMISSIONER,555,2011-01-04
Central Services,Supplies and Services,Comms & Computing,42199526,2,201010,OLM SYSTEMS LTD,388.36,2011-01-10
Central Services,Supplies and Services,"Printing, Stationery etc",43602592,2,201010,PENNYPRINT,498,2011-01-07
Central Services,Supplies and Services,"Furn, Equip & Mats",43602733,2,201010,PERFECT COLOURS,505,2011-01-07
Central Services,Supplies and Services,Comms & Computing,42200405,2,201010,PILLAR SOFTWARE LTD,955,2011-01-12
Central Services,Supplies and Services,"Furn, Equip & Mats",42203814,2,201010,PITNEY BOWES LTD,1885.29,2011-01-25
Central Services,Supplies and Services,Miscellaneous Supplies,43605627,2,201010,PITNEY BOWES LTD,567.5,2011-01-25
Central Services,Supplies and Services,"Printing, Stationery etc",43603811,2,201010,PLASTIC & METAL PROFILES LTD,1393.87,2011-01-13
Central Services,Supplies and Services,"Licenses, Housing, Fees",43603946,2,201010,PMA INTERNATIONAL LTD,4761.2,2011-01-14
Central Services,Supplies and Services,Comms & Computing,42200850,3,201010,POSTAGE BY PHONE-PITNEY BOWES,4000,2011-01-13
Central Services,Supplies and Services,Comms & Computing,42200850,4,201010,POSTAGE BY PHONE-PITNEY BOWES,8,2011-01-13
Central Services,Supplies and Services,Comms & Computing,42201670,2,201010,POSTAGE BY PHONE-PITNEY BOWES,8000,2011-01-18
Central Services,Supplies and Services,Comms & Computing,43604240,2,201010,PRODUCT  EXPECTATIONS LIMITED,416.95,2011-01-17
Central Services,Works,,42202671,2,201010,PYEROY LTD,2120,2011-01-21
Central Services,Works,,42202675,2,201010,PYEROY LTD,850,2011-01-21
Central Services,Supplies and Services,"Licenses, Housing, Fees",43603953,2,201010,QA LTD,7981,2011-01-14
Central Services,Supplies and Services,"Furn, Equip & Mats",43606029,2,201010,R I B A ENTERPRISES LTD,476,2011-01-26
Central Services,Supplies and Services,"Licenses, Housing, Fees",42198756,2,201010,REDACTED - Personal Information,500,2011-01-05
Central Services,Supplies and Services,Comms & Computing,42199270,2,201010,REDACTED - Personal Information,467.83,2011-01-07
Central Services,Supplies and Services,Other Running Costs,43601875,2,201010,REDACTED - Personal Information,999,2011-01-05
Central Services,Supplies and Services,Other Running Costs,43601879,2,201010,REDACTED - Personal Information,795,2011-01-05
Central Services,Supplies and Services,Other Running Costs,43603184,2,201010,REDACTED - Personal Information,843,2011-01-12
Central Services,Employees,Agency Staff,42199382,2,201010,REED SPECIALIST RECRUITMENT,384.43,2011-01-11
Central Services,Employees,Agency Staff,42199383,2,201010,REED SPECIALIST RECRUITMENT,361.05,2011-01-11
Central Services,Employees,Agency Staff,42204259,2,201010,REED SPECIALIST RECRUITMENT,384.43,2011-01-26
Central Services,Supplies and Services,Miscellaneous Supplies,43602085,2,201010,REED SPECIALIST RECRUITMENT,371.7,2011-01-06
Central Services,Supplies and Services,Comms & Computing,42197917,12,201010,ROYAL MAIL,438.67,2011-01-04
Central Services,Supplies and Services,Comms & Computing,42197917,7,201010,ROYAL MAIL,198.62,2011-01-04
Central Services,Supplies and Services,Comms & Computing,42197917,8,201010,ROYAL MAIL,99,2011-01-04
Central Services,Supplies and Services,Comms & Computing,42197917,9,201010,ROYAL MAIL,211.99,2011-01-04
Central Services,Supplies and Services,Comms & Computing,42197917,11,201010,ROYAL MAIL,2825.78,2011-01-04
Central Services,Supplies and Services,Comms & Computing,42197917,10,201010,ROYAL MAIL,792.15,2011-01-04
Central Services,Supplies and Services,Comms & Computing,42199923,10,201010,ROYAL MAIL,243.97,2011-01-11
Central Services,Supplies and Services,Comms & Computing,42199923,6,201010,ROYAL MAIL,119.8,2011-01-11
Central Services,Supplies and Services,Comms & Computing,42199923,7,201010,ROYAL MAIL,11.86,2011-01-11
Central Services,Supplies and Services,Comms & Computing,42199923,9,201010,ROYAL MAIL,928.45,2011-01-11
Central Services,Supplies and Services,Comms & Computing,42199923,8,201010,ROYAL MAIL,145.1,2011-01-11
Central Services,Supplies and Services,Comms & Computing,42199924,12,201010,ROYAL MAIL,638.12,2011-01-11
Central Services,Supplies and Services,Comms & Computing,42199924,7,201010,ROYAL MAIL,215.7,2011-01-11
Central Services,Supplies and Services,Comms & Computing,42199924,8,201010,ROYAL MAIL,103.68,2011-01-11
Central Services,Supplies and Services,Comms & Computing,42199924,9,201010,ROYAL MAIL,99.74,2011-01-11
Central Services,Supplies and Services,Comms & Computing,42199924,11,201010,ROYAL MAIL,8.66,2011-01-11
Central Services,Supplies and Services,Comms & Computing,42199924,10,201010,ROYAL MAIL,570.59,2011-01-11
Central Services,Supplies and Services,Comms & Computing,42201195,12,201010,ROYAL MAIL,394.11,2011-01-14
Central Services,Supplies and Services,Comms & Computing,42201195,7,201010,ROYAL MAIL,239.09,2011-01-14
Central Services,Supplies and Services,Comms & Computing,42201195,8,201010,ROYAL MAIL,84.96,2011-01-14
Central Services,Supplies and Services,Comms & Computing,42201195,9,201010,ROYAL MAIL,81.16,2011-01-14
Central Services,Supplies and Services,Comms & Computing,42201195,11,201010,ROYAL MAIL,8.5,2011-01-14
Central Services,Supplies and Services,Comms & Computing,42201195,10,201010,ROYAL MAIL,360.47,2011-01-14
Central Services,Supplies and Services,Comms & Computing,42202875,12,201010,ROYAL MAIL,653.87,2011-01-20
Central Services,Supplies and Services,Comms & Computing,42202875,7,201010,ROYAL MAIL,137.18,2011-01-20
Central Services,Supplies and Services,Comms & Computing,42202875,8,201010,ROYAL MAIL,537.84,2011-01-20
Central Services,Supplies and Services,Comms & Computing,42202875,9,201010,ROYAL MAIL,58.37,2011-01-20
Central Services,Supplies and Services,Comms & Computing,42202875,11,201010,ROYAL MAIL,1842.08,2011-01-20
Central Services,Supplies and Services,Comms & Computing,42202875,10,201010,ROYAL MAIL,565.15,2011-01-20
Central Services,Employees,Indirect Employee Expenses,42200323,2,201010,SIEMENS ENTERPRISE COMMUNICATIONS LTD,1425,2011-01-17
Central Services,Supplies and Services,Comms & Computing,43603035,2,201010,SIEMENS ENTERPRISE COMMUNICATIONS LTD,850,2011-01-11
Central Services,Third Party Payments,Third Party Payments,42201848,2,201010,SOUTH TYNESIDE COUNCIL GENERAL FUND,11250,2011-01-18
Central Services,Supplies and Services,"Printing, Stationery etc",43602510,2,201010,SPD LTD,1275,2011-01-10
Central Services,Supplies and Services,"Printing, Stationery etc",43602589,2,201010,SPD LTD,10618,2011-01-07
Central Services,Supplies and Services,"Furn, Equip & Mats",42201018,2,201010,ST JOHN AMBULANCE,397.5,2011-01-14
Central Services,Supplies and Services,Miscellaneous Supplies,43606414,2,201010,STANDING STONE DRAWING OFFICE SUPPLIES LTD,1333.12,2011-01-27
Central Services,Supplies and Services,"Printing, Stationery etc",43602587,2,201010,STATEX PRESS NORTHERN LTD,632,2011-01-07
Central Services,Supplies and Services,"Printing, Stationery etc",43606566,2,201010,STATEX PRESS NORTHERN LTD,1377,2011-01-28
Central Services,Supplies and Services,Comms & Computing,43604958,2,201010,STRAND BUSINESS SYSTEMS LTD,2016.12,2011-01-19
Central Services,Supplies and Services,Miscellaneous Supplies,43604311,2,201010,SUPPLIES TEAM LTD,751.9,2011-01-19
Central Services,Supplies and Services,Miscellaneous Supplies,43604314,2,201010,SUPPLIES TEAM LTD,428.67,2011-01-19
Central Services,Supplies and Services,Miscellaneous Supplies,43606187,2,201010,SUPPLIES TEAM LTD,821.2,2011-01-27
Central Services,Supplies and Services,Comms & Computing,43606242,3,201010,SYSCAP LEASING LTD,1117.42,2011-01-31
Central Services,Supplies and Services,Comms & Computing,43606242,4,201010,SYSCAP LEASING LTD,23.91,2011-01-31
Central Services,Works,,42200583,2,201010,TANDEM CONTRACTS LTD,42451.2,2011-01-12
Central Services,Supplies and Services,Comms & Computing,42197976,2,201010,TELEWEST BUSINESS,512.4,2011-01-04
Central Services,Supplies and Services,"Licenses, Housing, Fees",43601872,2,201010,THE LEARNING POOL,15625,2011-01-04
Central Services,Supplies and Services,"Licenses, Housing, Fees",42201857,2,201010,THE NATIONAL SKILLS ACADEMY FOR SOCIAL CARE,450,2011-01-18
Central Services,Employees,Indirect Employee Expenses,43603803,2,201010,THE PUNCH PUB COMPANY LTD,670.21,2011-01-13
Central Services,Supplies and Services,Miscellaneous Supplies,43602759,3,201010,THE SAGE GATESHEAD,899,2011-01-07
Central Services,Supplies and Services,Miscellaneous Supplies,43602759,4,201010,THE SAGE GATESHEAD,1068.55,2011-01-07
Central Services,Supplies and Services,"Licenses, Housing, Fees",43604745,2,201010,TREATMENT SOLUTIONS,4099.33,2011-01-19
Central Services,Supplies and Services,Comms & Computing,42200882,2,201010,UNIT4 BUSINESS SOFTWARE LTD,500,2011-01-13
Central Services,Supplies and Services,Comms & Computing,43601330,2,201010,UNITED CARLTON OFFICE SYSTEMS,10913.99,2011-01-04
Central Services,Supplies and Services,Comms & Computing,43602338,2,201010,UNITED CARLTON OFFICE SYSTEMS,439,2011-01-07
Central Services,Supplies and Services,Comms & Computing,43602339,2,201010,UNITED CARLTON OFFICE SYSTEMS,464,2011-01-07
Central Services,Supplies and Services,Comms & Computing,43602340,2,201010,UNITED CARLTON OFFICE SYSTEMS,649,2011-01-07
Central Services,Supplies and Services,Comms & Computing,43604922,2,201010,UNITED CARLTON OFFICE SYSTEMS,1642,2011-01-20
Central Services,Supplies and Services,Comms & Computing,43604925,2,201010,UNITED CARLTON OFFICE SYSTEMS,493,2011-01-20
Central Services,Supplies and Services,"Licenses, Housing, Fees",43604363,2,201010,VICTORIA PHILLIPS LTD,1620,2011-01-17
Central Services,Supplies and Services,Comms & Computing,43604944,2,201010,VIGLEN LTD,1916,2011-01-20
Central Services,Supplies and Services,Comms & Computing,43605363,2,201010,VIGLEN LTD,2940,2011-01-24
Central Services,Supplies and Services,Comms & Computing,42198419,3,201010,VIRGIN MEDIA BUSINESS,12.83,2011-01-06
Central Services,Supplies and Services,Comms & Computing,42198419,4,201010,VIRGIN MEDIA BUSINESS,4168.63,2011-01-06
Central Services,Purchase of Equipment,,43605263,8,201010,VIRGIN MEDIA BUSINESS,20632.06,2011-01-21
Central Services,Purchase of Equipment,,43605263,6,201010,VIRGIN MEDIA BUSINESS,38316.69,2011-01-21
Central Services,Other Costs,,43605263,7,201010,VIRGIN MEDIA BUSINESS,27246.27,2011-01-21
Central Services,Purchase of Equipment,,43605263,9,201010,VIRGIN MEDIA BUSINESS,78192.78,2011-01-21
Central Services,Purchase of Equipment,,43605263,10,201010,VIRGIN MEDIA BUSINESS,3992.69,2011-01-21
Central Services,Supplies and Services,"Grants, Contribs & Subs",43606417,2,201010,WOLTERS KLUWER (UK) LTD,508.95,2011-01-27
Central Services,Supplies and Services,"Furn, Equip & Mats",43602604,2,201010,XEROX OFFICE SUPPLIES LTD,539.2,2011-01-07
Central Services,Supplies and Services,"Furn, Equip & Mats",43602641,2,201010,XEROX OFFICE SUPPLIES LTD,374.94,2011-01-07
Community Based Services,Supplies and Services,"Grants, Contribs & Subs",42204771,2,201010,25TH GATESHEAD BROWNIE UNIT,595,2011-01-27
Community Based Services,Third Party Payments,Third Party Payments,42197751,2,201010,360 HEALTHCARE LTD,525.91,2011-01-05
Community Based Services,Third Party Payments,Third Party Payments,42197760,2,201010,360 HEALTHCARE LTD,740.15,2011-01-05
Community Based Services,Third Party Payments,Third Party Payments,42198548,6,201010,360 HEALTHCARE LTD,445.2,2011-01-05
Community Based Services,Third Party Payments,Third Party Payments,42198548,4,201010,360 HEALTHCARE LTD,32950.4,2011-01-05
Community Based Services,Third Party Payments,Third Party Payments,42198548,7,201010,360 HEALTHCARE LTD,1736.29,2011-01-05
Community Based Services,Third Party Payments,Third Party Payments,42198548,5,201010,360 HEALTHCARE LTD,18848.67,2011-01-05
Community Based Services,Third Party Payments,Third Party Payments,42198869,2,201010,360 HEALTHCARE LTD,503.65,2011-01-10
Community Based Services,Transport,Public Transport and Taxi Fares,42199342,4,201010,ABC,660,2011-01-07
Community Based Services,Other Costs,,42199817,2,201010,ABLE PROPERTY SERVICES LTD,4475,2011-01-11
Community Based Services,Supplies and Services,"Furn, Equip & Mats",43604853,2,201010,ABOUT PRESENTATION LTD,875,2011-01-19
Community Based Services,Third Party Payments,Third Party Payments,60020130,971,201010,ACOMB COURT,2267.92,2011-01-05
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020130,214,201010,ACOMB COURT,441.2,2011-01-05
Community Based Services,Third Party Payments,Third Party Payments,60020130,489,201010,ADDISON COURT T/A DAV HOMES LTD,3440,2011-01-05
Community Based Services,Third Party Payments,Third Party Payments,60020130,496,201010,ADDISON COURT T/A DAV HOMES LTD,1720,2011-01-05
Community Based Services,Third Party Payments,Third Party Payments,60020130,500,201010,ADDISON COURT T/A DAV HOMES LTD,2154.8,2011-01-05
Community Based Services,Third Party Payments,Third Party Payments,60020130,501,201010,ADDISON COURT T/A DAV HOMES LTD,1720,2011-01-05
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020130,11,201010,ADDISON COURT T/A DAV HOMES LTD,1135.4,2011-01-05
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020130,34,201010,ADDISON COURT T/A DAV HOMES LTD,1031.76,2011-01-05
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020130,54,201010,ADDISON COURT T/A DAV HOMES LTD,441.2,2011-01-05
Community Based Services,Third Party Payments,Third Party Payments,60020130,479,201010,ADDISON COURT T/A DAV HOMES LTD,5885.11,2011-01-05
Community Based Services,Third Party Payments,Third Party Payments,60020130,486,201010,ADDISON COURT T/A DAV HOMES LTD,1908.69,2011-01-05
