Strategic Group,Spend Level,Spend Level 2,TransNo,Seq No,Period,Supplier id(T),Amount,Updated
Central Services,Supplies and Services,"Grants, Contribs & Subs",42230437,18,201101,EMAP BUSINESS COMMUNICATIONS,199.2,2011-04-11
Central Services,Supplies and Services,"Grants, Contribs & Subs",42230437,19,201101,EMAP BUSINESS COMMUNICATIONS,199.2,2011-04-11
Central Services,Supplies and Services,"Grants, Contribs & Subs",42230437,23,201101,EMAP BUSINESS COMMUNICATIONS,199.2,2011-04-11
Central Services,Supplies and Services,"Grants, Contribs & Subs",42230437,20,201101,EMAP BUSINESS COMMUNICATIONS,199.2,2011-04-11
Central Services,Supplies and Services,"Grants, Contribs & Subs",42230437,15,201101,EMAP BUSINESS COMMUNICATIONS,796.8,2011-04-11
Central Services,Supplies and Services,"Grants, Contribs & Subs",42230437,12,201101,EMAP BUSINESS COMMUNICATIONS,199.2,2011-04-11
Central Services,Supplies and Services,"Grants, Contribs & Subs",42230437,22,201101,EMAP BUSINESS COMMUNICATIONS,199.2,2011-04-11
Central Services,Income: Customer and Client Receipts,Customer & Client Receipts,42230546,4,201101,JOHN MOODY & SON LTD,1600.00,2011-04-11
Central Services,Income: Interest Received,Interest Received,42230546,3,201101,JOHN MOODY & SON LTD,100.56,2011-04-11
Central Services,Supplies and Services,"Licenses, Housing, Fees",42230685,4,201101,ROSSENDALES COLLECT LTD,42.5,2011-04-12
Central Services,Supplies and Services,"Grants, Contribs & Subs",42230699,2,201101,N.E. REGIONAL EMPLOYERS ORGANISATION,18542.00,2011-04-12
Central Services,Supplies and Services,Comms & Computing,42230970,8,201101,VODAFONE CORPORATE LTD,156,2011-04-13
Central Services,Supplies and Services,Comms & Computing,42230970,9,201101,VODAFONE CORPORATE LTD,160.5,2011-04-13
Central Services,Supplies and Services,Comms & Computing,42231049,2,201101,CAPITA BUSINESS SERVICES LTD,7975.99,2011-04-13
Central Services,Supplies and Services,Comms & Computing,42231053,2,201101,CAPITA BUSINESS SERVICES LTD,24545.00,2011-04-13
Central Services,Supplies and Services,Comms & Computing,42231054,2,201101,CAPITA BUSINESS SERVICES LTD,2920.00,2011-04-13
Central Services,Supplies and Services,Comms & Computing,42231129,13,201101,ROYAL MAIL,669.17,2011-04-13
Central Services,Supplies and Services,Comms & Computing,42231129,8,201101,ROYAL MAIL,407.23,2011-04-13
Central Services,Supplies and Services,Comms & Computing,42231129,9,201101,ROYAL MAIL,62.28,2011-04-13
Central Services,Supplies and Services,Comms & Computing,42231129,10,201101,ROYAL MAIL,37.9,2011-04-13
Central Services,Supplies and Services,Comms & Computing,42231129,14,201101,ROYAL MAIL,5,2011-04-13
Central Services,Supplies and Services,Comms & Computing,42231129,12,201101,ROYAL MAIL,1185.94,2011-04-13
Central Services,Supplies and Services,Comms & Computing,42231129,11,201101,ROYAL MAIL,623.64,2011-04-13
Central Services,Supplies and Services,Comms & Computing,42231189,2,201101,BOTTOMLINE TECHNOLOGIES,3300.00,2011-04-13
Central Services,Income: Customer and Client Receipts,Customer & Client Receipts,42231191,2,201101,SUNDERLAND CITY COUCIL,831,2011-04-13
Central Services,Supplies and Services,"Printing, Stationery etc",42231472,2,201101,DSI BILLING SERVICES,850,2011-04-14
Central Services,Transport,Public Transport and Taxi Fares,42231537,37,201101,TRAVEL BUREAU,377.34,2011-04-14
Central Services,Transport,Public Transport and Taxi Fares,42231537,34,201101,TRAVEL BUREAU,204.12,2011-04-14
Central Services,Supplies and Services,"Printing, Stationery etc",42231537,32,201101,TRAVEL BUREAU,145.02,2011-04-14
Central Services,Employees,Indirect Employee Expenses,42231537,50,201101,TRAVEL BUREAU,125,2011-04-14
Central Services,Transport,Public Transport and Taxi Fares,42231537,31,201101,TRAVEL BUREAU,97.22,2011-04-14
Central Services,Transport,Public Transport and Taxi Fares,42231537,40,201101,TRAVEL BUREAU,69.95,2011-04-14
Central Services,Transport,Public Transport and Taxi Fares,42231537,42,201101,TRAVEL BUREAU,69.95,2011-04-14
Central Services,Transport,Public Transport and Taxi Fares,42231537,35,201101,TRAVEL BUREAU,66.78,2011-04-14
Central Services,Supplies and Services,"Furn, Equip & Mats",42231537,36,201101,TRAVEL BUREAU,255.14,2011-04-14
Central Services,Transport,Public Transport and Taxi Fares,42231537,27,201101,TRAVEL BUREAU,139.9,2011-04-14
Central Services,Employees,Indirect Employee Expenses,42231537,26,201101,TRAVEL BUREAU,33.24,2011-04-14
Central Services,Transport,Public Transport and Taxi Fares,42231537,38,201101,TRAVEL BUREAU,377.34,2011-04-14
Central Services,Employees,Indirect Employee Expenses,42231537,49,201101,TRAVEL BUREAU,137,2011-04-14
Central Services,Transport,Public Transport and Taxi Fares,42231537,51,201101,TRAVEL BUREAU,69.95,2011-04-14
Central Services,Transport,Public Transport and Taxi Fares,42231537,52,201101,TRAVEL BUREAU,48.26,2011-04-14
Central Services,Transport,Public Transport and Taxi Fares,42231537,33,201101,TRAVEL BUREAU,35.46,2011-04-14
Central Services,Supplies and Services,"Grants, Contribs & Subs",42231855,2,201101,TAMESIDE MBC,3386.73,2011-04-15
Central Services,Supplies and Services,"Grants, Contribs & Subs",42231856,2,201101,NORTHGATE INFORMATION SOLUTIONS UK LTD,3865.39,2011-04-15
Central Services,Supplies and Services,"Grants, Contribs & Subs",42231858,2,201101,ALARM,500,2011-04-15
Central Services,"Income: Other Grants, Reim & Contrib",Other Grants,42231905,2,201101,CITY OF SUNDERLAND,146854.83,2011-04-15
Central Services,Supplies and Services,Comms & Computing,42231928,13,201101,ROYAL MAIL,658.99,2011-04-15
Central Services,Supplies and Services,Comms & Computing,42231928,8,201101,ROYAL MAIL,267.92,2011-04-15
Central Services,Supplies and Services,Comms & Computing,42231928,9,201101,ROYAL MAIL,181.08,2011-04-15
Central Services,Supplies and Services,Comms & Computing,42231928,10,201101,ROYAL MAIL,6.13,2011-04-15
Central Services,Supplies and Services,Comms & Computing,42231928,14,201101,ROYAL MAIL,4,2011-04-15
Central Services,Supplies and Services,Comms & Computing,42231928,12,201101,ROYAL MAIL,1620.09,2011-04-15
Central Services,Supplies and Services,Comms & Computing,42231928,11,201101,ROYAL MAIL,497.43,2011-04-15
Central Services,Supplies and Services,Miscellaneous Supplies,42232447,2,201101,LOOMIS UK LTD,464.63,2011-04-18
Central Services,Supplies and Services,"Licenses, Housing, Fees",42232825,2,201101,OLM PROFESSIONAL SERVICES LTD,1920.55,2011-04-19
Central Services,Supplies and Services,"Licenses, Housing, Fees",42232828,2,201101,JOHN WHEELER SOLUTIONS LTD,600,2011-04-19
Central Services,Supplies and Services,"Licenses, Housing, Fees",42232831,2,201101,E R I C,840,2011-04-19
Central Services,Supplies and Services,Miscellaneous Supplies,42232835,2,201101,TEAM NETSOL,10493.00,2011-04-19
Central Services,Supplies and Services,Comms & Computing,42232853,35,201101,VIRGIN MEDIA BUSINESS,118.34,2011-04-21
Central Services,Supplies and Services,Comms & Computing,42232876,3,201101,VIRGIN MEDIA BUSINESS,587.26,2011-04-21
Central Services,Supplies and Services,Comms & Computing,42232876,4,201101,VIRGIN MEDIA BUSINESS,401.93,2011-04-21
Central Services,Supplies and Services,"Licenses, Housing, Fees",42232882,10,201101,HMCTS,50,2011-04-19
Central Services,Supplies and Services,"Licenses, Housing, Fees",42232882,12,201101,HMCTS,70,2011-04-19
Central Services,Supplies and Services,"Licenses, Housing, Fees",42232882,13,201101,HMCTS,50,2011-04-19
Central Services,Supplies and Services,"Licenses, Housing, Fees",42232882,14,201101,HMCTS,70,2011-04-19
Central Services,Supplies and Services,"Licenses, Housing, Fees",42232882,16,201101,HMCTS,50,2011-04-19
Central Services,Supplies and Services,"Licenses, Housing, Fees",42232882,17,201101,HMCTS,70,2011-04-19
Central Services,Supplies and Services,"Licenses, Housing, Fees",42232882,24,201101,HMCTS,50,2011-04-19
Central Services,Supplies and Services,"Licenses, Housing, Fees",42232882,11,201101,HMCTS,70,2011-04-19
Central Services,Supplies and Services,"Licenses, Housing, Fees",42232882,15,201101,HMCTS,70,2011-04-19
Central Services,Supplies and Services,"Licenses, Housing, Fees",42232882,20,201101,HMCTS,70,2011-04-19
Central Services,Supplies and Services,"Licenses, Housing, Fees",42232882,23,201101,HMCTS,80,2011-04-19
Central Services,Supplies and Services,"Licenses, Housing, Fees",42232882,26,201101,HMCTS,70,2011-04-19
Central Services,Supplies and Services,"Licenses, Housing, Fees",42232882,28,201101,HMCTS,120,2011-04-19
Central Services,Supplies and Services,"Licenses, Housing, Fees",42232882,31,201101,HMCTS,70,2011-04-19
Central Services,Supplies and Services,"Furn, Equip & Mats",42233069,3,201101,KIRKLEES MBC,12000.00,2011-04-19
Central Services,Supplies and Services,Comms & Computing,42233069,4,201101,KIRKLEES MBC,3000.00,2011-04-19
Central Services,Supplies and Services,Comms & Computing,42233097,10,201101,BRITISH TELECOM,6.26,2011-04-21
Central Services,Supplies and Services,Comms & Computing,42233271,32,201101,BRITISH TELECOM,85.47,2011-04-21
Central Services,Supplies and Services,Comms & Computing,42233271,29,201101,BRITISH TELECOM,37.86,2011-04-21
Central Services,Supplies and Services,Comms & Computing,42233271,30,201101,BRITISH TELECOM,119.97,2011-04-21
Central Services,Supplies and Services,Comms & Computing,42233271,28,201101,BRITISH TELECOM,601.33,2011-04-21
Central Services,Supplies and Services,Comms & Computing,42233271,58,201101,BRITISH TELECOM,37.86,2011-04-21
Central Services,Supplies and Services,Comms & Computing,42233271,31,201101,BRITISH TELECOM,37.86,2011-04-21
Central Services,Supplies and Services,Comms & Computing,42233271,33,201101,BRITISH TELECOM,63.6,2011-04-21
Central Services,Supplies and Services,Comms & Computing,42233271,56,201101,BRITISH TELECOM,882.15,2011-04-21
Central Services,Supplies and Services,Comms & Computing,42233271,64,201101,BRITISH TELECOM,4,2011-04-21
Central Services,Supplies and Services,Comms & Computing,42233271,65,201101,BRITISH TELECOM,194.3,2011-04-21
Central Services,Supplies and Services,Comms & Computing,42233271,59,201101,BRITISH TELECOM,75.72,2011-04-21
Central Services,Supplies and Services,Comms & Computing,42233271,34,201101,BRITISH TELECOM,1100.00,2011-04-21
Central Services,Supplies and Services,Comms & Computing,42233271,60,201101,BRITISH TELECOM,179.12,2011-04-21
Central Services,Supplies and Services,Comms & Computing,42233336,2,201101,POSTAGE BY PHONE-PITNEY BOWES,8000.00,2011-04-21
Central Services,Support Services,Support Services,42233424,2,201101,CITY OF SUNDERLAND,2922.15,2011-04-21
Central Services,Support Services,Support Services,42233525,4,201101,AUDIT COMMISSION,1785.00,2011-04-21
Central Services,Support Services,Support Services,42233525,3,201101,AUDIT COMMISSION,26668.00,2011-04-21
Central Services,Supplies and Services,Comms & Computing,42234005,2,201101,BRITISH TELECOM,1442.17,2011-04-27
Central Services,Supplies and Services,Comms & Computing,42234005,3,201101,BRITISH TELECOM,9,2011-04-27
Central Services,Supplies and Services,Comms & Computing,42234050,2,201101,VIRGIN MEDIA BUSINESS,1321.34,2011-04-27
Central Services,Supplies and Services,Comms & Computing,42234052,13,201101,ROYAL MAIL,1192.95,2011-04-27
Central Services,Supplies and Services,Comms & Computing,42234052,8,201101,ROYAL MAIL,396.89,2011-04-27
Central Services,Supplies and Services,Comms & Computing,42234052,9,201101,ROYAL MAIL,378,2011-04-27
Central Services,Supplies and Services,Comms & Computing,42234052,10,201101,ROYAL MAIL,142.94,2011-04-27
Central Services,Supplies and Services,Comms & Computing,42234052,14,201101,ROYAL MAIL,7,2011-04-27
Central Services,Supplies and Services,Comms & Computing,42234052,12,201101,ROYAL MAIL,1514.37,2011-04-27
Central Services,Supplies and Services,Comms & Computing,42234052,11,201101,ROYAL MAIL,2318.17,2011-04-27
Central Services,Support Services,Support Services,42234245,2,201101,CITY OF SUNDERLAND,1501.50,2011-04-28
Central Services,Third Party Payments,Third Party Payments,42234251,2,201101,EXPERIAN LTD,4894.50,2011-04-28
Central Services,Supplies and Services,"Printing, Stationery etc",42234290,2,201101,CANON (UK) LTD,1254.29,2011-04-28
Central Services,Supplies and Services,Miscellaneous Supplies,43608963,2,201101,JB SKILLCARE LTD,576,2011-04-11
Central Services,Employees,Indirect Employee Expenses,43614704,2,201013,COMMERCIAL SKILLS LTD,1125.00,2011-04-06
Central Services,Purchase of Equipment,,43621102,2,201013,BLUESOURCE INFORMATION LIMITED,7325.00,2011-04-04
Central Services,Supplies and Services,Comms & Computing,43621104,2,201101,BLUEFORT SECURITY LIMITED,6497.00,2011-04-06
Central Services,Supplies and Services,Comms & Computing,43621105,2,201101,BLUESOURCE INFORMATION LIMITED,34184.90,2011-04-06
Central Services,Supplies and Services,Comms & Computing,43621106,2,201101,FUJITSU SERVICES LTD,20362.67,2011-04-06
Central Services,Supplies and Services,Comms & Computing,43621107,2,201101,PHOENIX SOFTWARE LTD,18669.33,2011-04-06
Central Services,Supplies and Services,Comms & Computing,43621108,2,201101,INSIGHT DIRECT UK LTD,48574.92,2011-04-06
Central Services,Works,,43621116,2,201013,LINPAC ENVIRONMENTAL,1190.00,2011-04-04
Central Services,Supplies and Services,Miscellaneous Supplies,43621207,2,201013,JB SKILLCARE LTD,498,2011-04-05
Central Services,Supplies and Services,"Printing, Stationery etc",43621221,15,201013,HOGG NEWS,657.7,2011-04-05
Central Services,Supplies and Services,"Printing, Stationery etc",43621221,16,201013,HOGG NEWS,131.93,2011-04-05
Central Services,Supplies and Services,"Printing, Stationery etc",43621221,17,201013,HOGG NEWS,219.38,2011-04-05
Central Services,Supplies and Services,"Printing, Stationery etc",43621221,19,201013,HOGG NEWS,50.36,2011-04-05
Central Services,Supplies and Services,"Printing, Stationery etc",43621221,13,201013,HOGG NEWS,2.51,2011-04-05
Central Services,Supplies and Services,"Printing, Stationery etc",43621221,14,201013,HOGG NEWS,10,2011-04-05
Central Services,Supplies and Services,"Licenses, Housing, Fees",43621441,2,201013,LOCAL GOVERNMENT OMBUDSMAN,1025.00,2011-04-05
Central Services,Purchase of Equipment,,43621448,2,201013,CIVICA LTD,6355.00,2011-04-06
Central Services,Supplies and Services,Comms & Computing,43621488,2,201013,LANWAY CBS LTD,2658.42,2011-04-05
Central Services,Supplies and Services,Comms & Computing,43621490,2,201013,VIGLEN LTD,780,2011-04-05
Central Services,Supplies and Services,Comms & Computing,43621492,2,201013,LANWAY CBS LTD,701.49,2011-04-05
Central Services,Supplies and Services,Comms & Computing,43621493,2,201013,LANWAY CBS LTD,1024.00,2011-04-05
Central Services,Supplies and Services,Comms & Computing,43621504,2,201013,VIRGIN MEDIA BUSINESS,32051.59,2011-04-06
Central Services,Supplies and Services,Comms & Computing,43621535,2,201013,DELL COMPUTER CORPORATION LTD,2497.04,2011-04-05
Central Services,Supplies and Services,Comms & Computing,43621537,2,201013,PHOENIX SOFTWARE LTD,431.2,2011-04-05
Central Services,Supplies and Services,Comms & Computing,43621541,2,201013,CAPITA BUSINESS SERVICES LTD,88462.64,2011-04-05
Central Services,Supplies and Services,Comms & Computing,43621570,2,201013,UNITED CARLTON OFFICE SYSTEMS,1348.00,2011-04-05
Central Services,Supplies and Services,Miscellaneous Supplies,43621615,2,201013,BACK CARE SOLUTIONS,672,2011-04-05
Central Services,Supplies and Services,Miscellaneous Supplies,43621817,2,201013,SUPPLIES TEAM LTD,400,2011-04-06
Central Services,Supplies and Services,"Grants, Contribs & Subs",43621830,3,201101,LOCAL GOVERNMENT ASSOC.,42979.75,2011-04-06
Central Services,Supplies and Services,"Grants, Contribs & Subs",43621830,4,201101,LOCAL GOVERNMENT ASSOC.,6700.00,2011-04-06
Central Services,Supplies and Services,"Licenses, Housing, Fees",43621886,2,201013,PINSENT MASONS,7624.03,2011-04-06
Central Services,Consultants,,43621986,2,201101,4C STRATEGIES LTD,4650.00,2011-04-08
Central Services,Supplies and Services,Comms & Computing,43621987,2,201101,NORTHGATE MANAGED SERVICES LIMITED,16500.00,2011-04-08
Central Services,Supplies and Services,Comms & Computing,43621989,2,201101,PHOENIX SOFTWARE LTD,21756.00,2011-04-08
Central Services,Supplies and Services,"Printing, Stationery etc",43622015,2,201101,ACTION STORAGE SYSTEMS LTD,582,2011-04-08
Central Services,Supplies and Services,Miscellaneous Supplies,43622038,2,201101,JB SKILLCARE LTD,792,2011-04-08
Central Services,Premises,Rep & Maint,43622074,2,201101,PITNEY BOWES LTD,595,2011-04-11
Central Services,Supplies and Services,Comms & Computing,43622135,2,201101,INSIGHT DIRECT UK LTD,6382.38,2011-04-13
Central Services,Supplies and Services,"Licenses, Housing, Fees",43622296,10,201101,CRIMINAL RECORDS BUREAU,36,2011-04-11
Central Services,Supplies and Services,"Licenses, Housing, Fees",43622296,12,201101,CRIMINAL RECORDS BUREAU,72,2011-04-11
Central Services,Purchase of Equipment,,43622449,2,201101,VIRGIN MEDIA BUSINESS,27094.76,2011-04-13
Central Services,Supplies and Services,Miscellaneous Supplies,43622455,2,201101,SUPPLIES TEAM LTD,4269.03,2011-04-13
Central Services,Supplies and Services,Comms & Computing,43622460,2,201101,CASTLE GRANGE TECHNOLOGIES LTD,420,2011-04-12
Central Services,Supplies and Services,Comms & Computing,43622461,2,201101,PHOENIX SOFTWARE LTD,1170.40,2011-04-12
Central Services,Supplies and Services,Comms & Computing,43622462,2,201101,PHOENIX SOFTWARE LTD,1848.00,2011-04-12
Central Services,Supplies and Services,Comms & Computing,43622467,2,201101,LANWAY CBS LTD,1392.98,2011-04-12
Central Services,Supplies and Services,Miscellaneous Supplies,43622480,2,201101,SUPPLIES TEAM LTD,1304.60,2011-04-13
Central Services,Purchase of Equipment,,43622491,3,201101,SWITCHSHOP LTD,479.5,2011-04-13
Central Services,Purchase of Equipment,,43622493,2,201101,INSIGHT DIRECT UK LTD,403.35,2011-04-13
Central Services,Purchase of Equipment,,43622494,2,201101,INSIGHT DIRECT UK LTD,6390.46,2011-04-13
Central Services,Purchase of Equipment,,43622495,3,201101,DELL COMPUTER CORPORATION LTD,2980.00,2011-04-13
Central Services,Supplies and Services,"Licenses, Housing, Fees",43622821,2,201101,TREATMENT SOLUTIONS,4099.33,2011-04-13
Central Services,Supplies and Services,Comms & Computing,43623079,2,201101,FUJITSU SERVICES LTD,3750.00,2011-04-14
Central Services,Supplies and Services,"Printing, Stationery etc",43623127,2,201101,CANON (UK) LTD,475.26,2011-04-14
Central Services,Supplies and Services,"Printing, Stationery etc",43623154,2,201101,CANON (UK) LTD,1169.34,2011-04-14
Central Services,Supplies and Services,Comms & Computing,43623380,2,201101,UNITED CARLTON OFFICE SYSTEMS,1567.00,2011-04-18
Central Services,Supplies and Services,"Clothing, Uniforms & Laundry",43623381,1,201101,STEVEN GREGORY DESIGN LTD,1360.00,2011-04-18
Central Services,Supplies and Services,Comms & Computing,43623385,2,201101,CASTLE GRANGE TECHNOLOGIES LTD,1152.00,2011-04-18
Central Services,Supplies and Services,Comms & Computing,43623439,2,201101,ADVANCED BUSINESS SOFTWARE AND SOLUTIONS LTD,7490.18,2011-04-15
Central Services,Supplies and Services,"Printing, Stationery etc",43623709,4,201101,CLAVERING STATIONERS,124.75,2011-04-20
Central Services,Supplies and Services,"Printing, Stationery etc",43623709,3,201101,CLAVERING STATIONERS,508,2011-04-20
Central Services,Supplies and Services,"Printing, Stationery etc",43623760,2,201101,CANON (UK) LTD,368.58,2011-04-19
Central Services,Supplies and Services,Advertising,43623795,2,201101,NCJ MEDIA LTD,891,2011-04-19
Central Services,Supplies and Services,"Furn, Equip & Mats",43623855,2,201101,OCE IMAGISTICS (UK) LTD,8425.43,2011-04-20
Central Services,Supplies and Services,"Furn, Equip & Mats",43623864,2,201101,ANTALIS MCNAUGHTON LTD,938,2011-04-20
Central Services,Supplies and Services,"Furn, Equip & Mats",43623865,2,201101,ANTALIS MCNAUGHTON LTD,399.74,2011-04-20
Central Services,Supplies and Services,"Furn, Equip & Mats",43623869,2,201101,ANTALIS MCNAUGHTON LTD,964,2011-04-20
Central Services,Supplies and Services,Comms & Computing,43623873,2,201101,OPAL COMPUTER SOLUTIONS,540,2011-04-20
Central Services,Supplies and Services,"Grants, Contribs & Subs",43623912,2,201101,ASSOCIATION OF NORTH EAST COUNCILS LTD,64598.00,2011-04-20
Central Services,Supplies and Services,Comms & Computing,43623937,2,201101,CACI LTD,10487.18,2011-04-21
Central Services,Supplies and Services,"Licenses, Housing, Fees",43623939,2,201101,FIRSTASSIST SERVICES LIMITED,1026.00,2011-04-21
Central Services,Purchase of Equipment,,43623943,2,201101,FUJITSU SERVICES LTD,394.44,2011-04-21
Central Services,Supplies and Services,Comms & Computing,43623944,2,201101,ANS GROUP PLC,3599.15,2011-04-21
Central Services,Supplies and Services,Comms & Computing,43623946,2,201101,ANS GROUP PLC,9750.00,2011-04-21
Central Services,Supplies and Services,Comms & Computing,43623947,2,201101,INSIGHT DIRECT UK LTD,1193.62,2011-04-21
Central Services,Supplies and Services,Comms & Computing,43623949,2,201101,CAPITA SOFTWARE SERVICES,10000.00,2011-04-21
Central Services,Supplies and Services,Comms & Computing,43623952,2,201101,PRODUCT EXPECTATIONS LTD,451.95,2011-04-21
Central Services,Supplies and Services,Comms & Computing,43623956,2,201101,DELL COMPUTER CORPORATION LTD,5059.84,2011-04-21
Central Services,Supplies and Services,Miscellaneous Supplies,43623976,2,201101,SUPPLIES TEAM LTD,681.24,2011-04-21
Central Services,Supplies and Services,Comms & Computing,43623978,2,201101,CITRIX ONLINE UK LTD,2600.96,2011-04-21
Central Services,Supplies and Services,Comms & Computing,43623979,2,201101,CITRIX ONLINE UK LTD,3264.12,2011-04-21
Central Services,Employees,Indirect Employee Expenses,43624047,2,201101,CITY OF SUNDERLAND,18260.00,2011-04-28
Central Services,Supplies and Services,"Licenses, Housing, Fees",43624048,2,201101,TRIBAL CONSULTING LTD,1812.50,2011-04-28
Central Services,Supplies and Services,"Licenses, Housing, Fees",43624049,2,201101,TRIBAL CONSULTING LTD,2175.00,2011-04-28
Central Services,Supplies and Services,Comms & Computing,43624090,2,201101,DELL FINANCIAL SERVICES,7881.08,2011-04-27
Central Services,Supplies and Services,Comms & Computing,43624147,2,201101,COMPUTERLAND UK PLC,408.4,2011-04-26
Central Services,Supplies and Services,Comms & Computing,43624153,2,201101,OMNICOM IT SERVICES,918.37,2011-04-26
Central Services,Supplies and Services,Comms & Computing,43624155,2,201101,DELL COMPUTER CORPORATION LTD,587.94,2011-04-26
Central Services,Supplies and Services,"Licenses, Housing, Fees",43624241,11,201101,IDOX SOFTWARE LIMITED,11365.24,2011-04-27
Central Services,Supplies and Services,Comms & Computing,43624241,14,201101,IDOX SOFTWARE LIMITED,7068.21,2011-04-27
Central Services,Supplies and Services,Comms & Computing,43624241,13,201101,IDOX SOFTWARE LIMITED,19581.81,2011-04-27
Central Services,Supplies and Services,"Grants, Contribs & Subs",43624251,2,201101,E-BOX LTD,640.1,2011-04-28
Central Services,Supplies and Services,"Licenses, Housing, Fees",43624277,2,201101,FRED HARVEY ASSOCIATES,1500.00,2011-04-28
