Strgrpcc(T),Cipfsubj(T),Cipfsubs(T),TransNo,Seq,Period,Supplier ID(T),Amount,Updated
Community Based Services,Employees,Indirect Employee Expenses,41060166,1,201312,GATESHEAD PEOPLE,9400.00,2014-03-24
Community Based Services,Transport,Public Transport and Taxi Fares,148009183,39,201312,CLICK TRAVEL LTD,11.19,2014-03-31
Community Based Services,Third Party Payments,Third Party Payments,41049404,1,201312,YOUR VOICE COUNTS,3435.00,2014-03-19
Community Based Services,Third Party Payments,Third Party Payments,41057938,1,201312,CARERS FEDERATION LTD,1497.93,2014-03-19
Community Based Services,Third Party Payments,Third Party Payments,41057939,1,201312,CARERS FEDERATION LTD,1359.55,2014-03-19
Community Based Services,Third Party Payments,Third Party Payments,41057940,1,201312,CARERS FEDERATION LTD,1298.05,2014-03-19
Community Based Services,Third Party Payments,Third Party Payments,41057941,1,201312,CARERS FEDERATION LTD,1462.05,2014-03-19
Community Based Services,Third Party Payments,Third Party Payments,41058165,1,201312,NEWCASTLE CVS,9827.50,2014-03-19
Community Based Services,Third Party Payments,Third Party Payments,41058166,1,201312,NEWCASTLE CVS,3275.84,2014-03-19
Community Based Services,Third Party Payments,Third Party Payments,41058167,1,201312,NEWCASTLE CVS,3275.83,2014-03-19
Community Based Services,Third Party Payments,Third Party Payments,41058168,1,201312,NEWCASTLE CVS,3275.83,2014-03-19
Community Based Services,Third Party Payments,Third Party Payments,41058729,1,201312,CARERS FEDERATION LTD,1600.43,2014-03-19
Community Based Services,Third Party Payments,Third Party Payments,147004457,1,201312,PALATINE,10000.00,2014-03-19
Community Based Services,Supplies and Services,"Furn, Equip & Mats",43779562,0,201312,AV WORKS LTD,905,2014-03-07
Community Based Services,Supplies and Services,"Furn, Equip & Mats",43781056,0,201312,HELPING HAND CO (LEDBURY)LTD,1584.60,2014-03-18
Community Based Services,Supplies and Services,"Grants, Contribs & Subs",147004168,1,201312,HOME GROUP,2000.00,2014-03-03
Community Based Services,Supplies and Services,"Grants, Contribs & Subs",147004169,1,201312,WINLATON MILL VILLAGE HALL,500,2014-03-03
Community Based Services,Supplies and Services,"Grants, Contribs & Subs",147004246,1,201312,THE LIGHTHOUSE,991,2014-03-03
Community Based Services,Supplies and Services,"Grants, Contribs & Subs",147004247,1,201312,FRIENDS OF WINLATON VILLAGE,3060.00,2014-03-03
Community Based Services,Supplies and Services,"Grants, Contribs & Subs",147004293,1,201312,RYTON RUGBY FOOTBALL CLUB LTD,562.5,2014-03-03
Community Based Services,Supplies and Services,"Grants, Contribs & Subs",147004302,1,201312,KIBBLESWORTH WELFARE CRICKET CLUB,500,2014-03-03
Community Based Services,Supplies and Services,"Grants, Contribs & Subs",147004705,1,201312,FRIENDS OF BLAYDON WEST,1671.40,2014-03-19
Community Based Services,Supplies and Services,"Grants, Contribs & Subs",147004707,1,201312,BIRTLEY COMMUNITY HUB,1152.00,2014-03-19
Community Based Services,Supplies and Services,"Grants, Contribs & Subs",147004707,2,201312,BIRTLEY COMMUNITY HUB,1152.00,2014-03-19
Community Based Services,Supplies and Services,"Grants, Contribs & Subs",147004712,1,201312,CHOPWELL LADIES CLUB,550,2014-03-19
Community Based Services,Supplies and Services,"Grants, Contribs & Subs",147004713,1,201312,GATESHEAD CARERS ASSOC.,1143.16,2014-03-19
Community Based Services,Supplies and Services,"Grants, Contribs & Subs",147005010,1,201312,PARISH OF BENSHAM GENERAL FUND,900,2014-03-25
Community Based Services,Supplies and Services,"Grants, Contribs & Subs",147005011,1,201312,1ST WINDY NOOK GIRLS BRIGADE,2000.00,2014-03-25
Community Based Services,Supplies and Services,"Grants, Contribs & Subs",147005012,1,201312,WREKENTON HARVEST & HELP,1200.00,2014-03-25
Community Based Services,Supplies and Services,"Grants, Contribs & Subs",147005089,1,201312,1ST RYTON SCOUT GROUP,514.14,2014-03-25
Community Based Services,Supplies and Services,"Grants, Contribs & Subs",147005090,1,201312,BENSHAM AND SALTWELL ALIVE,2500.00,2014-03-25
Community Based Services,Supplies and Services,"Grants, Contribs & Subs",147005091,1,201312,GOLDEN OLDIES LUNCH CLUB,850,2014-03-25
Community Based Services,Supplies and Services,"Grants, Contribs & Subs",147005104,1,201312,WINDY NOOK LOCAL HISTORY SOCIETY,800,2014-03-26
Community Based Services,Supplies and Services,"Grants, Contribs & Subs",147005106,1,201312,RYTON RUGBY FOOTBALL CLUB LTD,2645.00,2014-03-26
Community Based Services,Supplies and Services,"Licenses, Housing, Fees",43783188,1,201312,RASKL LTD,750,2014-03-24
Community Based Services,Supplies and Services,Comms & Computing,148008748,2,201312,VIRGIN MEDIA PAYMENTS LTD,40,2014-03-07
Community Based Services,Supplies and Services,Comms & Computing,148009065,2,201312,VIRGIN MEDIA PAYMENTS LTD,40,2014-03-25
Community Based Services,Premises,Energy,41057743,1,201312,BRITISH GAS TRADING LTD,277.77,2014-03-11
Community Based Services,Premises,Energy,41057743,2,201312,BRITISH GAS TRADING LTD,319.88,2014-03-11
Community Based Services,Supplies and Services,"Furn, Equip & Mats",43782649,0,201312,FURNISHING SERVICE LTD,513.31,2014-03-25
Community Based Services,Supplies and Services,"Furn, Equip & Mats",43782650,0,201312,FURNISHING SERVICE LTD,513.31,2014-03-25
Community Based Services,Supplies and Services,"Furn, Equip & Mats",147005204,1,201312,GREGORY'S CARPETS,730,2014-03-31
Community Based Services,Supplies and Services,Comms & Computing,41059637,1,201312,VIRGIN MEDIA PAYMENTS LTD,355,2014-03-21
Community Based Services,Supplies and Services,Comms & Computing,41059637,2,201312,VIRGIN MEDIA PAYMENTS LTD,7,2014-03-21
Community Based Services,Supplies and Services,Comms & Computing,148009065,1,201312,VIRGIN MEDIA PAYMENTS LTD,1665.00,2014-03-25
Community Based Services,Supplies and Services,Comms & Computing,148009066,9,201312,BRITISH TELECOM,12.63,2014-03-25
Community Based Services,Premises,Rep & Maint,41058735,2,201312,NORTHERN HOUSING CONSORTIUM LTD,100279.39,2014-03-19
Community Based Services,Supplies and Services,Comms & Computing,43785086,0,201312,DESK TOP PUBLISHING GROUP,3621.11,2014-03-31
Community Based Services,Supplies and Services,Comms & Computing,148008667,8,201312,BRITISH TELECOM,12.63,2014-03-04
Community Based Services,Supplies and Services,Comms & Computing,148008668,10,201312,BRITISH TELECOM,12.63,2014-03-04
Community Based Services,Supplies and Services,Comms & Computing,148008669,8,201312,BRITISH TELECOM,12.63,2014-03-04
Community Based Services,Supplies and Services,Comms & Computing,148008748,1,201312,VIRGIN MEDIA PAYMENTS LTD,1665.00,2014-03-07
Community Based Services,Supplies and Services,Comms & Computing,148008933,9,201312,BRITISH TELECOM,12.63,2014-03-18
Community Based Services,Premises,Rep & Maint,41060137,1,201312,HARBOUR ENTERPRISE (AMBLE) LTD,700,2014-03-24
Community Based Services,Premises,Rep & Maint,41060142,1,201312,HARBOUR ENTERPRISE (AMBLE) LTD,3290.00,2014-03-24
Community Based Services,Premises,Rep & Maint,41059489,1,201312,THERMAL PERSPECTIVE LTD,750,2014-03-19
Community Based Services,Premises,Rep & Maint,41049484,1,201312,SITEX ORBIS,977.14,2014-03-04
Community Based Services,Premises,Security & Insurance,41060496,1,201312,SITEX ORBIS,1302.86,2014-03-24
Community Based Services,Premises,Security & Insurance,41059322,1,201312,SITEX ORBIS,882.9,2014-03-19
Community Based Services,Premises,Security & Insurance,41059360,1,201312,SITEX ORBIS,1077.22,2014-03-19
Community Based Services,Premises,Security & Insurance,41059368,1,201312,SITEX ORBIS,384.29,2014-03-19
Community Based Services,Premises,Security & Insurance,41059374,1,201312,SITEX ORBIS,844.32,2014-03-19
Community Based Services,Premises,Security & Insurance,41059388,1,201312,SITEX ORBIS,675.07,2014-03-19
Community Based Services,Premises,Security & Insurance,41060497,1,201312,SITEX ORBIS,453.49,2014-03-24
Community Based Services,Premises,Security & Insurance,41060739,1,201312,SITEX ORBIS,354.29,2014-03-26
Community Based Services,Transport,Public Transport and Taxi Fares,148008706,2,201312,CLICK TRAVEL LTD,205.5,2014-03-07
Community Based Services,Premises,Fixtures & Fittings,147004930,1,201312,COOL TRADER LTD,750,2014-03-18
Community Based Services,Supplies and Services,Other Running Costs,148008782,1,201312,MARSH LTD,27557.19,2014-03-11
Community Based Services,Transport,Public Transport and Taxi Fares,148008929,13,201312,CLICK TRAVEL LTD,50.38,2014-03-18
Community Based Services,Transport,Public Transport and Taxi Fares,148008929,14,201312,CLICK TRAVEL LTD,50.38,2014-03-18
Community Based Services,Supplies and Services,"Furn, Equip & Mats",43767983,0,201312,SUPPLIES TEAM LTD,468.77,2014-03-10
Community Based Services,Supplies and Services,"Furn, Equip & Mats",43784298,0,201312,SUPPLIES TEAM LTD,380.28,2014-03-28
Community Based Services,Third Party Payments,Third Party Payments,147005195,1,201312,FOUNDATIONS FURNITURE & GARDENING PROJECT,9881.00,2014-03-31
Community Based Services,Supplies and Services,"Furn, Equip & Mats",43778318,0,201312,CARE-ABILITY,500,2014-03-03
Community Based Services,Supplies and Services,"Furn, Equip & Mats",43779102,0,201312,LOCKWISE LTD,682,2014-03-06
Community Based Services,Supplies and Services,Comms & Computing,41058172,1,201312,PETER LALLY & ASSOCIATES,2750.00,2014-03-13
Community Based Services,Supplies and Services,Other Running Costs,43781102,0,201312,AQUILA WAY,3850.00,2014-03-18
Community Based Services,Supplies and Services,"Grants, Contribs & Subs",147004755,1,201312,KENSINGTON MORTGAGES,500,2014-03-12
Community Based Services,Supplies and Services,"Grants, Contribs & Subs",147004469,1,201312,ROSS ESTATES,1100.00,2014-03-07
Community Based Services,Supplies and Services,"Grants, Contribs & Subs",147004901,1,201312,ANDREW CRAIG LTD,1090.00,2014-03-17
Community Based Services,Supplies and Services,"Licenses, Housing, Fees",43782301,0,201312,GATEWAY STUDIO PROJECT,1500.00,2014-03-19
Community Based Services,Supplies and Services,"Licenses, Housing, Fees",43783636,0,201312,LINDY JAZZ,600,2014-03-26
Community Based Services,Supplies and Services,"Licenses, Housing, Fees",41057080,2,201312,REDACTED - Personal Information,300,2014-03-06
Community Based Services,Supplies and Services,"Licenses, Housing, Fees",41057084,1,201312,REDACTED - Personal Information,1000.00,2014-03-06
Community Based Services,Supplies and Services,"Licenses, Housing, Fees",41059614,1,201312,REDACTED - Personal Information,950,2014-03-20
Community Based Services,Supplies and Services,"Licenses, Housing, Fees",41059618,1,201312,REDACTED - Personal Information,517,2014-03-20
Community Based Services,Supplies and Services,"Licenses, Housing, Fees",41059620,1,201312,REDACTED - Personal Information,2000.00,2014-03-20
Community Based Services,Supplies and Services,"Licenses, Housing, Fees",43783188,0,201312,RASKL LTD,950,2014-03-24
Community Based Services,Supplies and Services,"Licenses, Housing, Fees",41059054,1,201312,REDACTED - Personal Information,425,2014-03-18
Community Based Services,Supplies and Services,"Licenses, Housing, Fees",41059613,1,201312,REDACTED - Personal Information,750,2014-03-20
Community Based Services,Supplies and Services,"Licenses, Housing, Fees",41059615,1,201312,S BURN,500,2014-03-20
Community Based Services,Supplies and Services,"Licenses, Housing, Fees",41059619,2,201312,REDACTED - Personal Information,1250.00,2014-03-20
Community Based Services,Supplies and Services,"Licenses, Housing, Fees",41059620,2,201312,REDACTED - Personal Information,250,2014-03-20
Community Based Services,Supplies and Services,"Licenses, Housing, Fees",43780126,0,201312,P WOOD,1153.00,2014-03-11
Community Based Services,Supplies and Services,"Licenses, Housing, Fees",43782314,0,201312,GEM ARTS,2000.00,2014-03-19
Community Based Services,Supplies and Services,"Licenses, Housing, Fees",43782645,0,201312,BREAD & BUTTER THEATRE COMPANY LTD,600,2014-03-20
Community Based Services,Supplies and Services,"Licenses, Housing, Fees",43783139,0,201312,BILL QUAY FABRIC WORKSHOP,1000.00,2014-03-24
Community Based Services,Supplies and Services,"Licenses, Housing, Fees",43785194,0,201312,NEW CENTURY RAGTIME ORCHESTRA,810,2014-03-31
Community Based Services,Supplies and Services,"Licenses, Housing, Fees",43785205,0,201312,SKIMSTONE PERFORMANCE COMPANY LTD,500,2014-03-31
Community Based Services,Supplies and Services,Advertising,43782327,0,201312,CRACK LTD,630,2014-03-19
Community Based Services,Supplies and Services,"Furn, Equip & Mats",43779119,0,201312,STAGE ELECTRICS PARTNERSHIP LTD,416.5,2014-03-06
Community Based Services,Supplies and Services,"Licenses, Housing, Fees",41060700,1,201312,GLOBAL DESIGN SOLUTIONS,5150.00,2014-03-25
Community Based Services,Supplies and Services,"Licenses, Housing, Fees",41059819,1,201312,NORTHERN PRINT STUDIO LTD,500,2014-03-20
Community Based Services,Supplies and Services,"Licenses, Housing, Fees",43781196,0,201312,THE RIP,415.99,2014-03-17
Community Based Services,Supplies and Services,Advertising,41056574,1,201312,CRACK LTD,380,2014-03-04
Community Based Services,Supplies and Services,"Licenses, Housing, Fees",41059655,1,201312,C C CHIU,653.4,2014-03-20
Community Based Services,Supplies and Services,"Licenses, Housing, Fees",43783648,0,201312,CC-CREATIVE WORKSHOPS,800,2014-03-26
Community Based Services,Supplies and Services,"Licenses, Housing, Fees",41058213,1,201312,REDACTED - Personal Information,2500.00,2014-03-17
Community Based Services,Supplies and Services,"Licenses, Housing, Fees",41059619,1,201312,REDACTED - Personal Information,1000.00,2014-03-20
Community Based Services,Supplies and Services,"Licenses, Housing, Fees",41059621,1,201312,REDACTED - Personal Information,1550.00,2014-03-20
Community Based Services,Supplies and Services,"Licenses, Housing, Fees",41059623,1,201312,REDACTED - Personal Information,2400.00,2014-03-20
Community Based Services,Supplies and Services,"Licenses, Housing, Fees",43781987,0,201312,MARK SAVAGE PHOTOGRAPHY,1500.00,2014-03-19
Community Based Services,Supplies and Services,"Licenses, Housing, Fees",43782640,0,201312,BASELINE SHIFT,2500.00,2014-03-20
Community Based Services,Supplies and Services,"Licenses, Housing, Fees",43782641,0,201312,BASELINE SHIFT,2500.00,2014-03-20
Community Based Services,Supplies and Services,"Licenses, Housing, Fees",147005015,1,201312,REDACTED - Personal Information,1400.00,2014-03-24
Community Based Services,Supplies and Services,"Licenses, Housing, Fees",147005016,1,201312,REDACTED - Personal Information,1750.00,2014-03-24
Community Based Services,Supplies and Services,"Licenses, Housing, Fees",147005017,1,201312,REDACTED - Personal Information,1750.00,2014-03-24
Community Based Services,Supplies and Services,"Licenses, Housing, Fees",41059067,1,201312,REDACTED - Personal Information,600,2014-03-18
Community Based Services,Supplies and Services,"Licenses, Housing, Fees",41059681,1,201312,REDACTED - Personal Information,1500.00,2014-03-20
Community Based Services,Supplies and Services,"Licenses, Housing, Fees",41059685,1,201312,REDACTED - Personal Information,1500.00,2014-03-20
Community Based Services,Supplies and Services,"Licenses, Housing, Fees",41057086,1,201312,REDACTED - Personal Information,1200.00,2014-03-06
Community Based Services,Supplies and Services,"Licenses, Housing, Fees",41057087,1,201312,REDACTED - Personal Information,2500.00,2014-03-06
Community Based Services,Supplies and Services,"Licenses, Housing, Fees",41058214,1,201312,REDACTED - Personal Information,1850.00,2014-03-17
Community Based Services,Supplies and Services,"Licenses, Housing, Fees",41058218,1,201312,REDACTED - Personal Information,1200.00,2014-03-17
Community Based Services,Supplies and Services,"Licenses, Housing, Fees",43783166,0,201312,STAN DAWSON TIMBER & STEEL,1000.00,2014-03-24
Community Based Services,Supplies and Services,"Licenses, Housing, Fees",43782319,0,201312,MITCHELL MUSIC,988.8,2014-03-19
Community Based Services,Third Party Payments,Third Party Payments,41053268,1,201312,NORTH MUSIC TRUST,108867.00,2014-03-11
Community Based Services,Employees,Indirect Employee Expenses,43775982,0,201312,J GRAY T/A JPG First Aid & Safety Training Service,450,2014-03-03
Community Based Services,Employees,Indirect Employee Expenses,43782636,0,201312,CIMSPA,405,2014-03-25
Community Based Services,Supplies and Services,Comms & Computing,43782662,0,201312,CCS MEDIA LTD,477,2014-03-20
Community Based Services,Supplies and Services,Comms & Computing,43782673,0,201312,XN LEISURE SYSTEMS LIMITED,400,2014-03-27
Community Based Services,Supplies and Services,"Grants, Contribs & Subs",43781839,0,201312,ACCESS POINT,985,2014-03-19
Community Based Services,Supplies and Services,"Furn, Equip & Mats",43778422,0,201312,LONDON WALL INSTALLATIONS LIMITED,570,2014-03-12
Community Based Services,Supplies and Services,Catering & Provisions,41057937,1,201312,3663,1185.56,2014-03-13
Community Based Services,Supplies and Services,Catering & Provisions,41058103,1,201312,HEINEKEN UK,4293.83,2014-03-14
Community Based Services,Supplies and Services,Catering & Provisions,41056318,1,201312,AUTOBAR VENDING SERVICES LTD,1789.75,2014-03-03
Community Based Services,Supplies and Services,Catering & Provisions,41057950,1,201312,BATLEYS LTD,127.17,2014-03-13
Community Based Services,Supplies and Services,Catering & Provisions,41057950,2,201312,BATLEYS LTD,408.85,2014-03-13
Community Based Services,Supplies and Services,Catering & Provisions,41058793,1,201312,COCA-COLA ENTERPRISES LTD,532.76,2014-03-19
Community Based Services,Supplies and Services,Catering & Provisions,41060710,1,201312,HEINEKEN UK,1549.52,2014-03-28
Community Based Services,Supplies and Services,Catering & Provisions,41061080,1,201312,CORE CATERING MAINTENANCE CONTRACTS LTD,1550.00,2014-03-28
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",147005172,1,201312,REDACTED - Personal Information,645.83,2014-03-28
Community Based Services,Premises,Energy,41058286,1,201312,ENER-G COMBINED POWER LTD,1654.77,2014-03-18
Community Based Services,Supplies and Services,"Furn, Equip & Mats",41058023,1,201312,BRENNTAG UK LTD,534.34,2014-03-13
Community Based Services,Supplies and Services,"Furn, Equip & Mats",41061134,1,201312,BRENNTAG UK LTD,534.34,2014-03-27
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",147005024,1,201312,GATESHEAD LEAM LANE ABC,713,2014-03-25
Community Based Services,Premises,Rep & Maint,43779427,0,201312,TRAMP-TECH,1963.74,2014-03-07
Community Based Services,Premises,Energy,41058282,1,201312,ENER-G COMBINED POWER LTD,2488.23,2014-03-17
Community Based Services,Supplies and Services,"Furn, Equip & Mats",43783080,0,201312,PRESTIGE PUMPS LIMITED,1631.80,2014-03-25
Community Based Services,Supplies and Services,"Furn, Equip & Mats",43783081,0,201312,PRESTIGE PUMPS LIMITED,1656.80,2014-03-25
Community Based Services,Supplies and Services,"Furn, Equip & Mats",43778201,0,201312,BUNZL CLEANING & HYGIENE SUPPLIES,614.66,2014-03-04
Community Based Services,Supplies and Services,"Furn, Equip & Mats",43783200,0,201312,BUNZL CLEANING & HYGIENE SUPPLIES,701.35,2014-03-27
Community Based Services,Supplies and Services,"Furn, Equip & Mats",43779778,0,201312,NLS SECURITY LTD,650,2014-03-17
Community Based Services,Supplies and Services,"Furn, Equip & Mats",41057778,1,201312,BRENNTAG UK LTD,556.9,2014-03-12
Community Based Services,Supplies and Services,"Furn, Equip & Mats",41061101,1,201312,BRENNTAG UK LTD,614.23,2014-03-26
Community Based Services,Supplies and Services,"Furn, Equip & Mats",43783198,0,201312,THE BIGGER SCENE LTD,405,2014-03-27
Community Based Services,Supplies and Services,Catering & Provisions,41056309,1,201312,BATLEYS LTD,281.06,2014-03-10
Community Based Services,Supplies and Services,Catering & Provisions,41056309,2,201312,BATLEYS LTD,170.68,2014-03-10
Community Based Services,Supplies and Services,Catering & Provisions,41057759,1,201312,HEPSCOTT WATER SYSTEMS LTD,418.08,2014-03-12
Community Based Services,Supplies and Services,Catering & Provisions,41057766,1,201312,COCA-COLA ENTERPRISES LTD,636.38,2014-03-12
Community Based Services,Supplies and Services,Catering & Provisions,41057781,1,201312,COCA-COLA ENTERPRISES LTD,417.92,2014-03-12
Community Based Services,Supplies and Services,Catering & Provisions,41058796,1,201312,BATLEYS LTD,164.8,2014-03-20
Community Based Services,Supplies and Services,Catering & Provisions,41058796,2,201312,BATLEYS LTD,235.64,2014-03-20
Community Based Services,Supplies and Services,Catering & Provisions,41060760,1,201312,BATLEYS LTD,212.55,2014-03-26
Community Based Services,Supplies and Services,Catering & Provisions,41060760,2,201312,BATLEYS LTD,231.05,2014-03-26
Community Based Services,Supplies and Services,Catering & Provisions,41061095,1,201312,COCA-COLA ENTERPRISES LTD,347.38,2014-03-26
Community Based Services,Supplies and Services,Catering & Provisions,41056315,1,201312,GM PACKAGING UK LTD,351.79,2014-03-10
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",147004714,1,201312,COMPETITION LINE UK LTD,642.48,2014-03-13
Community Based Services,Income: Fees and Charges,"Charges, Fees & Income",147004714,2,201312,COMPETITION LINE UK LTD,75.5,2014-03-13
Community Based Services,Premises,Energy,41058288,1,201312,ENER-G COMBINED POWER LTD,1517.18,2014-03-18
Community Based Services,Supplies and Services,"Furn, Equip & Mats",43783671,0,201312,SPORTS RETAIL SOLUTIONS,364.2,2014-03-31
Community Based Services,Supplies and Services,"Furn, Equip & Mats",43779279,0,201312,BRENNTAG UK LTD,1132.53,2014-03-10
Community Based Services,Third Party Payments,Third Party Payments,43776919,0,201312,POOL DIVING SOLUTIONS,1670.00,2014-03-19
Community Based Services,Premises,Rep & Maint,43777656,0,201312,ROCKWORKS LTD,1137.60,2014-03-19
Community Based Services,Premises,Energy,41058284,1,201312,ENER-G COMBINED POWER LTD,1588.45,2014-03-18
Community Based Services,Supplies and Services,"Furn, Equip & Mats",43778596,0,201312,BRENNTAG UK LTD,556.9,2014-03-13
Community Based Services,Supplies and Services,"Furn, Equip & Mats",43780981,0,201312,BROXAP LTD,1718.00,2014-03-17
Community Based Services,Supplies and Services,"Licenses, Housing, Fees",43778597,0,201312,ASA AWARDS SCHEME,565.9,2014-03-05
Community Based Services,Premises,Energy,41058280,1,201312,ENER-G COMBINED POWER LTD,1628.31,2014-03-18
Community Based Services,Supplies and Services,"Furn, Equip & Mats",43773069,0,201312,MAUDESPORT LTD,513.57,2014-03-13
Community Based Services,Supplies and Services,"Furn, Equip & Mats",43779428,0,201312,GREEN ROUTE ENERGY,568.31,2014-03-07
Community Based Services,Supplies and Services,"Furn, Equip & Mats",41056832,1,201312,DE LAGE LANDEN LEASING LTD,2120.61,2014-03-05
Community Based Services,Supplies and Services,"Furn, Equip & Mats",41059293,1,201312,ING LEASE UK LTD,428,2014-03-19
Community Based Services,Supplies and Services,"Furn, Equip & Mats",43777861,0,201312,ITAB SHOP PRODUCTS,990,2014-03-06
Community Based Services,Supplies and Services,"Furn, Equip & Mats",43783180,0,201312,ABCA SYSTEMS LTD,363.88,2014-03-27
Community Based Services,Premises,Highways Maint,43785118,0,201312,FRONTRUNNER,501.55,2014-03-31
Community Based Services,Transport,Contract Hire,43785096,0,201312,ALAN FAIRBAIRN MARQUEE HIRE,918,2014-03-31
Community Based Services,Supplies and Services,"Furn, Equip & Mats",41058840,1,201312,SPEEDY ASSET SERVICES LIMITED,736.6,2014-03-19
Community Based Services,Premises,Security & Insurance,43782446,0,201312,PES SECURITY,799,2014-03-20
Community Based Services,Supplies and Services,"Licenses, Housing, Fees",43780691,0,201312,NOVA INTERNATIONAL LTD,30000.00,2014-03-13
