Strgrp(T),Cipfsubj(T),Cipfsubs(T),TransNo,Seq No,Period,Supplier id(T),Amount,Updated,GC Supplier red,VAT RegNo,Report,Type
Community Based Services,Supplies and Services,Comms & Computing,42333726,446,201202,O2 (UK) LTD,13.00,2012-05-09,6404604GC,,TRDATA1R,Revenue
Community Based Services,Supplies and Services,Comms & Computing,42333726,447,201202,O2 (UK) LTD,13.00,2012-05-09,6404604GC,,TRDATA1R,Revenue
Community Based Services,Supplies and Services,Comms & Computing,42333726,448,201202,O2 (UK) LTD,13.00,2012-05-09,6404604GC,,TRDATA1R,Revenue
Community Based Services,Supplies and Services,Comms & Computing,42333726,449,201202,O2 (UK) LTD,13.00,2012-05-09,6404604GC,,TRDATA1R,Revenue
Community Based Services,Supplies and Services,Comms & Computing,42333726,450,201202,O2 (UK) LTD,16.56,2012-05-09,6404604GC,,TRDATA1R,Revenue
Community Based Services,Supplies and Services,Comms & Computing,42333726,451,201202,O2 (UK) LTD,19.92,2012-05-09,6404604GC,,TRDATA1R,Revenue
Community Based Services,Supplies and Services,Comms & Computing,42333726,452,201202,O2 (UK) LTD,3.67,2012-05-09,6404604GC,,TRDATA1R,Revenue
Community Based Services,Supplies and Services,Comms & Computing,42333832,4,201202,VODAFONE CORPORATE LTD,93.33,2012-05-09,6128592GC,GB569953277,TRDATA1R,Revenue
Community Based Services,Supplies and Services,Comms & Computing,42334806,2,201202,VIRGIN MEDIA BUSINESS,355.00,2012-05-14,3196734GC,GB591819014,TRDATA1R,Revenue
Community Based Services,Supplies and Services,Comms & Computing,42333726,368,201202,O2 (UK) LTD,14.74,2012-05-09,6404604GC,,TRDATA1R,Revenue
Community Based Services,Supplies and Services,Comms & Computing,42333726,373,201202,O2 (UK) LTD,17.53,2012-05-09,6404604GC,,TRDATA1R,Revenue
Community Based Services,Supplies and Services,Comms & Computing,42333726,374,201202,O2 (UK) LTD,22.19,2012-05-09,6404604GC,,TRDATA1R,Revenue
Community Based Services,Supplies and Services,Comms & Computing,42333726,375,201202,O2 (UK) LTD,4.12,2012-05-09,6404604GC,,TRDATA1R,Revenue
Community Based Services,Supplies and Services,Miscellaneous Supplies,42334326,2,201202,YOUR HOMES NEWCASTLE,3275.45,2012-05-11,3186510GC,GB 837 5465 95,TRDATA1R,Revenue
Community Based Services,Supplies and Services,Miscellaneous Supplies,42333365,2,201202,GE MONEY HOME LENDING,955.63,2012-05-08,3210243GC,,TRDATA1R,Revenue
Community Based Services,Supplies and Services,Miscellaneous Supplies,42335339,2,201202,REDACTED - Personal Information,500.00,2012-05-15,3238992GC,,TRDATA1R,Revenue
Community Based Services,Supplies and Services,"Licenses, Housing, Fees",42333722,2,201202,REDACTED - Personal Information,700.00,2012-05-09,3222000GC,,TRDATA1R,Revenue
Community Based Services,Supplies and Services,"Licenses, Housing, Fees",42333724,2,201202,REDACTED - Personal Information,1500.00,2012-05-09,3001590GC,,TRDATA1R,Revenue
Community Based Services,Supplies and Services,Comms & Computing,42333726,302,201202,O2 (UK) LTD,13.96,2012-05-09,6404604GC,,TRDATA1R,Revenue
Community Based Services,Supplies and Services,"Furn, Equip & Mats",43683598,3,201202,STAGE ELECTRICS PARTNERSHIP LTD,1013.80,2012-05-17,3008817GC,793 8836 61,TRDATA1R,Revenue
Community Based Services,Supplies and Services,"Furn, Equip & Mats",43683598,4,201202,STAGE ELECTRICS PARTNERSHIP LTD,324.66,2012-05-17,3008817GC,793 8836 61,TRDATA1R,Revenue
Community Based Services,Supplies and Services,"Licenses, Housing, Fees",43683519,2,201202,HEWORTH GRANGE COMP. SCHOOL,1500.00,2012-05-17,6306111GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42332617,2,201202,BALTIC FLOUR MILLS VISUAL ARTS TRUST,119346.75,2012-05-03,3007056GC,GB 790 0716 32,TRDATA1R,Revenue
Community Based Services,Premises,Rep & Maint,42337085,2,201202,ADT FIRE & SECURITY PLC,842.84,2012-05-22,6080409GC,413633086,TRDATA1R,Revenue
Community Based Services,Supplies and Services,Comms & Computing,42333726,298,201202,O2 (UK) LTD,2.49,2012-05-09,6404604GC,,TRDATA1R,Revenue
Community Based Services,Supplies and Services,Miscellaneous Supplies,42336045,2,201202,JG  WINDOWS LTD,552.04,2012-05-17,6047286GC,176 4599 16,TRDATA1R,Revenue
Community Based Services,Supplies and Services,Miscellaneous Supplies,42339261,2,201202,CHANGEOVER,351.73,2012-05-30,6377214GC,785 1072 22,TRDATA1R,Revenue
Community Based Services,Premises,Rep & Maint,42337081,2,201202,ADT FIRE & SECURITY PLC,489.96,2012-05-22,6080409GC,413633086,TRDATA1R,Revenue
Community Based Services,Premises,Rep & Maint,42337082,2,201202,ADT FIRE & SECURITY PLC,527.42,2012-05-22,6080409GC,413633086,TRDATA1R,Revenue
Community Based Services,Premises,Rep & Maint,42337083,2,201202,ADT FIRE & SECURITY PLC,452.81,2012-05-22,6080409GC,413633086,TRDATA1R,Revenue
Community Based Services,Premises,Rep & Maint,42337084,2,201202,ADT FIRE & SECURITY PLC,502.14,2012-05-22,6080409GC,413633086,TRDATA1R,Revenue
Community Based Services,Supplies and Services,Comms & Computing,42339239,2,201202,VIRGIN MEDIA BUSINESS,537.87,2012-05-30,3192597GC,GB591819014,TRDATA1R,Revenue
Community Based Services,Supplies and Services,"Furn, Equip & Mats",43681821,2,201202,ASKEWS LIBRARY SERVICES LTD,4400.36,2012-05-04,6001635GC,GB153400995,TRDATA1R,Revenue
Community Based Services,Supplies and Services,"Furn, Equip & Mats",43681822,2,201202,ASKEWS LIBRARY SERVICES LTD,4176.20,2012-05-04,6001635GC,GB153400995,TRDATA1R,Revenue
Community Based Services,Supplies and Services,"Furn, Equip & Mats",43681823,2,201202,ASKEWS LIBRARY SERVICES LTD,2668.05,2012-05-04,6001635GC,GB153400995,TRDATA1R,Revenue
Community Based Services,Supplies and Services,"Furn, Equip & Mats",43681824,2,201202,ASKEWS LIBRARY SERVICES LTD,2454.43,2012-05-04,6001635GC,GB153400995,TRDATA1R,Revenue
Community Based Services,Supplies and Services,"Furn, Equip & Mats",43682731,2,201202,LEHMANNS,444.50,2012-05-11,3047340GC,176 7865 06,TRDATA1R,Revenue
Community Based Services,Supplies and Services,"Furn, Equip & Mats",43682734,2,201202,ASKEWS LIBRARY SERVICES LTD,3270.56,2012-05-11,6001635GC,GB153400995,TRDATA1R,Revenue
Community Based Services,Supplies and Services,"Furn, Equip & Mats",43685423,2,201202,ASKEWS LIBRARY SERVICES LTD,4937.56,2012-05-30,6001635GC,GB153400995,TRDATA1R,Revenue
Community Based Services,Supplies and Services,"Furn, Equip & Mats",43685424,2,201202,ASKEWS LIBRARY SERVICES LTD,2594.68,2012-05-30,6001635GC,GB153400995,TRDATA1R,Revenue
Community Based Services,Supplies and Services,"Furn, Equip & Mats",43685425,2,201202,ASKEWS LIBRARY SERVICES LTD,5340.90,2012-05-30,6001635GC,GB153400995,TRDATA1R,Revenue
Community Based Services,Supplies and Services,"Furn, Equip & Mats",43685426,2,201202,ASKEWS LIBRARY SERVICES LTD,1395.50,2012-05-30,6001635GC,GB153400995,TRDATA1R,Revenue
Community Based Services,Supplies and Services,Miscellaneous Supplies,42333776,2,201202,BLISSETT BOOKBINDERS,965.28,2012-05-09,3124023GC,226510002,TRDATA1R,Revenue
Community Based Services,Supplies and Services,"Furn, Equip & Mats",43681814,2,201202,MICROFILM BUREAU NE LTD,2061.51,2012-05-04,6425868GC,176 7378 17,TRDATA1R,Revenue
Community Based Services,Supplies and Services,"Printing, Stationery etc",43685410,2,201202,KOMPASS,1112.00,2012-05-30,3182550GC,,TRDATA1R,Revenue
Community Based Services,Supplies and Services,"Printing, Stationery etc",43685422,2,201202,GAP BOOKS,515.00,2012-05-30,3158964GC,,TRDATA1R,Revenue
Community Based Services,Supplies and Services,Comms & Computing,42333726,299,201202,O2 (UK) LTD,2.17,2012-05-09,6404604GC,,TRDATA1R,Revenue
Community Based Services,Supplies and Services,"Printing, Stationery etc",43683590,2,201202,SUPPLIES TEAM LTD,526.32,2012-05-17,6210621GC,391085740,TRDATA1R,Revenue
Community Based Services,Supplies and Services,Comms & Computing,42333726,300,201202,O2 (UK) LTD,26.75,2012-05-09,6404604GC,,TRDATA1R,Revenue
Community Based Services,Supplies and Services,Comms & Computing,42333832,3,201202,VODAFONE CORPORATE LTD,303.03,2012-05-09,6128592GC,GB569953277,TRDATA1R,Revenue
Community Based Services,Supplies and Services,Miscellaneous Supplies,43683582,2,201202,THOMAS OWEN & SONS LTD,459.40,2012-05-17,6033240GC,175 8057 38,TRDATA1R,Revenue
Community Based Services,Supplies and Services,Miscellaneous Supplies,43683584,2,201202,H C  SLINGSBY PLC,385.00,2012-05-17,6038949GC,,TRDATA1R,Revenue
Community Based Services,Supplies and Services,Comms & Computing,42335963,14,201202,NCC SERVICES LTD,600.00,2012-05-16,3016671GC,732 3345 56,TRDATA1R,Revenue
Community Based Services,Supplies and Services,Comms & Computing,43683514,2,201202,TALIS INFORMATION LTD,50461.00,2012-05-17,6371745GC,416935047,TRDATA1R,Revenue
Community Based Services,Supplies and Services,Comms & Computing,43684405,2,201202,TALIS INFORMATION LTD,800.00,2012-05-23,6371745GC,416935047,TRDATA1R,Revenue
Community Based Services,Supplies and Services,Miscellaneous Supplies,43681827,2,201202,MADELEINE LINDLEY LTD,435.24,2012-05-04,6167895GC,GB508204868,TRDATA1R,Revenue
Community Based Services,Transport,Public Transport and Taxi Fares,42334081,32,201202,TRAVEL BUREAU,422.89,2012-05-10,6314493GC,,TRDATA1R,Revenue
Community Based Services,Supplies and Services,Comms & Computing,42333726,301,201202,O2 (UK) LTD,0.48,2012-05-09,6404604GC,,TRDATA1R,Revenue
Community Based Services,Supplies and Services,Comms & Computing,42333726,416,201202,O2 (UK) LTD,29.97,2012-05-09,6404604GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,271,201202,COMMUNITY INTEGRATED CARE,9434.84,2012-05-23,8400774GC,764690596,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,382,201202,FOUR SEASONS HEALTHCARE LTD,8860.72,2012-05-23,8400873GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,391,201202,FOUR SEASONS HEALTHCARE LTD,1568.16,2012-05-23,8400873GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,751,201202,FOUR SEASONS HEALTHCARE LTD,311.40,2012-05-23,8400873GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,412,201202,FOUR SEASONS HEALTHCARE LTD,598.40,2012-05-23,8400873GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,467,201202,WHICKHAM VILLA,4800.00,2012-05-23,8400483GC,,TRDATA1R,Revenue
Community Based Services,Premises,Rent,42337207,2,201202,ENTERPRISE 5 HOUSING ASSOC,1120.77,2012-05-22,8400060GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42331821,2,201202,LIFEWAYS COMMUNITY CARE,34793.59,2012-05-01,3102729GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42331822,2,201202,LIFEWAYS COMMUNITY CARE,34793.59,2012-05-01,3102729GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42331823,2,201202,LIFEWAYS COMMUNITY CARE,34793.59,2012-05-01,3102729GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42331836,2,201202,CREATIVE SUPPORT,1631.84,2012-05-01,3006732GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42331837,2,201202,CREATIVE SUPPORT,11750.62,2012-05-31,3006732GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42331850,2,201202,MENCAP,13397.56,2012-05-01,3007470GC,791 4831 06,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42331861,2,201202,LIFEWAYS COMMUNITY CARE,34793.59,2012-05-01,3102729GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42331862,7,201202,MENCAP,6742.53,2012-05-01,3007470GC,791 4831 06,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42331862,11,201202,MENCAP,943.32,2012-05-01,3007470GC,791 4831 06,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42331862,12,201202,MENCAP,6839.95,2012-05-01,3007470GC,791 4831 06,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42331862,13,201202,MENCAP,3051.20,2012-05-01,3007470GC,791 4831 06,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42332004,2,201202,INTERACTIVE DEVELOPMENT LTD,21398.02,2012-05-01,3022245GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42332006,2,201202,INTERACTIVE DEVELOPMENT LTD,9861.92,2012-05-01,3022245GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42332010,3,201202,INTERACTIVE DEVELOPMENT LTD,12443.40,2012-05-01,3022245GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42332012,2,201202,INTERACTIVE DEVELOPMENT LTD,9190.16,2012-05-01,3022245GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42332014,2,201202,INTERACTIVE DEVELOPMENT LTD,19246.50,2012-05-01,3022245GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42333220,4,201202,COMMUNITY INTEGRATED CARE,14923.50,2012-05-04,8400774GC,764690596,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42333220,5,201202,COMMUNITY INTEGRATED CARE,6926.30,2012-05-04,8400774GC,764690596,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42333220,6,201202,COMMUNITY INTEGRATED CARE,11409.94,2012-05-04,8400774GC,764690596,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42333220,7,201202,COMMUNITY INTEGRATED CARE,6933.92,2012-05-04,8400774GC,764690596,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42333220,8,201202,COMMUNITY INTEGRATED CARE,17311.06,2012-05-04,8400774GC,764690596,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42333220,9,201202,COMMUNITY INTEGRATED CARE,22516.44,2012-05-04,8400774GC,764690596,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42333220,10,201202,COMMUNITY INTEGRATED CARE,13208.48,2012-05-04,8400774GC,764690596,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42333220,11,201202,COMMUNITY INTEGRATED CARE,8631.42,2012-05-04,8400774GC,764690596,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42334808,2,201202,INTERACTIVE DEVELOPMENT LTD,1373.63,2012-05-14,3022245GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42334809,2,201202,INTERACTIVE DEVELOPMENT LTD,934.94,2012-05-14,3022245GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42334811,2,201202,INTERACTIVE DEVELOPMENT LTD,914.80,2012-05-14,3022245GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42335779,2,201202,COQUET TRUST,3370.00,2012-05-16,6370227GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42337306,4,201202,COMMUNITY INTEGRATED CARE,14923.50,2012-05-22,8400774GC,764690596,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42337306,5,201202,COMMUNITY INTEGRATED CARE,6926.30,2012-05-22,8400774GC,764690596,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42337306,6,201202,COMMUNITY INTEGRATED CARE,11409.94,2012-05-22,8400774GC,764690596,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42337306,7,201202,COMMUNITY INTEGRATED CARE,17311.06,2012-05-22,8400774GC,764690596,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42337306,8,201202,COMMUNITY INTEGRATED CARE,22516.44,2012-05-22,8400774GC,764690596,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42337306,9,201202,COMMUNITY INTEGRATED CARE,8631.42,2012-05-22,8400774GC,764690596,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42337306,10,201202,COMMUNITY INTEGRATED CARE,13208.48,2012-05-22,8400774GC,764690596,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42337306,11,201202,COMMUNITY INTEGRATED CARE,6933.92,2012-05-22,8400774GC,764690596,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42337307,4,201202,TANGLEWOOD MEWS,3007.32,2012-05-22,3238719GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42337309,4,201202,TANGLEWOOD MEWS,28068.35,2012-05-22,3238719GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42337316,3,201202,COQUET TRUST,17471.96,2012-05-22,6370227GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42337317,2,201202,UNITED RESPONSE,31120.17,2012-05-22,6325731GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42337402,2,201202,MENCAP,13397.56,2012-05-23,3007470GC,791 4831 06,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42337407,2,201202,CREATIVE SUPPORT,11750.62,2012-05-23,3006732GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42337408,2,201202,CREATIVE SUPPORT,1631.84,2012-05-23,3006732GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42337409,2,201202,LIFEWAYS COMMUNITY CARE,34793.59,2012-05-23,3102729GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42339630,7,201202,MENCAP,6742.53,2012-05-31,3007470GC,791 4831 06,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42339630,11,201202,MENCAP,943.32,2012-05-31,3007470GC,791 4831 06,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42339630,12,201202,MENCAP,6839.95,2012-05-31,3007470GC,791 4831 06,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42339630,13,201202,MENCAP,3051.20,2012-05-31,3007470GC,791 4831 06,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42332471,2,201202,KISHARON,8484.24,2012-05-02,3209997GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42332472,2,201202,KISHARON,8484.24,2012-05-02,3209997GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42332473,2,201202,KISHARON,8484.24,2012-05-02,3209997GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42332474,2,201202,KISHARON,8484.24,2012-05-02,3209997GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42332475,2,201202,KISHARON,8484.24,2012-05-02,3209997GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42332476,2,201202,KISHARON,8484.24,2012-05-02,3209997GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42332477,2,201202,KISHARON,8484.24,2012-05-02,3209997GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42332478,2,201202,KISHARON,8484.24,2012-05-02,3209997GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42332479,2,201202,KISHARON,8484.24,2012-05-02,3209997GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42337406,2,201202,CAMPHILL VILLAGE TRUST,4557.02,2012-05-23,6301569GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42331827,4,201202,ESPA LTD,6428.08,2012-05-01,8400219GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42331831,4,201202,ESPA LTD,6428.08,2012-05-01,8400219GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42337398,3,201202,ESPA LTD,6428.08,2012-05-23,8400219GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,148,201202,UNITED RESPONSE,7718.32,2012-05-23,6325731GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,155,201202,UNITED RESPONSE,11257.68,2012-05-23,6325731GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,270,201202,COMMUNITY INTEGRATED CARE,8614.40,2012-05-23,8400774GC,764690596,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,274,201202,COMMUNITY INTEGRATED CARE,18272.92,2012-05-23,8400774GC,764690596,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,284,201202,COMMUNITY INTEGRATED CARE,1947.88,2012-05-23,8400774GC,764690596,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,296,201202,ASHDOWN CARE HOMES LTD,2700.72,2012-05-23,8400633GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,297,201202,ASHDOWN CARE HOMES LTD,3310.92,2012-05-23,8400633GC,,TRDATA1R,Revenue
