Strategic Group,Spend Level 1,Spend Level 2,TransNo,Seq no,Period,Supplier Text,Amount,Updated
Central Services,Supplies and Services,Comms & Computing,43600248,2,201009,CAPITA BUSINESS SERVICES LTD,1662.5,2010-12-20
Central Services,Works,,42197659,2,201009,DJM FABRICATIONS LTD,1296,2010-12-31
Central Services,Works,,42197660,2,201009,DJM FABRICATIONS LTD,6296,2010-12-31
Central Services,Supplies and Services,Comms & Computing,43599993,2,201009,OPAL COMPUTER SOLUTIONS,4870,2010-12-15
Central Services,Supplies and Services,"Grants, Contribs & Subs",43600142,2,201009,E-BOX LTD,416,2010-12-21
Central Services,Works,,42196758,2,201009,CHESHIRE SCIENTIFIC LTD,402,2010-12-23
Central Services,Supplies and Services,Comms & Computing,43601804,2,201009,SOFTCAT,401,2010-12-31
Central Services,Employees,Indirect Employee Expenses,43599694,2,201009,QA LTD,8850,2010-12-14
Central Services,Employees,Indirect Employee Expenses,42191676,2,201009,BEAMISH MUSEUM LTD,489.95,2010-12-08
Central Services,Supplies and Services,Miscellaneous Supplies,43598021,2,201009,RENWICK FRAMING,1620,2010-12-06
Central Services,Employees,Agency Staff,60091068,4,201009,COMENSURA LTD,596.44,2010-12-02
Central Services,Employees,Agency Staff,60091068,49,201009,COMENSURA LTD,4.4,2010-12-02
Central Services,Employees,Agency Staff,60091068,52,201009,COMENSURA LTD,795.15,2010-12-02
Central Services,Employees,Agency Staff,60091068,87,201009,COMENSURA LTD,379.78,2010-12-02
Central Services,Employees,Agency Staff,60091068,91,201009,COMENSURA LTD,749.97,2010-12-02
Central Services,Employees,Agency Staff,60091068,22,201009,COMENSURA LTD,922.24,2010-12-02
Central Services,Employees,Agency Staff,60091068,62,201009,COMENSURA LTD,978.48,2010-12-02
Central Services,Employees,Agency Staff,60091068,94,201009,COMENSURA LTD,319.2,2010-12-02
Central Services,Employees,Agency Staff,60091069,7,201009,COMENSURA LTD,749.97,2010-12-09
Central Services,Employees,Agency Staff,60091069,12,201009,COMENSURA LTD,596.44,2010-12-09
Central Services,Employees,Agency Staff,60091069,55,201009,COMENSURA LTD,547.33,2010-12-09
Central Services,Employees,Agency Staff,60091069,59,201009,COMENSURA LTD,749.97,2010-12-09
Central Services,Employees,Agency Staff,60091069,2,201009,COMENSURA LTD,658.75,2010-12-09
Central Services,Employees,Agency Staff,60091069,40,201009,COMENSURA LTD,801.81,2010-12-09
Central Services,Employees,Agency Staff,60091069,32,201009,COMENSURA LTD,343.55,2010-12-09
Central Services,Employees,Agency Staff,60091070,2,201009,COMENSURA LTD,749.97,2010-12-15
Central Services,Employees,Agency Staff,60091070,33,201009,COMENSURA LTD,596.44,2010-12-15
Central Services,Employees,Agency Staff,60091070,59,201009,COMENSURA LTD,749.97,2010-12-15
Central Services,Employees,Agency Staff,60091070,61,201009,COMENSURA LTD,681.37,2010-12-15
Central Services,Employees,Agency Staff,60091070,0,201009,COMENSURA LTD,1185.74,2010-12-15
Central Services,Employees,Agency Staff,60091070,52,201009,COMENSURA LTD,1005.66,2010-12-15
Central Services,Employees,Agency Staff,60091070,3,201009,COMENSURA LTD,443.64,2010-12-15
Central Services,Employees,Agency Staff,60091070,47,201009,COMENSURA LTD,39.11,2010-12-15
Central Services,Employees,Agency Staff,60091070,72,201009,COMENSURA LTD,463.77,2010-12-15
Central Services,Employees,Agency Staff,60091071,43,201009,COMENSURA LTD,596.44,2010-12-22
Central Services,Employees,Agency Staff,60091071,59,201009,COMENSURA LTD,749.97,2010-12-22
Central Services,Employees,Agency Staff,60091071,69,201009,COMENSURA LTD,9.06,2010-12-22
Central Services,Employees,Agency Staff,60091071,71,201009,COMENSURA LTD,759.56,2010-12-22
Central Services,Employees,Agency Staff,60091071,78,201009,COMENSURA LTD,749.97,2010-12-22
Central Services,Employees,Agency Staff,60091071,79,201009,COMENSURA LTD,749.97,2010-12-22
Central Services,Employees,Agency Staff,60091071,10,201009,COMENSURA LTD,1185.76,2010-12-22
Central Services,Employees,Agency Staff,60091071,19,201009,COMENSURA LTD,1005.66,2010-12-22
Central Services,Employees,Agency Staff,60091071,82,201009,COMENSURA LTD,419.29,2010-12-22
Central Services,Employees,Agency Staff,60091071,25,201009,COMENSURA LTD,466.88,2010-12-22
Central Services,Employees,Agency Staff,60091071,28,201009,COMENSURA LTD,20.51,2010-12-22
Central Services,Employees,Agency Staff,60091072,1,201009,COMENSURA LTD,749.97,2010-12-30
Central Services,Employees,Agency Staff,60091072,24,201009,COMENSURA LTD,446.8,2010-12-30
Central Services,Employees,Agency Staff,60091072,47,201009,COMENSURA LTD,456.06,2010-12-30
Central Services,Employees,Agency Staff,60091072,49,201009,COMENSURA LTD,596.44,2010-12-30
Central Services,Employees,Agency Staff,60091072,15,201009,COMENSURA LTD,774.63,2010-12-30
Central Services,Employees,Agency Staff,60091072,18,201009,COMENSURA LTD,922.25,2010-12-30
Central Services,Employees,Agency Staff,60091072,23,201009,COMENSURA LTD,335.42,2010-12-30
Central Services,Supplies and Services,Comms & Computing,43601368,2,201009,UNITED CARLTON OFFICE SYSTEMS,1947,2010-12-22
Central Services,Supplies and Services,Comms & Computing,43601372,2,201009,LANWAY CBS LTD,1351.09,2010-12-22
Central Services,Supplies and Services,"Grants, Contribs & Subs",42190661,2,201009,CIPFA BUSINESS LIMITED,780,2010-12-02
Central Services,Employees,Agency Staff,42191430,2,201009,REED SPECIALIST RECRUITMENT,384.43,2010-12-10
Central Services,Employees,Agency Staff,42191431,2,201009,REED SPECIALIST RECRUITMENT,384.43,2010-12-10
Central Services,Employees,Agency Staff,42194080,2,201009,REED SPECIALIST RECRUITMENT,384.43,2010-12-14
Central Services,Employees,Agency Staff,42194092,2,201009,REED SPECIALIST RECRUITMENT,384.43,2010-12-14
Central Services,Supplies and Services,Miscellaneous Supplies,43597356,2,201009,REED SPECIALIST RECRUITMENT,371.7,2010-12-01
Central Services,Supplies and Services,"Licenses, Housing, Fees",42195096,2,201009,ERNST & YOUNG LLP,1850,2010-12-17
Central Services,Supplies and Services,Comms & Computing,42190579,3,201009,VIRGIN MEDIA BUSINESS,175.74,2010-12-10
Central Services,Supplies and Services,Comms & Computing,42190579,4,201009,VIRGIN MEDIA BUSINESS,250.7,2010-12-10
Central Services,Supplies and Services,Comms & Computing,42191425,2,201009,VIRGIN MEDIA BUSINESS,3728.78,2010-12-10
Central Services,Supplies and Services,Comms & Computing,42191427,2,201009,VIRGIN MEDIA BUSINESS,375,2010-12-10
Central Services,Supplies and Services,Comms & Computing,42191433,2,201009,VIRGIN MEDIA BUSINESS,2202.39,2010-12-10
Central Services,Supplies and Services,Comms & Computing,42191453,3,201009,VIRGIN MEDIA BUSINESS,397.44,2010-12-10
Central Services,Supplies and Services,Comms & Computing,42191453,4,201009,VIRGIN MEDIA BUSINESS,549.24,2010-12-10
Central Services,Supplies and Services,Comms & Computing,42191965,2,201009,VIRGIN MEDIA BUSINESS,990.42,2010-12-10
Central Services,Supplies and Services,Comms & Computing,42196828,3,201009,VIRGIN MEDIA BUSINESS,7490.18,2010-12-23
Central Services,Purchase of Equipment,,43598475,4,201009,VIRGIN MEDIA BUSINESS,3680,2010-12-09
Central Services,Supplies and Services,Comms & Computing,43598565,2,201009,VIRGIN MEDIA BUSINESS,467.81,2010-12-09
Central Services,Supplies and Services,Comms & Computing,43598641,2,201009,VIRGIN MEDIA BUSINESS,1127,2010-12-09
Central Services,Supplies and Services,Comms & Computing,43598644,2,201009,VIRGIN MEDIA BUSINESS,830,2010-12-09
Central Services,Supplies and Services,Comms & Computing,43598645,2,201009,VIRGIN MEDIA BUSINESS,2942,2010-12-09
Central Services,Employees,Indirect Employee Expenses,43598646,3,201009,VIRGIN MEDIA BUSINESS,2400,2010-12-09
Central Services,Supplies and Services,Comms & Computing,43598646,4,201009,VIRGIN MEDIA BUSINESS,2400,2010-12-09
Central Services,Supplies and Services,"Printing, Stationery etc",43601297,2,201009,OFFICE TEAM LTD,626.52,2010-12-22
Central Services,Supplies and Services,Comms & Computing,43599469,2,201009,VERY PC LTD,728.3,2010-12-13
Central Services,Supplies and Services,"Licenses, Housing, Fees",42195984,2,201009,UNIT4 BUSINESS SOFTWARE LTD,1000,2010-12-21
Central Services,Supplies and Services,"Licenses, Housing, Fees",42195984,3,201009,UNIT4 BUSINESS SOFTWARE LTD,105,2010-12-21
Central Services,Supplies and Services,"Furn, Equip & Mats",43598038,2,201009,ANTALIS MCNAUGHTON LTD,387.69,2010-12-06
Central Services,Supplies and Services,"Furn, Equip & Mats",43598042,2,201009,ANTALIS MCNAUGHTON LTD,1446,2010-12-06
Central Services,Supplies and Services,"Furn, Equip & Mats",43598045,2,201009,ANTALIS MCNAUGHTON LTD,1560,2010-12-06
Central Services,Supplies and Services,"Furn, Equip & Mats",43598046,2,201009,ANTALIS MCNAUGHTON LTD,699,2010-12-06
Central Services,Supplies and Services,Comms & Computing,42194644,2,201009,MAGIQUE GALILEO SOFTWARE LIMITED,2700,2010-12-16
Central Services,Supplies and Services,Comms & Computing,43601806,2,201009,MAGIQUE GALILEO SOFTWARE LIMITED,2956,2010-12-31
Central Services,Purchase of Equipment,,42191364,2,201009,ALBANY OFFICE EQUIP(W/SALE)LTD,2441.89,2010-12-07
Central Services,Purchase of Equipment,,42191365,2,201009,ALBANY OFFICE EQUIP(W/SALE)LTD,4299.06,2010-12-07
Central Services,Purchase of Equipment,,42191366,2,201009,ALBANY OFFICE EQUIP(W/SALE)LTD,560.63,2010-12-07
Central Services,Support Services,Support Services,42195502,5,201009,AUDIT COMMISSION,14118.75,2010-12-20
Central Services,Support Services,Support Services,42195502,8,201009,AUDIT COMMISSION,29145.5,2010-12-20
Central Services,Works,,43601434,2,201009,R DINNING LTD,410,2010-12-23
Central Services,Employees,Indirect Employee Expenses,43598300,2,201009,NORTHUMBRIA UNIVERSITY,1500,2010-12-07
Central Services,Works,,42194946,2,201009,NEWEY & EYRE LTD,515.45,2010-12-20
Central Services,Supplies and Services,Comms & Computing,42196474,3,201009,BRITISH TELECOM,2258.09,2010-12-23
Central Services,Supplies and Services,Comms & Computing,42196474,4,201009,BRITISH TELECOM,102.58,2010-12-23
Central Services,Supplies and Services,Comms & Computing,42196808,2,201009,BRITISH TELECOM,2061.82,2010-12-23
Central Services,Supplies and Services,Comms & Computing,42191868,12,201009,ROYAL MAIL,977.94,2010-12-08
Central Services,Supplies and Services,Comms & Computing,42191868,7,201009,ROYAL MAIL,261.6,2010-12-08
Central Services,Supplies and Services,Comms & Computing,42191868,8,201009,ROYAL MAIL,168.17,2010-12-08
Central Services,Supplies and Services,Comms & Computing,42191868,9,201009,ROYAL MAIL,54.22,2010-12-08
Central Services,Supplies and Services,Comms & Computing,42191868,11,201009,ROYAL MAIL,2559.3,2010-12-08
Central Services,Supplies and Services,Comms & Computing,42191868,10,201009,ROYAL MAIL,535.78,2010-12-08
Central Services,Supplies and Services,Comms & Computing,42192442,12,201009,ROYAL MAIL,307.26,2010-12-09
Central Services,Supplies and Services,Comms & Computing,42192442,7,201009,ROYAL MAIL,212.98,2010-12-09
Central Services,Supplies and Services,Comms & Computing,42192442,8,201009,ROYAL MAIL,60.92,2010-12-09
Central Services,Supplies and Services,Comms & Computing,42192442,9,201009,ROYAL MAIL,60.7,2010-12-09
Central Services,Supplies and Services,Comms & Computing,42192442,11,201009,ROYAL MAIL,924.26,2010-12-09
Central Services,Supplies and Services,Comms & Computing,42192442,10,201009,ROYAL MAIL,800.42,2010-12-09
Central Services,Supplies and Services,Comms & Computing,42196891,2,201009,ROYAL MAIL,995.34,2010-12-23
Central Services,Supplies and Services,Comms & Computing,42197020,2,201009,ROYAL MAIL,1000,2010-12-23
Central Services,Supplies and Services,Comms & Computing,42197028,12,201009,ROYAL MAIL,512.24,2010-12-23
Central Services,Supplies and Services,Comms & Computing,42197028,7,201009,ROYAL MAIL,329.53,2010-12-23
Central Services,Supplies and Services,Comms & Computing,42197028,8,201009,ROYAL MAIL,282.24,2010-12-23
Central Services,Supplies and Services,Comms & Computing,42197028,9,201009,ROYAL MAIL,72.94,2010-12-23
Central Services,Supplies and Services,Comms & Computing,42197028,11,201009,ROYAL MAIL,22.25,2010-12-23
Central Services,Supplies and Services,Comms & Computing,42197028,10,201009,ROYAL MAIL,162.48,2010-12-23
Central Services,Supplies and Services,Comms & Computing,43599688,2,201009,RS COMPONENTS LTD,382.6,2010-12-14
Central Services,Works,,42196790,2,201009,PYEROY LTD,450,2010-12-23
Central Services,Works,,42196793,2,201009,PYEROY LTD,400,2010-12-23
Central Services,Works,,42192237,2,201009,ADT FIRE & SECURITY PLC,375,2010-12-09
Central Services,Works,,42194004,2,201009,ADT FIRE & SECURITY PLC,6938.95,2010-12-15
Central Services,Works,,42194006,2,201009,ADT FIRE & SECURITY PLC,678,2010-12-15
Central Services,Supplies and Services,Other Running Costs,42195620,2,201009,ADT FIRE & SECURITY PLC,1438.52,2010-12-20
Central Services,Supplies and Services,Comms & Computing,42195136,2,201009,POSTAGE BY PHONE-PITNEY BOWES,8000,2010-12-17
Central Services,Works,,42194000,2,201009,SCOTIA UK PLC,7390,2010-12-15
Central Services,Works,,42196685,2,201009,SCOTIA UK PLC,1795,2010-12-23
Central Services,Supplies and Services,Comms & Computing,42191968,7,201009,VODAFONE CORPORATE LTD,392.88,2010-12-09
Central Services,Supplies and Services,Comms & Computing,42191968,8,201009,VODAFONE CORPORATE LTD,16.7,2010-12-09
Central Services,Supplies and Services,Comms & Computing,42191968,9,201009,VODAFONE CORPORATE LTD,299.89,2010-12-09
Central Services,Supplies and Services,Comms & Computing,42191968,10,201009,VODAFONE CORPORATE LTD,16.7,2010-12-09
Central Services,Consultants,,43601781,2,201009,UNIVERSITY OF SUNDERLAND ENTERPRISES,12985,2010-12-31
Central Services,Supplies and Services,"Printing, Stationery etc",43599914,2,201009,CANON (UK) LTD,412.78,2010-12-15
Central Services,Supplies and Services,Miscellaneous Supplies,43600407,2,201009,SUPPLIES TEAM LTD,379.9,2010-12-17
Central Services,Purchase of Equipment,,43601790,2,201009,EQUANET LTD,362.6,2010-12-31
Central Services,Supplies and Services,Comms & Computing,43600925,2,201009,DELL COMPUTER CORPORATION LTD,40998.35,2010-12-23
Central Services,Supplies and Services,Comms & Computing,43600927,2,201009,DELL COMPUTER CORPORATION LTD,10283.6,2010-12-23
Central Services,Purchase of Equipment,,43600938,2,201009,DELL COMPUTER CORPORATION LTD,22374,2010-12-23
Central Services,Purchase of Equipment,,43600939,2,201009,DELL COMPUTER CORPORATION LTD,22374,2010-12-23
Central Services,Purchase of Equipment,,43601400,2,201009,DELL COMPUTER CORPORATION LTD,22374,2010-12-23
Central Services,Purchase of Equipment,,43601401,2,201009,DELL COMPUTER CORPORATION LTD,22374,2010-12-23
Central Services,Purchase of Equipment,,43601403,2,201009,DELL COMPUTER CORPORATION LTD,22374,2010-12-23
Central Services,Purchase of Equipment,,43601404,2,201009,DELL COMPUTER CORPORATION LTD,22374,2010-12-23
Central Services,Works,,42194014,2,201009,COMTECH TELECOMMUNICATIONS LTD,2010.45,2010-12-15
Central Services,Supplies and Services,"Grants, Contribs & Subs",42196546,3,201009,INST. OF LEGAL EXECUTIVES,1000,2010-12-22
Central Services,Supplies and Services,"Grants, Contribs & Subs",42196546,4,201009,INST. OF LEGAL EXECUTIVES,420,2010-12-22
Central Services,Transport,Public Transport and Taxi Fares,42192432,35,201009,TRAVEL BUREAU,54.5,2010-12-09
Central Services,Transport,Public Transport and Taxi Fares,42192432,36,201009,TRAVEL BUREAU,262.14,2010-12-09
Central Services,Transport,Public Transport and Taxi Fares,42192432,32,201009,TRAVEL BUREAU,524.04,2010-12-09
Central Services,Transport,Public Transport and Taxi Fares,42192432,41,201009,TRAVEL BUREAU,371.58,2010-12-09
Central Services,Employees,Indirect Employee Expenses,42192432,26,201009,TRAVEL BUREAU,10,2010-12-09
Central Services,Employees,Indirect Employee Expenses,42192432,27,201009,TRAVEL BUREAU,161.04,2010-12-09
Central Services,Transport,Public Transport and Taxi Fares,42192432,42,201009,TRAVEL BUREAU,469.38,2010-12-09
Central Services,Transport,Public Transport and Taxi Fares,42192432,37,201009,TRAVEL BUREAU,366.78,2010-12-09
Central Services,Transport,Public Transport and Taxi Fares,42192432,31,201009,TRAVEL BUREAU,524.28,2010-12-09
Central Services,Transport,Public Transport and Taxi Fares,42192432,38,201009,TRAVEL BUREAU,540.28,2010-12-09
Central Services,Employees,Indirect Employee Expenses,42192432,29,201009,TRAVEL BUREAU,151.23,2010-12-09
Central Services,Transport,Public Transport and Taxi Fares,42192432,39,201009,TRAVEL BUREAU,231.42,2010-12-09
Central Services,Employees,Indirect Employee Expenses,42192432,25,201009,TRAVEL BUREAU,76.6,2010-12-09
Central Services,Transport,Public Transport and Taxi Fares,42192432,40,201009,TRAVEL BUREAU,61.5,2010-12-09
Central Services,Transport,Public Transport and Taxi Fares,42192432,33,201009,TRAVEL BUREAU,131.5,2010-12-09
Central Services,Supplies and Services,"Licenses, Housing, Fees",42194247,2,201009,DICKINSON DEES,500,2010-12-15
Central Services,Purchase of Equipment,,43597498,2,201009,CAPITA BUSINESS SERVICES LTD,2190,2010-12-02
Central Services,Supplies and Services,Comms & Computing,43601374,2,201009,CAPITA BUSINESS SERVICES LTD,516.24,2010-12-22
Central Services,Supplies and Services,Comms & Computing,43597564,2,201009,INSIGHT DIRECT UK LTD,593.97,2010-12-02
Central Services,Supplies and Services,Comms & Computing,43597595,2,201009,INSIGHT DIRECT UK LTD,653.18,2010-12-09
Central Services,Supplies and Services,Comms & Computing,43600943,2,201009,INSIGHT DIRECT UK LTD,97637.12,2010-12-23
Central Services,Supplies and Services,Comms & Computing,43600948,2,201009,INSIGHT DIRECT UK LTD,1520.69,2010-12-23
Central Services,Supplies and Services,Comms & Computing,43601799,2,201009,INSIGHT DIRECT UK LTD,11127,2010-12-31
Central Services,Supplies and Services,"Furn, Equip & Mats",43597927,2,201009,XEROX OFFICE SUPPLIES LTD,468.4,2010-12-03
Central Services,Supplies and Services,"Furn, Equip & Mats",43601289,2,201009,XEROX OFFICE SUPPLIES LTD,404.4,2010-12-22
Central Services,Supplies and Services,Comms & Computing,43598129,2,201009,BRITISH COMPUTER SOCIETY,420,2010-12-09
Central Services,Employees,Indirect Employee Expenses,43598610,2,201009,BRITISH COMPUTER SOCIETY,1132,2010-12-09
Central Services,Third Party Payments,Third Party Payments,42192571,3,201009,NEWCASTLE & GATESHEAD INITIATIVE,29930,2010-12-09
Central Services,Supplies and Services,Miscellaneous Supplies,42192571,4,201009,NEWCASTLE & GATESHEAD INITIATIVE,7500,2010-12-09
Central Services,Supplies and Services,Miscellaneous Supplies,42192571,5,201009,NEWCASTLE & GATESHEAD INITIATIVE,7500,2010-12-09
Central Services,Employees,Indirect Employee Expenses,43599578,2,201009,SOCITM LTD,1550,2010-12-15
Central Services,Supplies and Services,"Printing, Stationery etc",42194633,2,201009,BLACKBURNS OF BOLTON LTD,915,2010-12-16
Central Services,Supplies and Services,"Printing, Stationery etc",43598731,2,201009,STATEX PRESS NORTHERN LTD,390,2010-12-09
Central Services,Supplies and Services,"Furn, Equip & Mats",43599206,2,201009,LYRECO UK LTD,773.24,2010-12-14
Central Services,Supplies and Services,Comms & Computing,43599586,2,201009,CIVICA LTD,13450,2010-12-13
Central Services,Supplies and Services,"Grants, Contribs & Subs",43601215,2,201009,MEUC LTD,3000,2010-12-22
Central Services,Supplies and Services,Comms & Computing,43599235,2,201009,DAVID CASEY DISPLAYS LTD,996,2010-12-10
Central Services,Supplies and Services,Miscellaneous Supplies,43597695,2,201009,THE FELLING BAND,675,2010-12-02
Central Services,Supplies and Services,Miscellaneous Supplies,43601177,2,201009,JB SKILLCARE LTD,624,2010-12-22
Central Services,Supplies and Services,Miscellaneous Supplies,43601399,2,201009,JB SKILLCARE LTD,576,2010-12-23
Central Services,Supplies and Services,"Printing, Stationery etc",43599975,2,201009,HIPPO CREATIVE SOLTUIONS,1140,2010-12-15
Central Services,Supplies and Services,"Licenses, Housing, Fees",43598095,10,201009,CRIMINAL RECORDS BUREAU,36,2010-12-07
Central Services,Supplies and Services,Miscellaneous Supplies,43600766,2,201009,PEARSON PRESS LTD,750,2010-12-17
Central Services,Supplies and Services,Comms & Computing,43597626,2,201009,CACI LTD,3677.55,2010-12-01
Central Services,Supplies and Services,Comms & Computing,42195948,4,201009,BOTTOMLINE TECHNOLOGIES,1100,2010-12-21
Central Services,Supplies and Services,Comms & Computing,42195948,5,201009,BOTTOMLINE TECHNOLOGIES,550,2010-12-21
Central Services,Supplies and Services,Comms & Computing,42195948,6,201009,BOTTOMLINE TECHNOLOGIES,550,2010-12-21
Central Services,Supplies and Services,Comms & Computing,42195953,4,201009,BOTTOMLINE TECHNOLOGIES,188.37,2010-12-21
Central Services,Supplies and Services,Comms & Computing,42195953,5,201009,BOTTOMLINE TECHNOLOGIES,94.19,2010-12-21
Central Services,Supplies and Services,Comms & Computing,42195953,6,201009,BOTTOMLINE TECHNOLOGIES,94.19,2010-12-21
Central Services,Supplies and Services,Comms & Computing,42195962,2,201009,BOTTOMLINE TECHNOLOGIES,920,2010-12-21
Central Services,Supplies and Services,"Printing, Stationery etc",43597663,2,201009,OXFORD PSYCHOLOGISTS PRESS LTD,505,2010-12-02
Central Services,Supplies and Services,"Licenses, Housing, Fees",42192309,2,201009,REDACTED - Personal Information,4000,2010-12-08
Central Services,Supplies and Services,"Licenses, Housing, Fees",42192312,2,201009,REDACTED - Personal Information,950,2010-12-08
Central Services,Supplies and Services,Miscellaneous Supplies,42195113,2,201009,REDACTED - Personal Information,6215,2010-12-17
Central Services,Supplies and Services,"Licenses, Housing, Fees",42195861,3,201009,REDACTED - Personal Information,937.5,2010-12-21
Central Services,Supplies and Services,"Licenses, Housing, Fees",42196574,2,201009,REDACTED - Personal Information,2850,2010-12-22
Community Based Services,Supplies and Services,"Furn, Equip & Mats",42192989,2,201009,FURNISHING SERVICE LTD,3598.74,2010-12-10
Community Based Services,Premises,Fixtures & Fittings,42193415,2,201009,FURNISHING SERVICE LTD,1095.2,2010-12-13
Community Based Services,Supplies and Services,Comms & Computing,43601783,2,201009,PROBRAND LTD,393.42,2010-12-31
Community Based Services,Third Party Payments,Third Party Payments,42182898,2,201009,MINSTER PATHWAYS LTD,512.37,2010-12-20
Community Based Services,Third Party Payments,Third Party Payments,42191627,4,201009,MINSTER PATHWAYS LTD,149.6,2010-12-08
Community Based Services,Third Party Payments,Third Party Payments,42191627,3,201009,MINSTER PATHWAYS LTD,1519.55,2010-12-08
Community Based Services,Third Party Payments,Third Party Payments,42189387,2,201009,CREATIVE SUPPORT,11750.62,2010-12-03
Community Based Services,Third Party Payments,Third Party Payments,42195517,2,201009,CREATIVE SUPPORT,11750.62,2010-12-22
Community Based Services,Third Party Payments,Third Party Payments,60040377,789,201009,CREATIVE SUPPORT,2109.38,2010-12-02
