Strgrpcc(T),Cipfsubj(T),Cipfsubs(T),TransNo,Seq,Period,Supplier ID(T),Amount,Updated
Communities & Environment,Transport,Public Transport and Taxi Fares,148017005,25,201506,CLICK TRAVEL LTD,1.48,2015-09-24
Communities & Environment,Supplies and Services,Comms & Computing,148016816,39,201506,O2 (UK) LTD,14.50,2015-09-10
Communities & Environment,Supplies and Services,"Licenses, Housing, Fees",43868885,0,201506,SUMMERHILL BOOKS,787.80,2015-09-22
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",43862545,1,201506,EEMITS COMMUNICATIONS,812.50,2015-09-02
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41128184,1,201506,JOHN NIXON LTD,412.50,2015-09-09
Communities & Environment,Supplies and Services,"Licenses, Housing, Fees",41128303,1,201506,NORTH EAST AMBULANCE SERVICE,950.00,2015-09-10
Communities & Environment,Supplies and Services,"Licenses, Housing, Fees",41128304,1,201506,NORTH EAST AMBULANCE SERVICE,1900.00,2015-09-10
Communities & Environment,Supplies and Services,"Licenses, Housing, Fees",41128305,1,201506,ST JOHN AMBULANCE,497.50,2015-09-10
Communities & Environment,Supplies and Services,"Licenses, Housing, Fees",41128306,1,201506,ST JOHN AMBULANCE,497.50,2015-09-10
Communities & Environment,Supplies and Services,"Licenses, Housing, Fees",41128307,1,201506,ST JOHN AMBULANCE,805.95,2015-09-10
Communities & Environment,Supplies and Services,"Licenses, Housing, Fees",41128308,1,201506,ST JOHN AMBULANCE,805.95,2015-09-10
Communities & Environment,Supplies and Services,Other Running Costs,43868069,0,201506,ENGLISH SCHOOLS AA,40595.83,2015-09-15
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",43867068,0,201506,JUSTSPORT,442.89,2015-09-10
Communities & Environment,Supplies and Services,Other Running Costs,43867065,0,201506,WHICKHAM ACADEMY,594.00,2015-09-10
Communities & Environment,Supplies and Services,Other Running Costs,43868072,0,201506,KINGSLEY COACHES,1500.00,2015-09-15
Communities & Environment,Supplies and Services,Comms & Computing,148016816,47,201506,O2 (UK) LTD,30.93,2015-09-10
Communities & Environment,Supplies and Services,Comms & Computing,148016816,48,201506,O2 (UK) LTD,0.40,2015-09-10
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",43867114,0,201506,THE PRINTED BAG SHOP,375.00,2015-09-10
Communities & Environment,Supplies and Services,"Grants, Contribs & Subs",147021308,1,201506,BARMOOR HUB,650.00,2015-09-21
Communities & Environment,Supplies and Services,"Grants, Contribs & Subs",147021308,2,201506,BARMOOR HUB,650.00,2015-09-21
Communities & Environment,Supplies and Services,Comms & Computing,148016816,49,201506,O2 (UK) LTD,117.00,2015-09-10
Communities & Environment,Supplies and Services,Comms & Computing,148016816,50,201506,O2 (UK) LTD,230.00,2015-09-10
Communities & Environment,Supplies and Services,Comms & Computing,148016816,51,201506,O2 (UK) LTD,34.50,2015-09-10
Communities & Environment,Supplies and Services,Comms & Computing,148016816,52,201506,O2 (UK) LTD,246.17,2015-09-10
Communities & Environment,Supplies and Services,Comms & Computing,148016847,2,201506,VODAFONE CORPORATE LTD,51.00,2015-09-11
Communities & Environment,Supplies and Services,Comms & Computing,148016816,53,201506,O2 (UK) LTD,64.50,2015-09-10
Communities & Environment,Transport,Public Transport and Taxi Fares,148017005,11,201506,CLICK TRAVEL LTD,109.58,2015-09-24
Communities & Environment,Transport,Public Transport and Taxi Fares,148017005,26,201506,CLICK TRAVEL LTD,1.25,2015-09-24
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",43865608,0,201506,PERFECT PROMOTIONAL PRODUCTS,681.00,2015-09-02
Communities & Environment,Supplies and Services,"Licenses, Housing, Fees",43865585,0,201506,SMILE THOUGH SPORT CIC,750.00,2015-09-02
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41128558,5,201506,CANON (UK),179.11,2015-09-09
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41128564,17,201506,CANON (UK),50.71,2015-09-09
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41128564,18,201506,CANON (UK),2.38,2015-09-09
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41128564,19,201506,CANON (UK),25.07,2015-09-09
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41128564,20,201506,CANON (UK),0.48,2015-09-09
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41128558,7,201506,CANON (UK),179.11,2015-09-09
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41128564,25,201506,CANON (UK),30.60,2015-09-09
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41128564,26,201506,CANON (UK),5.88,2015-09-09
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41128564,27,201506,CANON (UK),26.63,2015-09-09
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41128564,28,201506,CANON (UK),1.13,2015-09-09
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41128558,10,201506,CANON (UK),179.11,2015-09-09
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41128564,41,201506,CANON (UK),41.03,2015-09-09
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41128564,42,201506,CANON (UK),4.91,2015-09-09
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41128564,43,201506,CANON (UK),40.65,2015-09-09
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41128564,44,201506,CANON (UK),0.96,2015-09-09
Communities & Environment,Premises,Rep & Maint,41126962,3,201506,GREEN ZONE SURVEYS LTD,183.34,2015-09-07
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41128558,3,201506,CANON (UK),179.11,2015-09-09
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41128564,9,201506,CANON (UK),16.43,2015-09-09
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41128564,10,201506,CANON (UK),1.99,2015-09-09
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41128564,11,201506,CANON (UK),7.44,2015-09-09
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41128564,12,201506,CANON (UK),0.90,2015-09-09
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41128558,11,201506,CANON (UK),179.11,2015-09-09
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41128564,45,201506,CANON (UK),9.89,2015-09-09
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41128564,46,201506,CANON (UK),2.17,2015-09-09
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41128564,47,201506,CANON (UK),8.98,2015-09-09
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41128564,48,201506,CANON (UK),0.35,2015-09-09
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41128187,1,201506,CANON (UK),179.11,2015-09-09
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41128564,5,201506,CANON (UK),24.60,2015-09-09
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41128564,6,201506,CANON (UK),2.50,2015-09-09
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41128564,7,201506,CANON (UK),16.78,2015-09-09
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41128564,8,201506,CANON (UK),0.41,2015-09-09
Communities & Environment,Supplies and Services,Comms & Computing,148016725,14,201506,VIRGIN MEDIA PAYMENTS LTD,49.00,2015-09-02
Communities & Environment,Supplies and Services,Comms & Computing,148016943,18,201506,VIRGIN MEDIA PAYMENTS LTD,49.00,2015-09-18
Communities & Environment,Supplies and Services,Comms & Computing,148016725,6,201506,VIRGIN MEDIA PAYMENTS LTD,70.00,2015-09-02
Communities & Environment,Supplies and Services,Comms & Computing,148016943,6,201506,VIRGIN MEDIA PAYMENTS LTD,70.00,2015-09-18
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41128558,6,201506,CANON (UK),179.11,2015-09-09
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41128564,21,201506,CANON (UK),50.83,2015-09-09
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41128564,22,201506,CANON (UK),41.55,2015-09-09
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41128564,23,201506,CANON (UK),13.40,2015-09-09
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41128564,24,201506,CANON (UK),0.98,2015-09-09
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41128187,2,201506,CANON (UK),179.11,2015-09-09
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41128564,37,201506,CANON (UK),24.21,2015-09-09
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41128564,38,201506,CANON (UK),9.05,2015-09-09
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41128564,39,201506,CANON (UK),19.57,2015-09-09
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41128564,40,201506,CANON (UK),0.32,2015-09-09
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41128558,8,201506,CANON (UK),179.11,2015-09-09
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41128564,29,201506,CANON (UK),40.01,2015-09-09
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41128564,30,201506,CANON (UK),1.36,2015-09-09
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41128564,31,201506,CANON (UK),12.51,2015-09-09
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41128564,32,201506,CANON (UK),0.64,2015-09-09
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41128558,9,201506,CANON (UK),179.11,2015-09-09
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41128564,33,201506,CANON (UK),92.86,2015-09-09
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41128564,34,201506,CANON (UK),0.15,2015-09-09
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41128564,35,201506,CANON (UK),20.90,2015-09-09
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41128564,36,201506,CANON (UK),0.08,2015-09-09
Communities & Environment,Premises,Rep & Maint,41126962,1,201506,GREEN ZONE SURVEYS LTD,183.33,2015-09-07
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41128558,4,201506,CANON (UK),179.11,2015-09-09
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41128564,13,201506,CANON (UK),25.02,2015-09-09
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41128564,14,201506,CANON (UK),0.81,2015-09-09
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41128564,15,201506,CANON (UK),12.30,2015-09-09
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41128564,16,201506,CANON (UK),0.22,2015-09-09
Communities & Environment,Supplies and Services,Comms & Computing,148016816,34,201506,O2 (UK) LTD,35.89,2015-09-10
Communities & Environment,Premises,Rep & Maint,41126962,2,201506,GREEN ZONE SURVEYS LTD,183.33,2015-09-07
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41128558,1,201506,CANON (UK),139.05,2015-09-09
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41128558,2,201506,CANON (UK),179.11,2015-09-09
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41128564,1,201506,CANON (UK),113.06,2015-09-09
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41128564,2,201506,CANON (UK),4.46,2015-09-09
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41128564,3,201506,CANON (UK),108.80,2015-09-09
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",41128564,4,201506,CANON (UK),1.89,2015-09-09
Communities & Environment,Employees,Indirect Employee Expenses,43867116,0,201506,THINKING DIGITAL LTD,500.00,2015-09-10
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",43865847,0,201506,ASKEWS LIBRARY SERVICES LTD,2621.93,2015-09-08
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",43865848,0,201506,WF HOWES LTD,388.00,2015-09-08
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",43865849,0,201506,WF HOWES LTD,459.20,2015-09-08
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",43866083,0,201506,ASKEWS LIBRARY SERVICES LTD,4027.15,2015-09-08
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",43867254,1,201506,MAGNA LARGE PRINT,713.44,2015-09-10
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",43868664,0,201506,ASKEWS LIBRARY SERVICES LTD,1924.84,2015-09-22
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",43868878,0,201506,NORTHERN CHILDREN'S BOOK FESTIVAL,3100.00,2015-09-22
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",43870222,0,201506,CELEBRATION STATION,485.16,2015-09-29
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",147021353,1,201506,SUMMERHILL BOOKS,887.75,2015-09-10
Communities & Environment,Transport,Public Transport and Taxi Fares,148017005,13,201506,CLICK TRAVEL LTD,99.79,2015-09-24
Communities & Environment,Transport,Public Transport and Taxi Fares,148017005,23,201506,CLICK TRAVEL LTD,1.13,2015-09-24
Communities & Environment,Supplies and Services,Comms & Computing,148016816,35,201506,O2 (UK) LTD,14.50,2015-09-10
Communities & Environment,Supplies and Services,"Printing, Stationery etc",43869749,0,201506,QUALITY OFFICE SUPPLIES,440.00,2015-09-25
Communities & Environment,Supplies and Services,Comms & Computing,148016816,36,201506,O2 (UK) LTD,20.81,2015-09-10
Communities & Environment,Supplies and Services,Comms & Computing,43865864,0,201506,CAPITA BUSINESS SERVICES LTD,1275.00,2015-09-04
Communities & Environment,Supplies and Services,Comms & Computing,43865865,0,201506,COMRZ LTD,375.00,2015-09-04
Communities & Environment,Supplies and Services,Comms & Computing,43869572,0,201506,RESOURCE INFORMATION TECHNOLOGY LIMITED,352.80,2015-09-25
Communities & Environment,Supplies and Services,Comms & Computing,148016816,37,201506,O2 (UK) LTD,10.00,2015-09-10
Communities & Environment,Supplies and Services,"Printing, Stationery etc",43869501,0,201506,PROQUEST INFO & LEARNING LTD,2545.00,2015-09-24
Communities & Environment,Transport,Public Transport and Taxi Fares,148017005,16,201506,CLICK TRAVEL LTD,61.60,2015-09-24
Communities & Environment,Transport,Public Transport and Taxi Fares,148017005,24,201506,CLICK TRAVEL LTD,0.70,2015-09-24
Communities & Environment,Supplies and Services,Comms & Computing,148016725,2,201506,VIRGIN MEDIA PAYMENTS LTD,70.00,2015-09-02
Communities & Environment,Supplies and Services,Comms & Computing,148016943,2,201506,VIRGIN MEDIA PAYMENTS LTD,70.00,2015-09-18
Communities & Environment,Third Party Payments,Third Party Payments,41129491,1,201506,BALTIC FLOUR MILLS VISUAL ARTS TRUST,65077.50,2015-09-24
Communities & Environment,Third Party Payments,Third Party Payments,147021302,1,201506,BALTIC FLOUR MILLS VISUAL ARTS TRUST,7430.15,2015-09-09
Communities & Environment,Transport,Public Transport and Taxi Fares,148016787,10,201506,CLICK TRAVEL LTD,115.14,2015-09-08
Communities & Environment,Transport,Public Transport and Taxi Fares,148016787,18,201506,CLICK TRAVEL LTD,1.80,2015-09-08
Communities & Environment,Supplies and Services,Comms & Computing,148016816,144,201506,O2 (UK) LTD,210.56,2015-09-10
Communities & Environment,Supplies and Services,Comms & Computing,148016847,8,201506,VODAFONE CORPORATE LTD,51.00,2015-09-11
Communities & Environment,Transport,Car Allowances,148017034,33,201506,COMMONWHEELS CARCLUB CIC,1151.43,2015-09-25
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",43870041,0,201506,ZIP HEATERS (UK) LTD,425.03,2015-09-28
Communities & Environment,Supplies and Services,"Printing, Stationery etc",148016733,9,201506,ROYAL MAIL,204.60,2015-09-02
Communities & Environment,Supplies and Services,"Printing, Stationery etc",148017001,9,201506,ROYAL MAIL,64.62,2015-09-24
Communities & Environment,Supplies and Services,"Printing, Stationery etc",148017003,9,201506,ROYAL MAIL,101.79,2015-09-24
Communities & Environment,Supplies and Services,"Printing, Stationery etc",148017051,9,201506,ROYAL MAIL,67.78,2015-09-30
Communities & Environment,Supplies and Services,Comms & Computing,148017002,9,201506,ROYAL MAIL,144.50,2015-09-24
Communities & Environment,Supplies and Services,Comms & Computing,148016816,242,201506,O2 (UK) LTD,10.00,2015-09-10
Communities & Environment,Employees,Indirect Employee Expenses,43868516,0,201506,CIWM ENTERPRISES LTD,1116.00,2015-09-18
Communities & Environment,Transport,Public Transport and Taxi Fares,148016837,2,201506,CLICK TRAVEL LTD,55.86,2015-09-10
Communities & Environment,Transport,Public Transport and Taxi Fares,148016837,24,201506,CLICK TRAVEL LTD,278.76,2015-09-10
Communities & Environment,Transport,Public Transport and Taxi Fares,148016837,42,201506,CLICK TRAVEL LTD,2.18,2015-09-10
Communities & Environment,Supplies and Services,Comms & Computing,148016816,257,201506,O2 (UK) LTD,49.00,2015-09-10
Communities & Environment,Third Party Payments,Third Party Payments,43868431,0,201506,SITA SOUTH TYNE AND & WEAR LIMITED,2032515.00,2015-09-17
Communities & Environment,Third Party Payments,Third Party Payments,43868432,0,201506,SITA SOUTH TYNE AND & WEAR LIMITED,117556.00,2015-09-17
Communities & Environment,Third Party Payments,Third Party Payments,43868435,0,201506,SITA SOUTH TYNE AND & WEAR LIMITED,117556.00,2015-09-17
Communities & Environment,Third Party Payments,Third Party Payments,43868436,0,201506,SITA SOUTH TYNE AND & WEAR LIMITED,117556.00,2015-09-17
Communities & Environment,Third Party Payments,Third Party Payments,43868445,0,201506,SITA SOUTH TYNE AND & WEAR LIMITED,117554.50,2015-09-17
Communities & Environment,Third Party Payments,Third Party Payments,43868446,0,201506,SITA SOUTH TYNE AND & WEAR LIMITED,2032515.00,2015-09-17
Communities & Environment,Third Party Payments,Third Party Payments,43868448,0,201506,SITA SOUTH TYNE AND & WEAR LIMITED,2032515.00,2015-09-17
Communities & Environment,Third Party Payments,Third Party Payments,43868449,0,201506,SITA SOUTH TYNE AND & WEAR LIMITED,2032515.00,2015-09-17
Communities & Environment,Transport,Contract Hire,41128029,1,201506,WERNICK HIRE LTD,664.29,2015-09-21
Communities & Environment,Supplies and Services,Other Running Costs,43868507,0,201506,KD CEILINGS & PARTITIONS LTD,6395.04,2015-09-21
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",43867057,0,201506,ACE JOINERY (NE) LTD,627.75,2015-09-16
Communities & Environment,Supplies and Services,Comms & Computing,148016725,5,201506,VIRGIN MEDIA PAYMENTS LTD,75.00,2015-09-02
Communities & Environment,Supplies and Services,Comms & Computing,148016943,5,201506,VIRGIN MEDIA PAYMENTS LTD,75.00,2015-09-18
Communities & Environment,Supplies and Services,Comms & Computing,148016725,3,201506,VIRGIN MEDIA PAYMENTS LTD,50.00,2015-09-02
Communities & Environment,Supplies and Services,Comms & Computing,148016943,3,201506,VIRGIN MEDIA PAYMENTS LTD,50.00,2015-09-18
Communities & Environment,Supplies and Services,Comms & Computing,148016725,4,201506,VIRGIN MEDIA PAYMENTS LTD,50.00,2015-09-02
Communities & Environment,Supplies and Services,Comms & Computing,148016943,4,201506,VIRGIN MEDIA PAYMENTS LTD,50.00,2015-09-18
Communities & Environment,Supplies and Services,Comms & Computing,148016725,22,201506,VIRGIN MEDIA PAYMENTS LTD,30.00,2015-09-02
Communities & Environment,Supplies and Services,Comms & Computing,148016943,28,201506,VIRGIN MEDIA PAYMENTS LTD,30.00,2015-09-18
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",43863404,0,201506,RIXONWAY KITCHENS LTD,348.49,2015-09-02
Communities & Environment,Supplies and Services,Other Running Costs,43858984,1,201506,META   LTD,1030.00,2015-09-10
Communities & Environment,Supplies and Services,Other Running Costs,147021343,1,201506,ANGLIAN WINDOWS LTD,3783.43,2015-09-11
Communities & Environment,Third Party Payments,Third Party Payments,43865569,1,201506,AAA THOMPSON & SON ELECTRICAL LTD,7995.00,2015-09-03
Communities & Environment,Supplies and Services,Other Running Costs,43866770,0,201506,HODGSON SAYERS LTD,1400.00,2015-09-21
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",43865892,1,201506,ARNDALE GROUP OF COMPANIES,396.00,2015-09-04
Communities & Environment,Supplies and Services,"Furn, Equip & Mats",43866405,0,201506,ARNDALE GROUP OF COMPANIES,381.25,2015-09-08
