Body Name,Expenditure Category(T),Capital /Revenue,Service Label(T),Service Code(T),Expenditure Code,Expenditure Code(T),Payment date,Supplier Name,Supplier Name(T),Transaction No.,Net Amount,Narrative
O8,Supplies and Services,A,Economy & Culture,Sport & Leisure,230,Catering - Vending Purchases,2022-01-05,203217,P P SNACK FOODS LTD,6000398,214.77,
O8,Supplies and Services,A,Economy & Culture,Sport & Leisure,440,Miscellaneous Expenditure,2022-01-05,230581,REACH WELLNESS LTD,6000394,6530.00,
O8,Premises,A,Economy & Culture,Sport & Leisure,122,Hire of Accommodation,2022-01-24,203600,RIPON CITY COUNCIL,6000300,364.00,
O8,Supplies and Services,A,Economy & Culture,Sport & Leisure,171,Equipment,2022-01-05,203623,RLSS UK ENTERPRISES LTD,6000404,323.28,
O8,Supplies and Services,A,Economy & Culture,Sport & Leisure,171,Equipment,2022-01-19,230347,SHOWOFF DESIGN AND DISPLAY LIMITED,6000427,1475.00,
O8,Supplies and Services,A,Economy & Culture,Sport & Leisure,171,Equipment,2022-01-12,230347,SHOWOFF DESIGN AND DISPLAY LIMITED,6000415,5980.00,
O8,Supplies and Services,A,Economy & Culture,Sport & Leisure,241,Uniforms,2022-01-12,203893,SIMON JERSEY,6000354,366.63,
O8,Supplies and Services,A,Economy & Culture,Sport & Leisure,268,Other Consultants Fees,2022-01-05,227037,SWIM ENGLAND TRADING LIMITED,6000400,4625.00,
O8,Supplies and Services,A,Economy & Culture,Sport & Leisure,171,Equipment,2022-01-19,204107,TECHNOGYM UK LTD,6000466,467.78,
O8,Supplies and Services,A,Economy & Culture,Sport & Leisure,241,Uniforms,2022-01-19,222610,WORKWEAR EXPRESS LTD,6000457,366.75,
O8,Supplies and Services,A,Economy & Culture,Sport & Leisure,171,Equipment,2022-01-12,230572,XL GYM INTERIORS LTD,6000449,4764.00,
O8,Supplies and Services,A,Economy & Culture,Sport & Leisure,171,Equipment,2022-01-05,204610,YORKSHIRE PURCHASING,6000391,1145.80,
