Supplier Name,Item Description,Category Family,Invoice GL Date,Spend
Carillion Construction Ltd,Procurement of specialist human resource to maintain and improve the railway,Professional Services Direct,2017-02-12,362445.46
Carillion Construction Ltd,Procurement of specialist services to renew and improve the railway,Track,2017-02-20,346243.39
Carillion Construction Ltd,Procurement of materials and services for building maintenance and development,Buildings,2017-02-20,342591.00
Carillion Construction Ltd,Procurement of specialist services to renew and improve the railway,Track,2017-02-20,325653.47
Carillion Construction Ltd,Procurement of specialist services to renew and improve the railway,Track,2017-02-14,291176.20
Carillion Construction Ltd,Procurement of specialist services to renew and improve the railway,Track,2017-02-14,273583.82
Carillion Construction Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-02-24,256551.98
Carillion Construction Ltd,Procurement of specialist services to renew and improve the railway,Track,2017-02-20,251615.37
Carillion Construction Ltd,Procurement of specialist services to renew and improve the railway,Track,2017-02-20,232241.02
Carillion Construction Ltd,Procurement of specialist services to renew and improve the railway,Track,2017-02-20,209632.44
Carillion Construction Ltd,Procurement of specialist human resource to maintain and improve the railway,Professional Services Direct,2017-02-22,196805.21
Carillion Construction Ltd,Procurement of specialist services to renew and improve the railway,Track,2017-02-27,191489.98
Carillion Construction Ltd,Procurement of signalling equipment to maintain and improve the railway,Signalling,2017-02-16,187196.64
Carillion Construction Ltd,Procurement of specialist human resource to maintain and improve the railway,Professional Services Direct,2017-02-24,176040.36
Carillion Construction Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-02-17,154015.55
Carillion Construction Ltd,Procurement of specialist services to renew and improve the railway,Track,2017-02-09,123987.54
Carillion Construction Ltd,Procurement of signalling equipment to maintain and improve the railway,Signalling,2017-02-02,119458.74
Carillion Construction Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-02-16,99132.62
Carillion Construction Ltd,Procurement of specialist services to renew and improve the railway,Track,2017-02-13,97000.46
Carillion Construction Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-02-23,91472.84
Carillion Construction Ltd,Procurement of materials and services for building maintenance and development,Buildings,2017-02-17,90980.43
Carillion Construction Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-02-17,83075.96
Carillion Construction Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-02-10,81747.24
Carillion Construction Ltd,Procurement of specialist services to renew and improve the railway,Track,2017-02-14,71168.20
Carillion Construction Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-02-16,58095.32
Carillion Construction Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-02-16,57416.14
Carillion Construction Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-02-24,42952.12
Carillion Construction Ltd,Procurement of specialist human resource to maintain and improve the railway,Professional Services Direct,2017-02-16,42134.78
Carillion Construction Ltd,Procurement of specialist services to renew and improve the railway,Track,2017-02-20,40000.00
Carillion Construction Ltd,Procurement of specialist human resource to maintain and improve the railway,Professional Services Direct,2017-02-14,37825.57
Carillion Construction Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-02-06,28776.61
Carillion Construction Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-02-14,27508.32
Carillion Construction Ltd,Procurement of specialist human resource to maintain and improve the railway,Professional Services Direct,2017-02-20,25437.48
Colas Rail Ltd,Procurement of signalling equipment to maintain and improve the railway,Signalling,2017-02-23,2082134.83
Colas Rail Ltd,Procurement of specialist services to renew and improve the railway,Track,2017-02-24,1945000.00
Colas Rail Ltd,"Procurement of On Track Machines, spare parts and resources to maintain and improve the railway",On Track Machines,2017-02-08,1245732.12
Colas Rail Ltd,"Procurement of On Track Machines, spare parts and resources to maintain and improve the railway",On Track Machines,2017-02-11,836252.40
Colas Rail Ltd,Procurement of specialist services to renew and improve the railway,Track,2017-02-21,796000.00
Colas Rail Ltd,"Procurement of On Track Machines, spare parts and resources to maintain and improve the railway",On Track Machines,2017-02-24,636148.64
Colas Rail Ltd,Procurement of specialist services to renew and improve the railway,Track,2017-02-24,552910.07
Colas Rail Ltd,Procurement of specialist services to renew and improve the railway,Track,2017-02-27,551000.00
Colas Rail Ltd,"Costs of leasing, overhauling or improving our rail fleet",Rail Fleet,2017-02-08,542307.69
Colas Rail Ltd,Procurement of logistical services to distribute materials around the railway,Logistics,2017-02-08,492048.20
Colas Rail Ltd,Procurement of specialist services to renew and improve the railway,Track,2017-02-24,488343.00
Colas Rail Ltd,Procurement of logistical services to distribute materials around the railway,Logistics,2017-02-28,479551.82
Colas Rail Ltd,Procurement of specialist services to renew and improve the railway,Track,2017-02-28,457132.65
Colas Rail Ltd,Procurement of specialist services to renew and improve the railway,Track,2017-02-02,419850.00
Colas Rail Ltd,"Costs of leasing, overhauling or improving our rail fleet",Rail Fleet,2017-02-21,392463.97
Colas Rail Ltd,Procurement of specialist services to renew and improve the railway,Track,2017-02-02,353869.36
Colas Rail Ltd,Procurement of specialist services to renew and improve the railway,Track,2017-02-02,308797.00
Colas Rail Ltd,"Procurement of On Track Machines, spare parts and resources to maintain and improve the railway",On Track Machines,2017-02-09,303516.35
Colas Rail Ltd,Procurement of specialist services to renew and improve the railway,Track,2017-02-02,300483.00
Colas Rail Ltd,Procurement of specialist services to renew and improve the railway,Track,2017-02-22,247527.00
Colas Rail Ltd,Procurement of specialist services to renew and improve the railway,Track,2017-02-07,243282.71
Colas Rail Ltd,Procurement of specialist services to renew and improve the railway,Track,2017-02-28,231260.37
Colas Rail Ltd,"Procurement of On Track Machines, spare parts and resources to maintain and improve the railway",On Track Machines,2017-02-24,225722.08
Colas Rail Ltd,Procurement of specialist services to renew and improve the railway,Track,2017-02-07,206836.66
Colas Rail Ltd,Procurement of specialist services to renew and improve the railway,Track,2017-02-02,198819.64
Colas Rail Ltd,Procurement of specialist services to renew and improve the railway,Track,2017-02-23,197000.00
Colas Rail Ltd,"Procurement of On Track Machines, spare parts and resources to maintain and improve the railway",On Track Machines,2017-02-16,194922.79
Colas Rail Ltd,Procurement of specialist services to renew and improve the railway,Track,2017-02-24,144446.87
Colas Rail Ltd,Procurement of specialist human resource to maintain and improve the railway,Professional Services Direct,2017-02-23,132916.75
Colas Rail Ltd,"Procurement of On Track Machines, spare parts and resources to maintain and improve the railway",On Track Machines,2017-02-28,128460.24
Colas Rail Ltd,"Costs of leasing, overhauling or improving our rail fleet",Rail Fleet,2017-02-20,126698.16
Colas Rail Ltd,"Procurement of On Track Machines, spare parts and resources to maintain and improve the railway",On Track Machines,2017-02-16,115320.50
Colas Rail Ltd,Procurement of specialist services to renew and improve the railway,Track,2017-02-21,103000.00
Colas Rail Ltd,Procurement of specialist services to renew and improve the railway,Track,2017-02-02,101420.00
Colas Rail Ltd,Procurement of specialist services to renew and improve the railway,Track,2017-02-01,98845.00
Colas Rail Ltd,Procurement of specialist services to renew and improve the railway,Track,2017-02-02,97939.95
Colas Rail Ltd,Procurement of specialist services to renew and improve the railway,Track,2017-02-20,97297.92
Colas Rail Ltd,Procurement of specialist services to renew and improve the railway,Track,2017-02-02,95053.00
Colas Rail Ltd,Procurement of specialist services to renew and improve the railway,Track,2017-02-28,92424.56
Colas Rail Ltd,Procurement of specialist services to renew and improve the railway,Track,2017-02-24,90851.00
Colas Rail Ltd,Procurement of specialist services to renew and improve the railway,Track,2017-02-22,88643.00
Colas Rail Ltd,Procurement of specialist services to renew and improve the railway,Track,2017-02-28,84712.32
Colas Rail Ltd,Procurement of specialist services to renew and improve the railway,Track,2017-02-20,78237.12
Colas Rail Ltd,Procurement of specialist services to renew and improve the railway,Track,2017-02-20,69311.93
Colas Rail Ltd,Procurement of specialist services to renew and improve the railway,Track,2017-02-02,69000.00
Colas Rail Ltd,Procurement of specialist services to renew and improve the railway,Track,2017-02-21,66000.00
Colas Rail Ltd,Procurement of specialist services to renew and improve the railway,Track,2017-02-22,56000.00
Colas Rail Ltd,Procurement of specialist services to renew and improve the railway,Track,2017-02-22,55485.00
Colas Rail Ltd,Procurement of specialist services to renew and improve the railway,Track,2017-02-23,53338.94
Colas Rail Ltd,Procurement of specialist services to renew and improve the railway,Track,2017-02-20,53225.18
Colas Rail Ltd,Procurement of specialist services to renew and improve the railway,Track,2017-02-20,52563.60
Colas Rail Ltd,"Procurement of On Track Machines, spare parts and resources to maintain and improve the railway",On Track Machines,2017-02-08,49879.91
Colas Rail Ltd,Procurement of specialist services to renew and improve the railway,Track,2017-02-20,49061.71
Colas Rail Ltd,"Costs of leasing, overhauling or improving our rail fleet",Rail Fleet,2017-02-21,47274.51
Colas Rail Ltd,"Procurement of On Track Machines, spare parts and resources to maintain and improve the railway",On Track Machines,2017-02-08,47121.01
Colas Rail Ltd,"Charges, payments and penalties paid in the operation of the railway",Regulatory Charges,2017-02-20,47096.00
Colas Rail Ltd,"Procurement of On Track Machines, spare parts and resources to maintain and improve the railway",On Track Machines,2017-02-08,45989.49
Colas Rail Ltd,Procurement of specialist services to renew and improve the railway,Track,2017-02-02,44789.00
Colas Rail Ltd,"Procurement of On Track Machines, spare parts and resources to maintain and improve the railway",On Track Machines,2017-02-08,44617.28
Colas Rail Ltd,"Procurement of On Track Machines, spare parts and resources to maintain and improve the railway",On Track Machines,2017-02-08,44574.43
Colas Rail Ltd,"Procurement of On Track Machines, spare parts and resources to maintain and improve the railway",On Track Machines,2017-02-08,44089.63
Colas Rail Ltd,"Costs of leasing, overhauling or improving our rail fleet",Rail Fleet,2017-02-21,43065.06
Colas Rail Ltd,"Costs of leasing, overhauling or improving our rail fleet",Rail Fleet,2017-02-21,40241.44
Colas Rail Ltd,Procurement of specialist services to renew and improve the railway,Track,2017-02-28,39556.47
Colas Rail Ltd,Procurement of specialist services to renew and improve the railway,Track,2017-02-20,37643.34
Colas Rail Ltd,Procurement of specialist services to renew and improve the railway,Track,2017-02-02,36050.00
Colas Rail Ltd,Procurement of overhead line materials and services to maintain and improve the railway,Electrification and Fixed Plant,2017-02-23,32408.33
Colas Rail Ltd,"Procurement of On Track Machines, spare parts and resources to maintain and improve the railway",On Track Machines,2017-02-08,31506.10
Colas Rail Ltd,"Procurement of On Track Machines, spare parts and resources to maintain and improve the railway",On Track Machines,2017-02-08,29756.71
Colas Rail Ltd,Procurement of specialist services to renew and improve the railway,Track,2017-02-28,25290.52
Balfour Beatty Rail Ltd,Procurement of overhead line materials and services to maintain and improve the railway,Electrification and Fixed Plant,2017-02-01,6270691.36
Balfour Beatty Rail Ltd,Procurement of specialist services to renew and improve the railway,Track,2017-02-23,1953502.04
Balfour Beatty Rail Ltd,Procurement of specialist services to renew and improve the railway,Track,2017-02-02,1490640.08
Balfour Beatty Rail Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-02-21,1126755.32
Balfour Beatty Rail Ltd,"Procurement of On Track Machines, spare parts and resources to maintain and improve the railway",On Track Machines,2017-02-02,995760.64
Balfour Beatty Rail Ltd,Procurement of specialist services to renew and improve the railway,Track,2017-02-14,500077.68
Balfour Beatty Rail Ltd,"Costs of leasing, overhauling or improving our rail fleet",Rail Fleet,2017-02-07,478949.17
Balfour Beatty Rail Ltd,"Procurement of On Track Machines, spare parts and resources to maintain and improve the railway",On Track Machines,2017-02-01,426179.26
Balfour Beatty Rail Ltd,"Costs of leasing, overhauling or improving our rail fleet",Rail Fleet,2017-02-17,414258.24
Balfour Beatty Rail Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-02-14,366673.40
Balfour Beatty Rail Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-02-17,341377.60
Balfour Beatty Rail Ltd,"Costs of leasing, overhauling or improving our rail fleet",Rail Fleet,2017-02-21,340540.46
Balfour Beatty Rail Ltd,Procurement of specialist human resource to maintain and improve the railway,Professional Services Direct,2017-02-24,313791.96
Balfour Beatty Rail Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-02-15,311057.18
Balfour Beatty Rail Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-02-16,199432.69
Balfour Beatty Rail Ltd,Procurement of overhead line materials and services to maintain and improve the railway,Electrification and Fixed Plant,2017-02-15,191329.96
Balfour Beatty Rail Ltd,Procurement of specialist human resource to maintain and improve the railway,Professional Services Direct,2017-02-15,176745.52
Balfour Beatty Rail Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-02-16,112176.03
Balfour Beatty Rail Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-02-15,105457.09
Balfour Beatty Rail Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-02-15,93543.00
Balfour Beatty Rail Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-02-16,79397.53
Balfour Beatty Rail Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-02-07,75042.39
Balfour Beatty Rail Ltd,"Costs of leasing, overhauling or improving our rail fleet",Rail Fleet,2017-02-21,69205.46
Balfour Beatty Rail Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-02-15,49968.36
Balfour Beatty Rail Ltd,"Procurement of On Track Machines, spare parts and resources to maintain and improve the railway",On Track Machines,2017-02-27,45206.00
Balfour Beatty Rail Ltd,"Procurement of On Track Machines, spare parts and resources to maintain and improve the railway",On Track Machines,2017-02-22,43174.00
Balfour Beatty Rail Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-02-17,42636.40
Balfour Beatty Rail Ltd,Procurement of specialist human resource to maintain and improve the railway,Professional Services Direct,2017-02-20,41795.27
Balfour Beatty Rail Ltd,"Procurement of On Track Machines, spare parts and resources to maintain and improve the railway",On Track Machines,2017-02-01,41472.00
Balfour Beatty Rail Ltd,"Procurement of On Track Machines, spare parts and resources to maintain and improve the railway",On Track Machines,2017-02-02,41008.00
Balfour Beatty Rail Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-02-15,37355.00
Balfour Beatty Rail Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-02-17,36142.42
Balfour Beatty Rail Ltd,"Procurement of On Track Machines, spare parts and resources to maintain and improve the railway",On Track Machines,2017-02-27,35842.00
Balfour Beatty Rail Ltd,"Procurement of On Track Machines, spare parts and resources to maintain and improve the railway",On Track Machines,2017-02-07,32769.00
Balfour Beatty Rail Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-02-17,30159.41
Balfour Beatty Rail Ltd,"Procurement of On Track Machines, spare parts and resources to maintain and improve the railway",On Track Machines,2017-02-27,27770.60
Balfour Beatty Rail Ltd,Procurement of specialist human resource to maintain and improve the railway,Professional Services Direct,2017-02-17,26324.43
Balfour Beatty Rail Ltd,Procurement of specialist human resource to maintain and improve the railway,Professional Services Direct,2017-02-16,26324.43
ABC Electrification Ltd,Procurement of overhead line materials and services to maintain and improve the railway,Electrification and Fixed Plant,2017-02-06,3700844.23
ABC Electrification Ltd,Procurement of overhead line materials and services to maintain and improve the railway,Electrification and Fixed Plant,2017-02-22,3205434.49
ABC Electrification Ltd,Procurement of overhead line materials and services to maintain and improve the railway,Electrification and Fixed Plant,2017-02-22,1006717.85
ABC Electrification Ltd,Procurement of overhead line materials and services to maintain and improve the railway,Electrification and Fixed Plant,2017-02-20,899249.78
ABC Electrification Ltd,Procurement of overhead line materials and services to maintain and improve the railway,Electrification and Fixed Plant,2017-02-09,870245.79
ABC Electrification Ltd,Procurement of overhead line materials and services to maintain and improve the railway,Electrification and Fixed Plant,2017-02-20,867284.45
ABC Electrification Ltd,Procurement of overhead line materials and services to maintain and improve the railway,Electrification and Fixed Plant,2017-02-20,766377.35
ABC Electrification Ltd,Procurement of overhead line materials and services to maintain and improve the railway,Electrification and Fixed Plant,2017-02-22,677535.02
ABC Electrification Ltd,Procurement of overhead line materials and services to maintain and improve the railway,Electrification and Fixed Plant,2017-02-22,667389.99
ABC Electrification Ltd,Procurement of overhead line materials and services to maintain and improve the railway,Electrification and Fixed Plant,2017-02-01,560000.00
ABC Electrification Ltd,Procurement of overhead line materials and services to maintain and improve the railway,Electrification and Fixed Plant,2017-02-20,448045.53
ABC Electrification Ltd,Procurement of overhead line materials and services to maintain and improve the railway,Electrification and Fixed Plant,2017-02-07,260494.26
ABC Electrification Ltd,Procurement of overhead line materials and services to maintain and improve the railway,Electrification and Fixed Plant,2017-02-01,258552.70
ABC Electrification Ltd,Procurement of overhead line materials and services to maintain and improve the railway,Electrification and Fixed Plant,2017-02-22,186652.61
ABC Electrification Ltd,Procurement of overhead line materials and services to maintain and improve the railway,Electrification and Fixed Plant,2017-02-22,109069.50
ABC Electrification Ltd,Procurement of overhead line materials and services to maintain and improve the railway,Electrification and Fixed Plant,2017-02-23,65328.01
ABC Electrification Ltd,Procurement of overhead line materials and services to maintain and improve the railway,Electrification and Fixed Plant,2017-02-14,35106.40
BAM Nuttall Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-02-21,1310000.00
BAM Nuttall Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-02-15,1273399.37
BAM Nuttall Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-02-20,800528.92
BAM Nuttall Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-02-17,705097.83
BAM Nuttall Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-02-03,625267.08
BAM Nuttall Ltd,Procurement of materials and services for building maintenance and development,Buildings,2017-02-17,595285.00
BAM Nuttall Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-02-20,558040.30
BAM Nuttall Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-02-17,557863.75
BAM Nuttall Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-02-20,523654.92
BAM Nuttall Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-02-20,461170.00
BAM Nuttall Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-02-20,439571.55
BAM Nuttall Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-02-17,438515.14
BAM Nuttall Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-02-20,353555.83
BAM Nuttall Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-02-02,278652.00
BAM Nuttall Ltd,Procurement of materials and services for building maintenance and development,Buildings,2017-02-20,256327.00
BAM Nuttall Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-02-01,255528.60
BAM Nuttall Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-02-22,253260.00
BAM Nuttall Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-02-01,246895.00
BAM Nuttall Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-02-27,196435.25
BAM Nuttall Ltd,Procurement of infrastructure support services such as de-vegetation and fencing to operate the railway,Infrastructure Support Services,2017-02-21,183550.59
BAM Nuttall Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-02-21,178454.52
BAM Nuttall Ltd,Procurement of specialist human resource to maintain and improve the railway,Professional Services Direct,2017-02-16,175358.85
BAM Nuttall Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-02-19,164995.60
BAM Nuttall Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-02-13,118635.70
BAM Nuttall Ltd,Procurement of specialist human resource to maintain and improve the railway,Professional Services Direct,2017-02-16,108168.34
BAM Nuttall Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-02-20,106801.36
BAM Nuttall Ltd,Procurement of materials and services for building maintenance and development,Buildings,2017-02-23,106519.98
BAM Nuttall Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-02-24,100459.37
BAM Nuttall Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-02-01,94647.00
BAM Nuttall Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-02-20,81503.21
BAM Nuttall Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-02-28,61421.19
BAM Nuttall Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-02-23,55418.26
BAM Nuttall Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-02-20,50000.00
BAM Nuttall Ltd,Procurement of civil engineering services to maintain and improve the railway,General Civils,2017-02-17,43513.06
