Body name,Service label,Service divison label,Expenditure category,Detailed expenditure type,Detailed expenditure code,Date paid,Transaction number,Net amount,Capital or revenue,Supplier name
Leeds City Council,Childrens Services,Safeguarding Targeted & Specialist,Third Party Payments,Adoptions - Allowances,560,2011-08-17,1108-00081,644.00,R,Action For Children
Leeds City Council,Childrens Services,Safeguarding Targeted & Specialist,Third Party Payments,Adoptions - Allowances,560,2011-08-17,1108-00082,644.00,R,Action For Children
Leeds City Council,Childrens Services,Safeguarding Targeted & Specialist,Third Party Payments,Adoptions - Allowances,560,2011-08-30,1108-00083,644.00,R,Action For Children
Leeds City Council,Childrens Services,Safeguarding Targeted & Specialist,Third Party Payments,Adoptions - Allowances,560,2011-08-30,1108-00084,825.00,R,Action For Children
Leeds City Council,Childrens Services,Safeguarding Targeted & Specialist,Third Party Payments,Adoptions - Allowances,560,2011-08-30,1108-00085,644.00,R,Action For Children
Leeds City Council,City Development,Recreation,Supplies and Services,Operational Furniture And Equipment,203,2011-08-25,1108-00086,499.95,R,Activinstinct Ltd
Leeds City Council,City Development,Recreation,Supplies and Services,Resaleable Materials,204,2011-08-17,1108-00087,600.40,R,Acushnet Europe Limited
Leeds City Council,Central & Corporate Functions,Support And Facilities Trading Services,Supplies and Services,Other Hired And Contracted Services,265,2011-08-25,1108-00088,1494.00,R,Ad3 Envelope Printers Limited
Leeds City Council,Central & Corporate Functions,Support And Facilities Trading Services,Supplies and Services,Other Hired And Contracted Services,265,2011-08-25,1108-00089,512.50,R,Ad3 Envelope Printers Limited
Leeds City Council,Environment & Neighbourhoods,West North West,Capital,Other Costs,7,2011-08-26,1108-00090,700.00,C,Adams Consulting Engineers Limited
Leeds City Council,Environment & Neighbourhoods,West North West,Capital,Other Costs,7,2011-08-30,1108-00091,900.00,C,Adams Consulting Engineers Limited
Leeds City Council,City Development,Planning & Sustainable Development,Supplies and Services,Operational Materials,205,2011-07-29,1108-00092,465.00,R,Addis Housewares Ltd
Leeds City Council,City Development,Recreation,Supplies and Services,Other Hired And Contracted Services,265,2011-08-01,1108-00093,7420.00,R,Addlestone Moumouris Orme & Sixsmith
Leeds City Council,Childrens Services,Safeguarding Targeted & Specialist,Premises,Grounds Maintenance Work,111,2011-08-19,1108-00094,670.00,R,Adel Farm And Gardens
Leeds City Council,Environment & Neighbourhoods,Safer Leeds Drugs Team,Third Party Payments,Services Rendered By Voluntary Sector,505,2011-08-10,1108-00095,12500.00,R,Ads
Leeds City Council,Environment & Neighbourhoods,Safer Leeds Drugs Team,Third Party Payments,Services Rendered By Voluntary Sector,505,2011-08-10,1108-00096,12500.00,R,Ads
Leeds City Council,Childrens Services,Learning Skills & Universal,Premises,Fixtures & Fittings,131,2011-08-19,1108-00097,1464.04,R,Adt Fire And Security
Leeds City Council,City Development,Recreation,Premises,Premises Security Services,162,2011-08-19,1108-00098,1009.20,R,Adt Fire And Security
East - North East,East - North East,Housing Services,Premises,Leisure Security Services Recharges,162,2011-08-23,1108-00099,761.98,R,Adt Fire And Security
East - North East,East - North East,Housing Services,Premises,Leisure Security Services Recharges,162,2011-08-23,1108-00100,752.10,R,Adt Fire And Security
Leeds City Council,City Development,Asset Management Services,Premises,Maintenance Of Buildings,101,2011-08-31,1108-00101,458.00,R,Adt Fire And Security
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Residential,580,2011-08-03,1108-00102,782.81,R,Advantage Healthcare Nursing &
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Residential,580,2011-08-03,1108-00103,18119.36,R,Advitam Ltd
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Residential,580,2011-08-31,1108-00104,17892.96,R,Advitam Ltd
Leeds City Council,Adult Social Care,Services For Adults Under 65 Mental/Dis,Third Party Payments,Payments To Voluntary Organisations,561,2011-08-19,1108-00105,23156.00,R,Advocacy For Mental Health And Dementia
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Residential,580,2011-08-01,1108-00106,21843.99,R,Affinity Trust
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Day Centre,564,2011-08-01,1108-00107,3299.08,R,Affinity Trust
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,2011-08-01,1108-00108,4222.40,R,Affinity Trust
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Day Centre,564,2011-08-01,1108-00109,2874.76,R,Affinity Trust
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Day Centre,564,2011-08-01,1108-00110,1603.36,R,Affinity Trust
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,2011-08-02,1108-00111,841.00,R,Affinity Trust
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,2011-08-02,1108-00112,952.00,R,Affinity Trust
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Day Centre,564,2011-08-02,1108-00113,570.80,R,Affinity Trust
Leeds City Council,Adult Social Care,Services For Older People Under 65 P/Dis,Third Party Payments,Home Care,568,2011-08-02,1108-00114,1482.35,R,Affinity Trust
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,2011-08-02,1108-00115,1210.34,R,Affinity Trust
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,2011-08-02,1108-00116,1009.20,R,Affinity Trust
Leeds City Council,Adult Social Care,Services For Older People Under 65 P/Dis,Third Party Payments,Home Care,568,2011-08-02,1108-00117,972.30,R,Affinity Trust
Leeds City Council,Adult Social Care,Services For Older People Under 65 P/Dis,Third Party Payments,Home Care,568,2011-08-02,1108-00118,1156.98,R,Affinity Trust
Leeds City Council,Adult Social Care,Services For Adults Under 65 Mental/Dis,Third Party Payments,Home Care,568,2011-08-02,1108-00119,819.90,R,Affinity Trust
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,2011-08-02,1108-00120,1607.80,R,Affinity Trust
Leeds City Council,Adult Social Care,Services For Older People Under 65 P/Dis,Third Party Payments,Home Care,568,2011-08-02,1108-00121,2172.90,R,Affinity Trust
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,2011-08-02,1108-00122,589.00,R,Affinity Trust
Leeds City Council,Adult Social Care,Services For Older People Under 65 P/Dis,Third Party Payments,Home Care,568,2011-08-02,1108-00123,1719.75,R,Affinity Trust
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Day Centre,564,2011-08-02,1108-00124,2724.99,R,Affinity Trust
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Day Centre,564,2011-08-02,1108-00125,1918.62,R,Affinity Trust
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Day Centre,564,2011-08-02,1108-00126,1206.72,R,Affinity Trust
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Residential,580,2011-08-02,1108-00127,1611.39,R,Affinity Trust
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Residential,580,2011-08-03,1108-00128,1852.41,R,Affinity Trust
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Residential,580,2011-08-03,1108-00129,1450.17,R,Affinity Trust
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Residential,580,2011-08-03,1108-00130,1852.41,R,Affinity Trust
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,2011-08-05,1108-00131,564.30,R,Affinity Trust
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Day Centre,564,2011-08-05,1108-00132,1316.70,R,Affinity Trust
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Day Centre,564,2011-08-05,1108-00133,3143.04,R,Affinity Trust
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Day Centre,564,2011-08-05,1108-00134,586.60,R,Affinity Trust
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,2011-08-05,1108-00135,1005.60,R,Affinity Trust
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,2011-08-05,1108-00136,1257.00,R,Affinity Trust
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,2011-08-05,1108-00137,1407.84,R,Affinity Trust
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Day Centre,564,2011-08-05,1108-00138,2933.00,R,Affinity Trust
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Day Centre,564,2011-08-05,1108-00139,2720.45,R,Affinity Trust
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Residential,580,2011-08-05,1108-00140,1307.28,R,Affinity Trust
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Day Centre,564,2011-08-05,1108-00141,893.48,R,Affinity Trust
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Residential,580,2011-08-08,1108-00142,10397.89,R,Affinity Trust
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Day Centre,564,2011-08-09,1108-00143,4308.50,R,Affinity Trust
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Day Centre,564,2011-08-09,1108-00144,1944.40,R,Affinity Trust
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Residential,580,2011-08-09,1108-00145,1999.98,R,Affinity Trust
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Residential,580,2011-08-10,1108-00146,658.35,R,Affinity Trust
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,2011-08-10,1108-00147,5050.00,R,Affinity Trust
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,2011-08-10,1108-00148,6193.32,R,Affinity Trust
Leeds City Council,Adult Social Care,Services For Older People Under 65 P/Dis,Third Party Payments,Home Care,568,2011-08-11,1108-00149,1185.88,R,Affinity Trust
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Day Centre,564,2011-08-17,1108-00150,26239.11,R,Affinity Trust
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,2011-08-17,1108-00151,39453.18,R,Affinity Trust
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,2011-08-17,1108-00152,38368.98,R,Affinity Trust
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Residential,580,2011-08-17,1108-00153,81751.30,R,Affinity Trust
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Residential,580,2011-08-17,1108-00154,82734.35,R,Affinity Trust
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Residential,580,2011-08-17,1108-00155,65188.80,R,Affinity Trust
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Residential,580,2011-08-17,1108-00156,55588.48,R,Affinity Trust
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Residential,580,2011-08-17,1108-00157,10397.89,R,Affinity Trust
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Residential,580,2011-08-25,1108-00158,804.48,R,Affinity Trust
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,2011-08-25,1108-00159,3767.68,R,Affinity Trust
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Day Centre,564,2011-08-25,1108-00160,2111.76,R,Affinity Trust
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,2011-08-25,1108-00161,3848.08,R,Affinity Trust
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,2011-08-25,1108-00162,3848.08,R,Affinity Trust
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,2011-08-26,1108-00163,538.24,R,Affinity Trust
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,2011-08-26,1108-00164,510.75,R,Affinity Trust
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Day Centre,564,2011-08-02,1108-00165,4872.00,R,Affinity Trust North Divisional Office
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Day Centre,564,2011-08-02,1108-00166,3312.96,R,Affinity Trust North Divisional Office
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Residential,580,2011-08-02,1108-00167,3495.34,R,Affinity Trust North Divisional Office
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,2011-08-05,1108-00168,806.10,R,Affinity Trust North Divisional Office
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,2011-08-09,1108-00169,639.16,R,Affinity Trust North Divisional Office
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Residential,580,2011-08-16,1108-00170,1121.40,R,Affinity Trust North Divisional Office
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Day Centre,564,2011-08-17,1108-00171,23819.61,R,Affinity Trust North Divisional Office
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Residential,580,2011-08-17,1108-00172,12409.02,R,Affinity Trust North Divisional Office
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,2011-08-25,1108-00173,2027.96,R,Affinity Trust North Divisional Office
Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,2011-08-25,1108-00174,1818.46,R,Affinity Trust North Divisional Office
